ngrama,n_palabras,intervenciones,reuniones,apariciones,tfidf_medio,df_hawkish,tasa_hawkish,df_dovish,tasa_dovish,df_neutral,tasa_neutral,asociacion_hawkish,asociacion_dovish,criterios_seleccion
condiciones financieras externas,3,5,5,7,0.0004682784193067685,0,0.010416666666666666,3,0.08536585365853659,2,0.005285412262156448,-0.04157910375139944,4.150242635580613,top_asociacion_dovish_3pal
cree que no,3,5,5,5,0.0004961643949366079,2,0.052083333333333336,3,0.08536585365853659,0,0.0010570824524312897,2.9324256877156563,4.150242635580613,top_asociacion_dovish_3pal
decision de hoy,3,5,4,6,0.0004467909127145414,4,0.09375,1,0.036585365853658534,0,0.0010570824524312897,5.002815015607054,2.0798533076892145,top_asociacion_hawkish_3pal
estabilidad de precios,3,5,3,6,0.00031030114121342206,4,0.09375,0,0.012195121951219513,1,0.003171247357293869,5.002815015607054,0.20538418977307366,top_asociacion_hawkish_3pal
expectativas de crecimiento,3,5,5,6,0.00040669957927360814,1,0.03125,3,0.08536585365853659,1,0.003171247357293869,1.8328900141647417,4.150242635580613,top_asociacion_dovish_3pal
gerente de analisis,3,58,31,77,0.0056549216324255505,0,0.010416666666666666,0,0.012195121951219513,58,0.12367864693446089,-3.452512204697507,-3.2055489111730338,top_intervenciones_3pal
gerente de division,3,92,36,146,0.010304622383694787,6,0.13541666666666666,3,0.08536585365853659,83,0.17653276955602537,-0.3163359946097347,-1.0116450467962814,top_intervenciones_3pal
manuel marfan agradece,3,7,7,7,0.0005796351868447542,1,0.03125,5,0.13414634146341464,1,0.003171247357293869,1.3023752974659621,4.802319332160306,top_asociacion_dovish_3pal
subir la tpm,3,6,5,6,0.0005701309812171178,5,0.11458333333333333,0,0.012195121951219513,1,0.003171247357293869,5.292321632802039,-0.035623909730721375,top_asociacion_hawkish_3pal; senal_politica_hawkish
tasa de interes,3,56,25,84,0.004270370913874429,19,0.40625,16,0.4024390243902439,21,0.045454545454545456,2.474436043252265,2.3693599248841997,top_intervenciones_3pal
tasa de politica,3,111,36,286,0.008418186531833939,33,0.6979166666666666,30,0.7439024390243902,48,0.10253699788583509,2.1893209564520433,2.2468249917421796,top_intervenciones_3pal
tipo de cambio,3,54,32,91,0.004770620312347969,7,0.15625,9,0.23170731707317074,38,0.08139534883720931,0.7548875021634686,1.4049486816552603,top_intervenciones_3pal
unidos de america,3,57,26,102,0.00519762611363981,2,0.052083333333333336,9,0.23170731707317074,46,0.09830866807610994,-1.0546352565768455,1.3128304796668286,top_intervenciones_3pal
vota por mantener,3,5,4,6,0.0005070854546284948,0,0.010416666666666666,4,0.10975609756097561,1,0.003171247357293869,-0.04157910375139944,5.249778309131527,top_asociacion_dovish_3pal; senal_politica_dovish
acordo aumentar la tasa,4,5,4,9,0.0006388970883982047,5,0.11458333333333333,0,0.012195121951219513,0,0.0010570824524312897,6.877284133523195,0.20538418977307366,top_asociacion_hawkish_4pal; senal_politica_hawkish
actividad y la demanda,4,5,5,5,0.0004358094573986609,0,0.010416666666666666,3,0.08536585365853659,2,0.005285412262156448,-0.04157910375139944,4.150242635580613,top_asociacion_dovish_4pal
adopta el siguiente acuerdo,4,6,6,6,0.0006735872982226295,5,0.11458333333333333,1,0.036585365853658534,0,0.0010570824524312897,5.292321632802039,1.7903466904942296,top_asociacion_hawkish_4pal
banco central de chile,4,42,22,59,0.0036638279574123527,11,0.23958333333333334,9,0.23170731707317074,22,0.04756871035940803,1.9641345474429945,1.8466541313961842,top_intervenciones_4pal
base en esta ocasion,4,5,5,5,0.0005291362810962639,4,0.09375,1,0.036585365853658534,0,0.0010570824524312897,5.002815015607054,2.0798533076892145,top_asociacion_hawkish_4pal
base en la tasa,4,6,6,6,0.0006913845059069903,5,0.11458333333333333,0,0.012195121951219513,1,0.003171247357293869,5.292321632802039,-0.035623909730721375,top_asociacion_hawkish_4pal; senal_politica_hawkish
debajo de lo esperado,4,5,5,5,0.0002776873091800185,0,0.010416666666666666,3,0.08536585365853659,2,0.005285412262156448,-0.04157910375139944,4.150242635580613,top_asociacion_dovish_4pal; senal_politica_dovish
estados unidos de america,4,57,26,102,0.00519762611363981,2,0.052083333333333336,9,0.23170731707317074,46,0.09830866807610994,-1.0546352565768455,1.3128304796668286,top_intervenciones_4pal
gerente de analisis macroeconomico,4,43,24,52,0.00452128097768747,0,0.010416666666666666,0,0.012195121951219513,43,0.0919661733615222,-3.0250909809628306,-2.7781276874383574,top_intervenciones_4pal
gerente de division estudios,4,67,34,88,0.00826224480910208,4,0.09375,1,0.036585365853658534,62,0.1321353065539112,-0.4009071704439557,-1.8055041263696625,top_intervenciones_4pal
horizonte habitual de politica,4,10,4,10,0.0007646458944687447,7,0.15625,2,0.06097560975609756,1,0.003171247357293869,4.517388188436812,1.8992810620473937,top_asociacion_hawkish_4pal
inflacion proyectada se ubique,4,9,9,9,0.000765862790791546,3,0.07291666666666667,4,0.10975609756097561,2,0.005285412262156448,2.5247677188024102,3.375309191215386,top_asociacion_dovish_4pal
manifiesta que su voto,4,5,5,5,0.00035628756218351507,1,0.03125,3,0.08536585365853659,1,0.003171247357293869,1.8328900141647417,4.150242635580613,top_asociacion_dovish_4pal; senal_politica_dovish
marfan agradece el analisis,4,5,5,5,0.0004417554314654951,1,0.03125,3,0.08536585365853659,1,0.003171247357293869,1.8328900141647417,4.150242635580613,top_asociacion_dovish_4pal
merito de lo anterior,4,6,6,6,0.0006735872982226295,5,0.11458333333333333,1,0.036585365853658534,0,0.0010570824524312897,5.292321632802039,1.7903466904942296,top_asociacion_hawkish_4pal
reunion de politica monetaria,4,52,27,68,0.004488230291204291,6,0.13541666666666666,8,0.2073170731707317,38,0.08139534883720931,0.5791334219189586,1.2765452186943123,top_intervenciones_4pal
senor manuel marfan agradece,4,7,7,7,0.0005796351868447542,1,0.03125,5,0.13414634146341464,1,0.003171247357293869,1.3023752974659621,4.802319332160306,top_asociacion_dovish_4pal
tasa de politica monetaria,4,105,35,269,0.008131558471676056,31,0.65625,28,0.6951219512195121,46,0.09830866807610994,2.175963917923653,2.2215814173008748,top_intervenciones_4pal
