ngrama,intervencion_id,meeting_id,etiqueta_ia,contexto
no,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"aria mes por medio. esta situacion ha sido relativamente incorporada en la estructura de precios financieros prevaleciente y, en esta oportunidad, una mayoria relativa del mercado no espera un cambio en la tasa de politica monetaria. en efecto, la encuesta a analistas del banco central de chile revelo un expectativa mayoritaria de mantencion de la tasa (aunque su fecha de cierre fue previa a la divulgacion del imacec),"
no,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish,"ria consignarlo para efectos de la elaboracion de la minuta. agrega que concuerda con la alternativa final que plantea la gerencia de division estudios, en cuanto a mantener, pero no en cuanto a las opciones que ofrece, porque habria preferido que en ellas se incluyera la posibilidad de efectuar un recorte de la tasa de politica monetaria."
no,RPM-2005-05-12:240:1,RPM-2005-05-12,neutral,"iene un shock en la demanda de papeles, en la composicion, ello podria producir que los precios relativos se desvien por algun tiempo. le parece que, evidentemente, si los agentes no estan de acuerdo con que la presion inflacionaria coincide con sus expectativas, van a comprar bcp. el punto que plantea es que, probablemente, esto no es instantaneo. si la brecha continuara, senala, entonces podriamos pensar que, a menos"
pareciera,RPM-2011-02-17:3813:1,RPM-2011-02-17,hawkish," descartando otras alternativas. no obstante lo anterior, plantea que hay elementos del escenario base que estan siendo dejados atras por la evolucion reciente; en particular, que pareciera que tanto la inflacion como el crecimiento exhiben riesgos desbalanceados al alza, lo que habra que cotejar en el proximo ejercicio de proyeccion de mediano plazo. advierte que la mezcla de riesgos desbalanceados al alza en inflacion y cre"
pareciera,RPM-2005-06-09:292:1,RPM-2005-06-09,dovish,"nifestar el consejero senor marfan. de acuerdo con los ultimos antecedentes con que se cuenta, existe una reduccion de riesgos en el mercado interno; una evolucion del consumo que pareciera fortalecerse; y una reduccion en la estimacion de las existencias, con lo cual se reduce un riesgo importante en el plano interno. a lo anterior, se suman buenas noticias en el campo de la energia, ya que existen menos restricciones de gas"
pareciera,RPM-2010-01-14:2865:1,RPM-2010-01-14,neutral,"el consejero senor rodrigo vergara senala que en el tema de los automoviles, pareciera que, de acuerdo con lo informado, habria una desacumulacion muy fuerte en sus inventarios."
patrones,RPM-2009-04-09:2494:1,RPM-2009-04-09,dovish," que, aunque secundarias, no son irrelevantes. en su opinion, existe el peligro de casarse demasiado o poner demasiado enfasis en la ilusion que se va hacer algo que calce con los patrones historicos, ya que las afirmaciones que se hacen en ese sentido son contingentes con la informacion disponible en el momento en que se hace la afirmacion y, a su juicio, la informacion que se tiene hoy es distinta a la que se tenia en ese "
patrones,RPM-2008-04-10:1774:1,RPM-2008-04-10,neutral," oferta pasados iba a ser algo mayor que la historica. menciona que en la practica esta propagacion mayor no se ha materializado hasta el mes de marzo, por lo que de volver ella a patrones historicos, podria incidir en algunas decimas adicionales de menor inflacion. en sintesis, senala que si se toma solo una perspectiva de corto plazo, anclandose en la decision de marzo y observando solo las noticias coyunturales, en partic"
patrones,RPM-2008-11-13:2159:1,RPM-2008-11-13,neutral,"n en linea con lo previsto, y algo por debajo en el caso de los alimentos no perecibles. agrega que por el lado de los salarios, estos siguen mostrando una dinamica compatible con patrones historicos, mientras las compensaciones inflacionarias se han mantenido bajas. menciona que otras medidas de expectativas de inflacion muestran reducciones moderadas. manifiesta el gerente de division estudios que los antecedentes anterior"
politica,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"5. en principio, los antecedentes acumulados son coherentes con mantener la estrategia de normalizacion pausada de la politica monetaria aplicada desde septiembre pasado, pues ellos parecen insuficientes para modificar de manera significativa el escenario macroeconomico mas probable. sin embargo, si el escenario alternativo de persistencia de las noticias positiva"
politica,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish," estudios, en cuanto a mantener, pero no en cuanto a las opciones que ofrece, porque habria preferido que en ellas se incluyera la posibilidad de efectuar un recorte de la tasa de politica monetaria."
politica,RPM-2005-12-13:516:7,RPM-2005-12-13,neutral,"el gerente de division politica financiera, don luis oscar herrera, senala que los dos fenomenos estan relacionados porque existe un aspecto de la ecuacion que es el diferencial de tasas y cuan correlacionados estarian. agrega el senor herrera, que en esta oportunidad se"
recomendable,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"de las holguras de capacidad estaria progresando mas rapidamente que lo previsto. a ello se suman mejores indicadores de expectativas de hogares y empresas. en este cuadro resulta recomendable continuar transitando hacia una politica monetaria mas neutral desde el actual nivel considerablemente expansivo, de manera de asegurar que, dados los rezagos que tiene dicha politica, el estimulo monetario sea coherente con una inflacion "
recomendable,RPM-2005-05-12:265:1,RPM-2005-05-12,neutral,"ectativas de inflacion, la expansion del gasto interno, la fortaleza del empleo y el crecimiento de los distintos agregados monetarios y de credito como factores que podrian hacer recomendable no postergar un aumento de la tasa de politica monetaria. 10. al mismo tiempo, es posible justificar mantener la tasa de politica monetaria en esta reunion, considerando los escenarios de riesgo que se enfrentan y que sesgan su balance hac"
recomendable,RPM-2007-08-09:1387:1,RPM-2007-08-09,hawkish,"do para la politica monetaria. por ejemplo, agrega, podria darse un cuadro futuro de debilidad ciclica global, que requiera de una politica mas acomodaticia, con lo que podria ser recomendable seguir un curso de ajustes menos intensos a la espera de mayor informacion. en tercer lugar senala el senor rodrigo valdes, al ser un ajuste mayor que el esperado, un alza de 50 puntos base podria leerse como una reaccion a perspectivas in"
recorte,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish,"a gerencia de division estudios, en cuanto a mantener, pero no en cuanto a las opciones que ofrece, porque habria preferido que en ellas se incluyera la posibilidad de efectuar un recorte de la tasa de politica monetaria."
recorte,RPM-2007-04-12:1209:4,RPM-2007-04-12,neutral,", por el contrario, no siguio acelerandose y se atenua en el caso del consumo. el tipo de cambio se ha mantenido. los mercados y analistas asignan una baja probabilidad a un nuevo recorte de la tasa de politica monetaria. la actividad continua aumentando su dinamismo en forma gradual, bastante en linea con el escenario del ipom. • agrega el gerente de division que la inflacion de marzo estuvo dentro de lo proyectado en la r"
recorte,RPM-2006-11-16:976:1,RPM-2006-11-16,dovish,"a en el tiempo, lo que es parte del escenario central, no parece tener mayor sentido mantener dicho sesgo. si adicionalmente se estima que hay una probabilidad significativa de un recorte en el futuro, seria conveniente eliminar ese sesgo. tercero, cabe evaluar si el comunicado restringe en exceso la posibilidad de implementar cambios futuros. en la medida en que se estime que sera necesario realizar ajustes a la tasa de po"
senala,RPM-2010-05-13:3124:1,RPM-2010-05-13,hawkish,"la redaccion sea la misma que la que esta senalando, el termino peak es traducible como maximo, lo que, a su juicio, podria interpretarse de manera complaciente. en segundo lugar, senala que en el ipom se proyectaba un crecimiento de la demanda interna de 12,4% para este ano, que la actualizacion del crecimiento anual para los tres primeros trimestres seria de 11,1; 17,4 y 18,4%, respectivamente, y que para compatibilizar "
senala,RPM-2010-01-14:2884:1,RPM-2010-01-14,dovish,"el senor enrique marshall senala que las noticias del ultimo mes tienden a confirmar, en general, el escenario descrito en el ultimo ipom, el que en terminos gruesos se viene visualizando desde hace varios meses, lo que es senal de la mayor estabilidad alcanzada en el ult"
senala,RPM-2005-02-10:60:1,RPM-2005-02-10,neutral,"ii. exposicion. el gerente de analisis macroeconomico, don pablo garcia, en relacion con el analisis de los desarrollos economicos y financieros recientes, senala lo siguiente: el entorno macroeconomico presento algunas modificaciones desde la divulgacion del informe de politica monetaria, especialmente en lo referido a un mayor crecimiento efectivo del gasto interno y de la actividad en el 2004. su"
senor,RPM-2010-05-13:3124:1,RPM-2010-05-13,hawkish,"el senor manuel marfan manifiesta hacer suya la lista de antecedentes nuevos respecto de la rpm anterior, contenida en el punto 2 de la minuta de opciones, excepto por los dos siguientes puntos. en primer lugar, aclara que las turbulencias financie"
senor,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish,"el senor ministro comenta que al escuchar los fundamentos de la votacion efectuada por el consejero senor enrique marshall, se percato que en su intervencion se expreso en forma poco clara en un aspecto y que le gustaria consignarlo para efectos de"
senor,RPM-2005-02-10:87:1,RPM-2005-02-10,neutral,"en relacion a lo anterior, el senor gerente de analisis macroeconomico hace presente que la tasa de participacion ha subido en torno a un punto porcentual en seis meses, lo cual es completamente inusual en el largo plazo. agrega que han habido periodos de movimientos de esa "
sobrerreaccion,RPM-2005-05-12:273:1,RPM-2005-05-12,hawkish,"e sobrestimo el efecto del impacto inflacionario del mismo. la coyuntura actual aunque diferente tiene algunos elementos comunes con la de aquel entonces y existe el riesgo de una sobrerreaccion de politica. desde esa perspectiva, el mantener la tasa de politica monetaria en esta oportunidad tendria el beneficio de dar una senal clara que no es la intencion del banco acelerar la normalizacion de la politica monetaria. otra razon a"
sobrerreaccion,RPM-2006-06-15:737:1,RPM-2006-06-15,dovish,"inflacionarias contempladas en el escenario central, pero no al punto de alterar las proyecciones en el horizonte habitual de politica. lo mas confuso, desde su perspectiva, es la sobrerreaccion al cambio de las expectativas de tasas en el corto plazo en los estados unidos de america. los excepcionales terminos de intercambio de la economia chilena debieran atemperar los efectos de eventuales cambios en el escenario financiero ext"
sobrerreaccion,RPM-2007-08-09:1394:1,RPM-2007-08-09,hawkish,"nco y no a las proyecciones de mercado, y no se refiere necesariamente al largo plazo, sino que tambien al corto y mediano plazo. senala que por decirlo de otro modo, cree que una sobrerreaccion a las expectativas de mercado podria terminar validando una trayectoria de tasas de interes suboptima, que eventualmente podria sentirse enmendada. por otra parte, cree que si bien es cierto el escenario central en cuanto a actividad es vi"
tasa,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"lgunos meses como pausas en otros, siendo la acumulacion de antecedentes mes a mes un elemento fundamental para definir el ritmo preciso. asi, luego de un mes en que se aumento la tasa de politica monetaria, en la estrategia de normalizacion pausada tienen cabida tanto la mantencion de la tasa de politica monetaria en esta reunion como un aumento de 25 puntos base. 7. la mayoria de los antecedentes coyunturales apoya un "
tasa,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish,"division estudios, en cuanto a mantener, pero no en cuanto a las opciones que ofrece, porque habria preferido que en ellas se incluyera la posibilidad de efectuar un recorte de la tasa de politica monetaria."
tasa,RPM-2006-04-13:632:2,RPM-2006-04-13,neutral,"por otra parte, el senor ministro de hacienda consulta si la explicacion del alza en el embi es solamente tasa de interes."
acordo aumentar,RPM-2007-08-09:1402:1,RPM-2007-08-09,hawkish," consejo adopta el siguiente acuerdo: 111-01-070809 - tasa de politica monetaria. en su reunion mensual de politica monetaria, el consejo del banco central de chile por unanimidad acordo aumentar la tasa de interes de politica monetaria en 25 puntos base a 5,5% anual. comunicado “en su reunion mensual de politica monetaria, el consejo del banco central de chile acordo aumentar la tasa de interes de politica monetaria en 25 puntos b"
acordo aumentar,RPM-2007-09-13:1459:2,RPM-2007-09-13,hawkish,"expone el gerente de division estudios senor rodrigo valdes, que en la reunion de politica monetaria de agosto, el consejo acordo aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 5,5% anual, luego de iguales incrementos en los dos meses anteriores. indica que se estimo necesaria esa decision para que la inflacion proyectada en torno a dos anos se mant"
acordo aumentar,RPM-2011-02-17:3813:3,RPM-2011-02-17,hawkish," lo anterior, el consejo adopto el siguiente acuerdo: 166-01-110217 - tasa de politica monetaria en su reunion mensual de politica monetaria, el consejo del banco central de chile acordo aumentar la tasa de interes de politica monetaria en 0,25% hasta 3,5% anual. comunicado “en su reunion mensual de politica monetaria, acordo aumentar la tasa de interes de politica monetaria en 0,25% hasta 3,5% anual. en el ambito externo, las pers"
compensaciones inflacionarias,RPM-2011-05-12:4047:1,RPM-2011-05-12,hawkish,"para el ano 2012, las expectativas ubican la cifra en 3,4%, inferior al 3,5% de los meses previos. de igual forma, indica que las expectativas de inflacion medidas a traves de las compensaciones inflacionarias muestran importantes reducciones desde la ultima rpm, ya que las tasas de mercado de los bcp y bcu a dos anos arrojan un valor de 3,91%, lo que significa una caida de 43 puntos base desde esa fecha. el ministro de hacienda senor felipe lar"
compensaciones inflacionarias,RPM-2008-04-10:1774:1,RPM-2008-04-10,neutral,"flacionarios en buena parte del mundo. 5.- senala el senor garcia que el mercado no sobrerreacciono de manera significativa ante la sorpresa inflacionaria de marzo, por lo que las compensaciones inflacionarias, aunque algo descendieron, se mantienen elevadas. asimismo, menciona que las medidas de expectativas de inflacion no difieren mucho de las observadas hace un mes atras. 6.- senala tambien el senor garcia, que en terminos de actividad econo"
compensaciones inflacionarias,RPM-2011-06-14:4106:1,RPM-2011-06-14,hawkish," materias primas han presentado movimientos mixtos, destacando la caida en los derivados del petroleo y las alzas en los precios de algunos cereales. manifiesta, asimismo, que las compensaciones inflacionarias han registrado un descenso en las economias avanzadas y que se han aplazado las expectativas de normalizacion de la politica monetaria en este grupo de paises, mientras que en las economias emergentes, las tasas de politica monetaria han c"
consejero senor,RPM-2005-02-10:132:1,RPM-2005-02-10,hawkish,"el consejero senor manuel marfan, agradece el analisis efectuado por el staff y senala que comparte la opinion de que las opciones analizadas en esta oportunidad son las de mantener, o elevar en 25 puntos base la tasa de politica monetaria. agrega que los pr"
consejero senor,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish,"el senor ministro comenta que al escuchar los fundamentos de la votacion efectuada por el consejero senor enrique marshall, se percato que en su intervencion se expreso en forma poco clara en un aspecto y que le gustaria consignarlo para efectos de la elaboracion de la minuta. agrega que concuerda con la alternativa final que plantea la gerenc"
consejero senor,RPM-2007-09-13:1421:1,RPM-2007-09-13,neutral,"el consejero senor manuel marfan comenta que una cosa es como nos vemos y otra es como nos ven los otros, que ojala coincidieran. agrega que al final los mercados financieros dependen mucho de la imagen que se proyecte y a lo mejor se podria decir que tenemo"
consejo estima,RPM-2005-02-10:139:1,RPM-2005-02-10,hawkish,"e con la estrategia de normalizacion pausada del impulso monetario, reduce el riesgo de ajustes abruptos en el futuro y refleja las buenas perspectivas de la economia nacional. el consejo estima que esta estrategia posibilita, en el escenario mas probable, una trayectoria para la inflacion en torno a 3% anual en el horizonte habitual de politica de 12 a 24 meses, a pesar de que es previsible que la inflacion en doce meses se ubiqu"
consejo estima,RPM-2009-06-16:2602:1,RPM-2009-06-16,dovish,"patrones historicos. se preven bajos registros de inflacion anual en los proximos trimestres, mientras que las expectativas de inflacion de mediano plazo se mantienen estables. el consejo estima que, en el escenario mas probable, sera necesario mantener el estimulo monetario por un tiempo mas prolongado que el implicito en los precios de activos financieros. ello permite que la inflacion proyectada se ubique en 3% en el horizonte "
consejo estima,RPM-2005-06-09:294:2,RPM-2005-06-09,hawkish,"mento de los salarios por hora. la decision de mantener la tasa de politica monetaria en esta oportunidad no modifica la expectativa de reduccion pausada del impulso monetario. el consejo estima que esta estrategia permite alcanzar, en el escenario mas probable, una inflacion en torno a 3% anual en el horizonte habitual de politica de 12 a 24 meses.”"
crisis financiera,RPM-2010-05-13:3125:1,RPM-2010-05-13,hawkish,"iero global y con repercusiones relevantes a nivel interno, el banco central tiene las herramientas suficientes para abordar tensiones financieras, tal como lo ha hecho durante la crisis financiera internacional. por lo tanto, a juicio del senor presidente, la pregunta central sigue siendo si se debiera comenzar la normalizacion monetaria en esta reunion o esperar un mes mas. senala que la respuesta no es obvia, pero que ahora se tie"
crisis financiera,RPM-2011-10-13:4392:1,RPM-2011-10-13,dovish,"onde la debilidad de los paises desarrollados sera prolongada. al respecto, indica que en el corto plazo, la discusion ha estado centrada en la capacidad de europa para superar la crisis financiera, lo que podria tener repercusiones importantes sobre el crecimiento en el mundo en los proximos trimestres. no obstante, expresa que mas alla de como se solucione este asunto —tema que por cierto constituye hoy el principal foco de riesgo "
crisis financiera,RPM-2008-11-13:2138:1,RPM-2008-11-13,neutral,"es a los que prevalecian antes de mediados de septiembre. no obstante, senala que se puede anticipar que mientras perdure la incertidumbre sobre los efectos concretos de la actual crisis financiera global en la actividad real del mundo, prevalecera un grado mayor de restrictividad en las condiciones de otorgamiento de creditos. agrega que la encuesta de credito bancario de septiembre, muestra una mayor restriccion tanto en el otorgam"
division estudios,RPM-2011-06-14:4106:1,RPM-2011-06-14,hawkish,"e van entre 5,75% y 6,0%, y que para esta reunion, los contratos financieros y las encuestas anticipan mayoritariamente un alza de 25 puntos base en la tasa rectora. el gerente de division estudios senor luis oscar herrera indica que estos antecedentes llevan a proponer como opciones relevantes un alza de 25 puntos base de la tpm, hasta 5,25%, o mantenerla en 5,00%, y que la recomendacion, en esta oportunidad, es por la primera opcio"
division estudios,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish," forma poco clara en un aspecto y que le gustaria consignarlo para efectos de la elaboracion de la minuta. agrega que concuerda con la alternativa final que plantea la gerencia de division estudios, en cuanto a mantener, pero no en cuanto a las opciones que ofrece, porque habria preferido que en ellas se incluyera la posibilidad de efectuar un recorte de la tasa de politica monetaria."
division estudios,RPM-2006-04-13:643:2,RPM-2006-04-13,neutral,"hace presente el gerente de division estudios, que estos escenarios se pueden revisar para el ipom. agrega que el otro problema es que si se gatillan o no clausulas de reajustabilidad en algunos sectores."
estados unidos,RPM-2011-05-12:4047:1,RPM-2011-05-12,hawkish,"de crecimiento del primer trimestre a publicarse la proxima semana, a la fecha, los efectos de la catastrofe sobre la actividad en el resto del mundo parecen acotados. respecto de estados unidos, destaca la mejora en el mercado laboral, informando que la cifra de empleo del mes de abril arrojo una creacion mensual de 444.000 puestos de trabajo, superior a lo estimado por el mercado. sin embargo, hace notar que, de acuerdo con el a"
estados unidos,RPM-2011-10-13:4392:1,RPM-2011-10-13,dovish,"ultimas semanas han sido de gran volatilidad en los mercados internacionales. en su opinion, destacan tres temas. en primer termino, la ya larga inquietud sobre la recuperacion de estados unidos y la velocidad que ello va a tener en los proximos trimestres; en segundo termino, las tensiones en los mercados de deuda en europa y su impacto sobre el sistema bancario; y, por ultimo, la inquietud sobre la situacion financiera de los ba"
estados unidos,RPM-2009-06-16:2567:3,RPM-2009-06-16,neutral,"ombustibles desde 53 dolares el barril en mayo pasado, a 60 dolares el barril en junio, aumento que estaria asociado a una estimacion de una demanda algo mayor, particularmente en estados unidos."
financieras externas,RPM-2005-06-09:292:2,RPM-2005-06-09,dovish,"dica que, como se desprende de la presentacion de la division de estudios, el entorno macroeconomico que enfrenta la economia chilena sigue mostrandose favorable y las condiciones financieras externas continuan positivas, con una leve tendencia a la baja en las tasas de largo plazo en algunas de las principales economias. las principales novedades del mes provienen de la atenuacion de algunos riesgos considerados en el escenario central"
financieras externas,RPM-2006-04-13:630:1,RPM-2006-04-13,neutral,"o, sorpresas en precios de commodities, cobre y petroleo en particular, precio de la gasolina que crece algo mas que el precio del petroleo por margenes de refinacion, condiciones financieras externas que de todas maneras se mantienen positivas, aun cuando las tasas de largo plazo han mostrado aumentos durante el ultimo mes y los spreads de economias emergentes marginalmente mas altos. senala el senor lehmann que los riesgos se perciben"
financieras externas,RPM-2006-06-15:737:1,RPM-2006-06-15,dovish,"do sorprendentemente elevado, a pesar de la caida reciente que, por lo demas, esta en linea con el escenario central del ultimo ipom. le parece que el deterioro en las condiciones financieras externas no impide considerar que estas sigan siendo favorables, y que a lo mas ha aumentado la probabilidad del escenario de riesgo contemplado en el ipom, en el sentido que se adelante la normalizacion de esas condiciones financieras externas. ag"
horizonte habitual,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"el considerablemente expansivo, de manera de asegurar que, dados los rezagos que tiene dicha politica, el estimulo monetario sea coherente con una inflacion proyectada en 3% en el horizonte habitual de politica de 12 a 24 meses. 8. ahora bien, tambien seria posible justificar mantener la tasa de politica monetaria en su nivel actual si se evaluara que detras del mayor crecimiento existe una expansion especialmente vigorosa del product"
