ngrama,n_palabras,intervenciones,reuniones,apariciones,tfidf_medio,df_hawkish,tasa_hawkish,df_dovish,tasa_dovish,df_neutral,tasa_neutral,asociacion_hawkish,asociacion_dovish
en su,2,117,40,179,0.007530749417243092,33,0.6979166666666666,22,0.5487804878048781,62,0.1321353065539112,2.083062269061486,1.579240076704297
que no,2,117,38,168,0.008718748178016527,18,0.3854166666666667,14,0.35365853658536583,85,0.18076109936575052,0.9906812599711989,0.8293098460386177
ultimo,1,117,40,212,0.007112969195658374,23,0.4895833333333333,21,0.524390243902439,73,0.1553911205073996,1.4101989423424626,1.4986235258443883
el presidente,2,116,40,135,0.016276412672758554,5,0.11458333333333333,4,0.10975609756097561,107,0.22727272727272727,-0.9236157663971095,-0.9790403813643539
con la,2,115,38,167,0.0073179975830048654,21,0.4479166666666667,20,0.5,74,0.15750528541226216,1.281874845366923,1.4449389849927057
aumento,1,114,37,238,0.007798446152851889,29,0.6145833333333334,17,0.4268292682926829,68,0.14482029598308668,1.8826430493618413,1.1867685116057265
demanda,1,112,36,211,0.0077437371889898104,23,0.4895833333333333,16,0.4024390243902439,73,0.1553911205073996,1.4886255892992788,1.1167528905007438
el gerente,2,112,35,160,0.010368195746980953,8,0.17708333333333334,7,0.18292682926829268,97,0.20613107822410148,-0.20204377594464537,-0.14939278468829584
algo,1,111,39,195,0.0071949899525119675,21,0.4479166666666667,17,0.4268292682926829,73,0.1553911205073996,1.3442713825047905,1.2318564011342648
tasa de politica,3,111,36,286,0.008418186531833939,33,0.6979166666666666,30,0.7439024390243902,48,0.10253699788583509,2.1893209564520433,2.2468249917421796
son,1,110,35,183,0.007335523074778671,23,0.4895833333333333,19,0.47560975609756095,68,0.14482029598308668,1.5212302547312064,1.4345181889885765
banco,1,107,37,172,0.008075463809835806,30,0.6354166666666666,17,0.4268292682926829,60,0.12790697674418605,2.0724654471745465,1.294252938272132
base,1,107,33,285,0.008205699168889531,38,0.8020833333333334,20,0.5,49,0.10465116279069768,2.5656979828572917,1.5711567011961256
cambio,1,107,40,177,0.007731000246606587,13,0.28125,16,0.4024390243902439,78,0.16596194503171247,0.6104975928282939,1.1935100894847819
las expectativas,2,106,40,199,0.0064482539941973505,26,0.5520833333333334,23,0.573170731707317,57,0.12156448202959831,1.8148560913344802,1.8357003676139558
central,1,105,33,198,0.008063363797427062,30,0.6354166666666666,19,0.47560975609756095,56,0.11945031712473574,2.110185113123705,1.5155897996358945
de inflacion,2,105,39,211,0.006804013499279983,30,0.6354166666666666,15,0.3780487804878049,60,0.12790697674418605,2.110185113123705,1.119166231714041
desde,1,105,42,188,0.007129723938557795,21,0.4479166666666667,12,0.3048780487804878,72,0.15327695560253699,1.4432378333058118,0.7617775382974589
estudios,1,105,40,141,0.009634952467181254,15,0.3229166666666667,14,0.35365853658536583,76,0.16173361522198731,0.8722029381895678,1.0070969652539004
ser,1,105,33,157,0.008336768342984502,22,0.46875,15,0.3780487804878049,68,0.14482029598308668,1.5260013187415205,1.119166231714041
tasa de politica monetaria,4,105,35,269,0.008131558471676056,31,0.65625,28,0.6951219512195121,46,0.09830866807610994,2.175963917923653,2.2215814173008748
el gerente de,3,103,33,140,0.009602394652360922,7,0.15625,6,0.15853658536585366,90,0.19133192389006343,-0.2677139267736639,-0.24207478719814762
y la,2,102,37,158,0.0067457137304657465,20,0.4270833333333333,13,0.32926829268292684,69,0.14693446088794926,1.4090823052581658,0.9358875333095831
a las,2,101,39,129,0.008575797402865185,13,0.28125,15,0.3780487804878049,73,0.1553911205073996,0.705134466966369,1.1843838911605216
anterior,1,101,30,168,0.006496063959355062,35,0.7395833333333334,21,0.524390243902439,45,0.09619450317124736,2.51231719888939,1.760163684997852
el mercado,2,101,39,158,0.007116238857720728,23,0.4895833333333333,18,0.45121951219512196,60,0.12790697674418605,1.6778206176719082,1.4905648815652681
y el,2,101,39,152,0.006425566434707361,21,0.4479166666666667,8,0.2073170731707317,72,0.15327695560253699,1.513200391473379,0.20538418977307338
con el,2,100,39,147,0.007238068883736259,26,0.5520833333333334,11,0.2804878048780488,63,0.13424947145877378,1.9266044489869356,0.7045619872031275
de lo,2,100,37,135,0.005913470647498482,24,0.5104166666666666,20,0.5,56,0.11945031712473574,1.7751745163084542,1.6914509349138376
precio,1,100,40,210,0.008859396915488673,18,0.3854166666666667,9,0.23170731707317074,73,0.1553911205073996,1.2609836662690321,0.3970434835699138
presidente senor,2,100,39,120,0.014657701288711784,5,0.11458333333333333,4,0.10975609756097561,91,0.193446088794926,-0.7001446945125537,-0.7577162274153972
bien,1,99,35,149,0.006329021678379255,20,0.4270833333333333,18,0.45121951219512196,61,0.13002114164904863,1.4625215642196263,1.525541019808243
economia,1,99,40,216,0.007249073470774366,24,0.5104166666666666,22,0.5487804878048781,53,0.113107822410148,1.7941576196760272,1.880544499465808
para el,2,99,42,202,0.007317011258552789,16,0.34375,10,0.25609756097560976,73,0.1553911205073996,1.078542341770299,0.5733174539248748
division estudios,2,98,38,129,0.009332754190266657,12,0.2604166666666667,12,0.3048780487804878,74,0.15750528541226216,0.6270804770238981,0.874043770548371
la tasa de politica,4,98,34,259,0.00779560893029172,26,0.5520833333333334,27,0.6707317073170732,45,0.09619450317124736,1.9658638794341627,2.286304185156641
sin,1,98,38,156,0.006233974047450885,27,0.5729166666666666,18,0.45121951219512196,53,0.113107822410148,2.0393408916321683,1.5433522959247037
tiene,1,98,36,146,0.009172892454255944,18,0.3854166666666667,9,0.23170731707317074,71,0.1511627906976744,1.2963890024002307,0.4289275445897
por lo,2,97,35,143,0.007008200850008058,22,0.46875,16,0.4024390243902439,59,0.12579281183932348,1.6713008718904936,1.3604817735377468
3,1,96,39,267,0.006947553170111382,19,0.40625,15,0.3780487804878049,62,0.1321353065539112,1.4271303284739087,1.2702839645661685
a los,2,96,35,130,0.0074148231861583935,14,0.3020833333333333,9,0.23170731707317074,73,0.1553911205073996,0.9095112957676542,0.4615322100216274
baja,1,96,36,144,0.007040359124232356,8,0.17708333333333334,17,0.4268292682926829,71,0.1511627906976744,0.03770980605324011,1.4812158700709819
el presidente senor,3,96,38,114,0.014138757265018984,5,0.11458333333333333,4,0.10975609756097561,87,0.1849894291754757,-0.6384157047608473,-0.6966406506636291
puntos,1,96,33,230,0.007461868340834711,37,0.78125,17,0.4268292682926829,42,0.08985200845665962,2.7518534420738354,1.4812158700709819
de un,2,95,35,129,0.005782120123393521,22,0.46875,14,0.35365853658536583,59,0.12579281183932348,1.7100332663792084,1.1740686493068653
segundo,1,95,38,136,0.006291570648640478,21,0.4479166666666667,14,0.35365853658536583,60,0.12790697674418605,1.6249487491258343,1.1740686493068653
importante,1,94,36,145,0.006276416577470489,22,0.46875,13,0.32926829268292684,59,0.12579281183932348,1.729796521200638,1.0709751563427619
los precios,2,94,39,149,0.0058960277824940625,22,0.46875,15,0.3780487804878049,57,0.12156448202959831,1.729796521200638,1.3061291635128904
no se,2,94,36,134,0.007130320429006806,13,0.28125,9,0.23170731707317074,72,0.15327695560253699,0.824011862818289,0.4948908069680586
ya,1,94,35,124,0.006925417890435746,14,0.3020833333333333,16,0.4024390243902439,64,0.13636363636363635,0.944916631898853,1.4145891788771974
ese,1,93,36,123,0.007945349202495542,11,0.23958333333333334,12,0.3048780487804878,70,0.14904862579281183,0.5750922566970952,0.959943843954018
de division estudios,3,92,37,122,0.009070829368770525,11,0.23958333333333334,12,0.3048780487804878,69,0.14693446088794926,0.5926863167118332,0.9777551200704784
el escenario,2,92,33,191,0.0058760589142243655,27,0.5729166666666666,20,0.5,45,0.09619450317124736,2.165789226873107,1.84245872301352
gerente de division,3,92,36,146,0.010304622383694787,6,0.13541666666666666,3,0.08536585365853659,83,0.17653276955602537,-0.3163359946097347,-1.0116450467962814
la actividad,2,92,37,145,0.005381488794520429,23,0.4895833333333333,19,0.47560975609756095,50,0.10676532769556026,1.8535002938400278,1.7505456824362546
nivel,1,92,41,143,0.006795190503755528,19,0.40625,10,0.25609756097560976,63,0.13424947145877378,1.5035823889117819,0.6908110169433154
5,1,91,36,206,0.006786168858611897,18,0.3854166666666667,11,0.2804878048780488,62,0.1321353065539112,1.4276335356784835,0.8574608863527668
podria,1,91,42,143,0.006463408976633208,20,0.4270833333333333,18,0.45121951219512196,53,0.113107822410148,1.615533182725592,1.6745968292029563
riesgo,1,91,34,162,0.00684329211447633,27,0.5729166666666666,19,0.47560975609756095,45,0.09619450317124736,2.1879849729873033,1.7703089372576846
se han,2,91,37,134,0.006144080943841877,20,0.4270833333333333,15,0.3780487804878049,56,0.11945031712473574,1.615533182725592,1.3616242761045942
caso,1,90,40,149,0.0072073339159113925,12,0.2604166666666667,8,0.2073170731707317,70,0.14904862579281183,0.7670879557689958,0.3859564354148943
internacional,1,90,37,133,0.006528953611791199,17,0.3645833333333333,13,0.32926829268292684,60,0.12790697674418605,1.3474631869945,1.143578905299602
por la,2,90,33,130,0.006368576948063591,19,0.40625,15,0.3780487804878049,56,0.11945031712473574,1.5433833969697568,1.380607379472167
que es,2,90,35,130,0.006961563500693817,23,0.4895833333333333,14,0.35365853658536583,53,0.113107822410148,1.8956257695127043,1.2654089608452912
sus,1,90,38,133,0.005699745748503416,23,0.4895833333333333,14,0.35365853658536583,53,0.113107822410148,1.8956257695127043,1.2654089608452912
de crecimiento,2,88,33,154,0.005762020693447017,20,0.4270833333333333,14,0.35365853658536583,54,0.11522198731501057,1.6773724365434548,1.3036282830757815
de interes,2,88,31,172,0.006537310667953925,24,0.5104166666666666,21,0.524390243902439,43,0.0919661733615222,2.0213351035778517,2.014264966061638
interes,1,88,31,172,0.006537310667953925,24,0.5104166666666666,21,0.524390243902439,43,0.0919661733615222,2.0213351035778517,2.014264966061638
la demanda,2,88,32,154,0.005774720906238673,19,0.40625,15,0.3780487804878049,54,0.11522198731501057,1.5843136610246389,1.4193397739608815
proyecciones,1,88,30,154,0.006116633353285104,21,0.4479166666666667,15,0.3780487804878049,52,0.1109936575052854,1.7673016725371649,1.4193397739608815
analisis,1,87,36,126,0.007477720033264416,9,0.19791666666666666,6,0.15853658536585366,72,0.15327695560253699,0.37115927943785637,0.016527372320385536
dos,1,87,33,134,0.00631424771995437,13,0.28125,10,0.25609756097560976,64,0.13636363636363635,0.9535714965872049,0.7810088259148937
entre,1,87,35,133,0.006248839740277596,12,0.2604166666666667,11,0.2804878048780488,64,0.13636363636363635,0.8233039653355437,0.9309899217747319
estados,1,87,39,154,0.0068280222915020955,11,0.23958333333333334,13,0.32926829268292684,63,0.13424947145877378,0.6840266282502591,1.200534790111678
estados unidos,2,87,39,153,0.006825186142095945,11,0.23958333333333334,13,0.32926829268292684,63,0.13424947145877378,0.6840266282502591,1.200534790111678
la economia,2,87,39,188,0.006211016236585747,24,0.5104166666666666,20,0.5,43,0.0919661733615222,2.0438776722289402,1.9455522159776235
trimestre,1,87,35,232,0.008020701882387037,13,0.28125,11,0.2804878048780488,63,0.13424947145877378,0.9535714965872049,0.9309899217747319
unidos,1,87,39,154,0.006853643392606053,11,0.23958333333333334,13,0.32926829268292684,63,0.13424947145877378,0.6840266282502591,1.200534790111678
hay,1,86,31,129,0.008749066606940395,14,0.3020833333333333,13,0.32926829268292684,59,0.12579281183932348,1.0959244199985356,1.220030965737475
la politica,2,86,32,141,0.005694998164207689,28,0.59375,17,0.4268292682926829,41,0.08773784355179703,2.380377809467235,1.67515775263183
chile,1,85,35,137,0.006651405140368471,19,0.40625,16,0.4024390243902439,50,0.10676532769556026,1.6479722982469567,1.590268855045317
cuanto,1,85,38,109,0.0064508948056406544,12,0.2604166666666667,9,0.23170731707317074,64,0.13636363636363635,0.8620363598242583,0.6553554791613045
ipom,1,84,38,159,0.00663434117232539,18,0.3854166666666667,17,0.4268292682926829,49,0.10465116279069768,1.572023445013658,1.7172832283045063
opinion,1,84,34,123,0.0064272545723309486,20,0.4270833333333333,15,0.3780487804878049,49,0.10465116279069768,1.7641772640807274,1.5000710460737388
tasas de,2,84,34,161,0.006098813724701722,14,0.3020833333333333,13,0.32926829268292684,57,0.12156448202959831,1.1362821576146762,1.2598319737954498
cuenta,1,83,38,122,0.005684229694322541,11,0.23958333333333334,9,0.23170731707317074,63,0.13424947145877378,0.7615053809279765,0.693574801391795
en esta,2,83,34,143,0.0057562412127281975,29,0.6145833333333334,18,0.45121951219512196,36,0.07716701902748414,2.532311239470813,1.8408461725018703
en un,2,83,34,117,0.005403094021166969,21,0.4479166666666667,17,0.4268292682926829,45,0.09619450317124736,1.878332984925909,1.7388163898541478
sigue,1,83,36,121,0.0055063128659465855,21,0.4479166666666667,19,0.47560975609756095,43,0.0919661733615222,1.878332984925909,1.9389907718493649
y en,2,83,37,111,0.005318667039032858,18,0.3854166666666667,12,0.3048780487804878,53,0.113107822410148,1.5938828789773976,1.1488006614067061
comenta,1,82,36,103,0.007230613816866613,14,0.3020833333333333,5,0.13414634146341464,63,0.13424947145877378,1.177801427052943,-0.1518769782265694
de que,2,82,34,104,0.005777672880968723,15,0.3229166666666667,14,0.35365853658536583,53,0.113107822410148,1.2952332282219423,1.424764720577416
estima,1,82,33,109,0.00543154956295327,24,0.5104166666666666,14,0.35365853658536583,44,0.09408033826638477,2.1621976394177014,1.424764720577416
esto,1,82,30,116,0.005748468123657613,22,0.46875,16,0.4024390243902439,44,0.09408033826638477,1.9908423739409782,1.6539274922676348
le,1,82,27,128,0.008034654086308995,14,0.3020833333333333,17,0.4268292682926829,51,0.10887949260042283,1.177801427052943,1.760675823817887
mientras,1,82,36,130,0.005566678730128435,9,0.19791666666666666,7,0.18292682926829268,66,0.14059196617336153,0.46610768349311904,0.3333016646938102
monetaria en,2,82,33,149,0.006228191627799011,30,0.6354166666666666,18,0.45121951219512196,34,0.07293868921775898,2.6343443347826616,1.8630419186160665
