intervencion_id,meeting_id,fecha,actor,cargo,texto,anio,flag_texto_danado,topico_humano,keywords_humano,orden_habla,subindice
RPM-2005-01-11:11:1,RPM-2005-01-11,2005-01-11,José De Gregorio Rebeco,Vicepresidente del Banco Central,"El Consejero señor De Gregorio expresa que la prima de riesgo tiene este componente nominal que tienen todos los países del mundo, pero la UF también es una tasa que fluctúa mucho, por lo tanto también hay una prima de riesgo en las tasas en UF.",2005,False,riesgos,riesgos,11,1
RPM-2005-01-11:12:1,RPM-2005-01-11,2005-01-11,Manuel Marfán Lewis,Consejero,"Interviene el Consejero señor Marfán, para agregar que la prima de riesgo tiende a aumentar las tasas en UF por lo tanto la diferencia entre la nominal y la UF es más baja, no más alta.",2005,False,mercados_financieros,mercados_financieros,12,1
RPM-2005-01-11:13:1,RPM-2005-01-11,2005-01-11,Luis Óscar Herrera Barriga,Gerente de División Política Financiera,"El Gerente de División Política Financiera, hace presente, que en nuestro mercado de largo plazo los inversionistas están calzados porque son principalmente compañías de seguro, y fondos de pensiones que muestran su rentabilidad o están obligados a entregar rentas en UF, por lo tanto desde el punto de vista del largo plazo para ellos el activo más seguro es el activo denominado en UF; mientras que en el corto plazo existen inversionistas, que son principalmente, los bancos que están financiándose en parte con instrumentos nominales y que tienden a castigar los instrumentos en UF exigiéndoles una compensación menor.",2005,False,actividad_interna,mercados_financieros,13,1
RPM-2005-01-11:14:1,RPM-2005-01-11,2005-01-11,Esteban Jadresic Marinovic,Gerente de División Internacional,"El Gerente de División Internacional, señor Esteban Jadresic, en relación a lo que señala el señor Herrera, expresa que al final el riesgo es relativo a quien está demandando los papeles, lo que quiere decir que en los papeles largos a diez años un inversionista debiera tener un riesgo. Agrega que la secuencia de inversión de papeles nominales más cortos o incluso de papeles largos, es más riesgoso que tener el papel real y eso quiere decir que la compensación inflacionaria en general debería ser menor que la expectativa de inflación implícita, porque hay que darle un premio adicional a los papeles nominales para poder satisfacer a los mismos demandantes. Entonces indica, sería normal, bajo esa hipótesis que la compensación inflacionaria esté bajo el 3%, si es que es una tasa creíble de inflación a largo plazo.",2005,False,inflacion,inflacion,14,1
RPM-2005-01-11:15:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"El Ministro de Hacienda consulta si al compararse este período de reaceleración de la economía con otros como por ejemplo, en los años 86-87 o 92-93 se aprecia algo diferente. Su opinión es que, en esta oportunidad, ha sido un poco más intensivo en inversión y el consumo ha sido un poco más estable.",2005,False,otros,otros,15,1
RPM-2005-01-11:16:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"El Gerente de Análisis Macroeconómico, señor Pablo García, responde señalando que lo anterior depende de cuál es el punto más bajo que se considere. Indudablemente, indica, hasta el año 2003, el período de mediados del 2002 hacia mediados del 2003 y fines del 2003, toda la aceleración que hubo del crecimiento, del orden de un punto y medio, fue básicamente consumo, y nada de inversión.",2005,False,actividad_interna,actividad_interna,16,1
RPM-2005-01-11:17:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"El señor Ministro aclara que se refiere a la reaceleración, o sea, del 2004 y lo proyectado para el 2005. Se pregunta si el 2004 y 2005 puede ser comparable con el 86-87 o quizás con el 91-92 o 92-93.",2005,False,otros,actividad_interna,17,1
RPM-2005-01-11:18:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"Interviene nuevamente el señor García y expresa que en la última vuelta, o sea el segundo semestre del año 2004, claramente el repunte ha sido por el lado del gasto, básicamente formación de capital fijo. Agrega el señor García que lo anormal que hubo en el último ciclo fue que la inversión se demoró mucho tiempo en repuntar, y también que existía un retraso de la inversión hasta principios del 2004, que era de gran magnitud. Señala que el hecho que se normalice ahora, por cierto, da cifras de crecimiento muy altas, pero el fenómeno anómalo era la debilidad que había mostrado la inversión en todos estos años más que el rebrote que ha mostrado posteriormente.",2005,False,otros,otros,18,1
RPM-2005-01-11:19:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,"Con respecto a este tema, el Presidente señor Corbo acota que la inversión partió rezagada y ahora lo hizo con fuerza y recuperó todo lo que había perdido. En un IPoM anterior, señala, se hizo ese ejercicio y se vio que en el IPoM del año pasado, comparado con las recuperaciones la inversión estaba muy atrás.",2005,False,actividad_interna,actividad_interna,19,1
RPM-2005-01-11:20:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"En cuanto a la exposición relativa a actividad y mercado laboral, el señor Ministro de Hacienda consulta si la proyección de 5,8% para este año está basada, predominantemente, en la imputación de diciembre o hay revisiones hacia atrás.",2005,False,otros,actividad_interna,20,1
RPM-2005-01-11:21:1,RPM-2005-01-11,2005-01-11,Ricardo Vicuña Poblete,Gerente de Información e Investigación Estadística,"El señor Gerente de Información e Investigación Estadística, señor Ricardo Vicuña señala que, efectivamente va a cambiar el año 2003 producto de las revisiones, y eso va a cambiar la base para el cálculo del 2004. Muy a grandes rasgos se hizo un ejercicio muy rápido para ver si efectivamente el cambio de base iba a generar un efecto con el 5,8 y no hay un cambio muy importante, por las ponderaciones del año 2003, que afectan la tasa del 2004. Los nuevos niveles del 2003 cambian las ponderaciones de base para el cálculo del 2004 y esa, por lo menos por cambio de ponderaciones, da una tasa muy parecida al 5,8%.",2005,False,otros,otros,21,1
RPM-2005-01-11:22:1,RPM-2005-01-11,2005-01-11,Manuel Marfán Lewis,Consejero,"En cuanto a empleo el Consejero señor Marfán señala que existe un concepto que es la tasa de ocupación, que puede ligar una variable de comportamiento económico con una variable demográfica. Indica que tiene la impresión que la tasa de desempleo no se sabe interpretar bien, ya que desconocemos si en la fuerza de trabajo prima el componente demográfico o un componente de comportamiento.",2005,False,mercado_laboral,mercado_laboral,22,1
RPM-2005-01-11:23:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"El señor García, para ilustrar el punto, señala que cómo la tasa de participación refleja comportamiento demográfico, también en el corto plazo del ciclo se aprecia como las tendencias de la participación femenina y masculina desde el año 95 han sido claramente distintas. La participación masculina tiene una tendencia desde el 95 de caída bastante sostenida con un incremento leve en el último tiempo, mientras que la participación femenina ha aumentado fuerte ya superando el punto más alto que se dio antes del año 2001. De aquí en adelante estos elementos hacen bastante difícil extrapolar hacia dónde va la fuerza de trabajo masculina si va a continuar y si alguno de estos dos factores va a predominar.",2005,False,mercado_laboral,mercado_laboral,23,1
RPM-2005-01-11:24:1,RPM-2005-01-11,2005-01-11,Jorge Desormeaux Jiménez,Consejero,"El Consejero señor Desormeaux, en relación a las conclusiones de los antecedentes presentados por el Gerente de Análisis Macroeconómico, señala que un tema que se ha discutido a través del Informe de Política Monetaria, pero que es bueno que se vea de nuevo, es aquel de la evolución del tipo de cambio nominal que tenemos prevista de aquí para adelante.",2005,False,mercados_financieros,mercados_financieros,24,1
RPM-2005-01-11:25:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"Con respecto a lo anterior, el señor García señala que el tipo de cambio nominal tiene una depreciación con respecto al dólar en el curso de los próximos dos años hasta alrededor de los $ 590.- $ 600.-, pero eso es consistente con un tipo de cambio real que a fines del horizonte de proyección es muy similar al que tenemos hoy día.",2005,False,mercados_financieros,otros,25,1
RPM-2005-01-11:26:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"Consulta el señor Ministro cómo proyecta el Banco el producto potencial, toda vez que está empezando el 2005.",2005,False,actividad_interna,actividad_interna,26,1
RPM-2005-01-11:27:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"El señor García señala que el Banco usa una metodología que es, básicamente, muy similar a la que utiliza Hacienda pero con frecuencia trimestral.",2005,False,actividad_interna,otros,27,1
RPM-2005-01-11:28:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente, señor Vittorio Corbo, suspende la Sesión a las 13:10 horas e informa que la misma se reanudará a las 16:00 horas.",2005,False,apertura_cierre,apertura_cierre,28,1
RPM-2005-01-11:28:2,RPM-2005-01-11,2005-01-11,Consejo del Banco Central de Chile,Consejo,"Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N° 72. Se incorporan a la reunión el señor Klaus Schmidt-Hebbel Dunker, Gerente de Investigación Económica y la señora Cecilia Feliú Carrizo, Secretaria Ejecutiva del Gabinete de la Presidencia.",2005,False,apertura_cierre,apertura_cierre,28,2
RPM-2005-01-11:29:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"El señor Ministro de Hacienda interviene para señalar que antes de las opciones que se ven en esta coyuntura en particular, y como forma de entender los modelos que se utilizan en el banco, quisiera saber si en opinión del Banco Central el ritmo en síntesis a que se esté cerrando el gap, tiene o no tiene relación. Señala que, sería consistente con el modo de ver las cosas que si ambos ritmos difieren de modo más importante, esto es, si el ritmo de estrechamiento de las holguras, es más rápido, eso debiera configurar un curso de acción monetario restrictivo más rápido que en el caso contrario.",2005,False,apertura_cierre,apertura_cierre,29,1
RPM-2005-01-11:30:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente señor Corbo señala que lo expuesto por el señor Ministro es una de las variables que se consideran, pero lo que sí está claro es que el Banco está partiendo de una situación en la cual la tasa de política monetaria está muy por debajo de cualquier estimación de tasa neutral. Agrega que el Banco ha decidido que esta reducción del estímulo monetario va a ser en forma pausada, en consecuencia entonces es robusta la decisión de pausada respecto a estimaciones que uno tenga del gap. Señala que es efectivo que si el gap se va reduciendo, no hay duda que eso va creando más presión inflacionaria en la medida que se va reduciendo el gasto. Agrega el señor Presidente, que el Banco utiliza los modelos y también su propio juicio, ya que estamos con una tasa de interés hoy día sustancialmente por debajo de cualquier tasa neutral, en cualquier estimación que uno haga. El hecho que el producto esté creciendo fuerte y que los gap se estén acortando indica que el proceso, es el momento de empezar a reducir pausadamente este estímulo monetario que se puso en condiciones muy distintas, Lo anterior, señala el señor Presidente, está relacionado con la velocidad a la cual se van achicando los gaps, pero no estamos discutiendo velocidad, estamos discutiendo básicamente mantener esto pausado. El principio de organización que tenemos para proyectar la inflación tiene que ver con que hay una curva de Phillips, o sea, los gaps son importantes desde el punto de vista para nuestra orientación, pero al final se efectúa un juicio. Agrega que si es la orientación central, tenemos un modelo, y tenemos que tener un esquema para hacer política y ese esquema es que tenemos una curva de Phillips, como tienen todos los bancos centrales.",2005,False,mercados_financieros,otros,30,1
RPM-2005-01-11:31:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"El señor Ministro agrega que quisiera insistir que no se está refiriendo a la decisión puntual de ahora, sino lo que está tratando de entender finalmente es qué es lo que se está discutiendo porque esto es una discusión de IPoM, y no es solamente una discusión de esta coyuntura, sino que se trata de una discusión enfocada más en el largo plazo.",2005,False,debate,otros,31,1
