actor,n_intervenciones,primera_sesion,ultima_sesion,cargos_observados,mandato_inicio,mandato_fin,presidente_inicio,presidente_fin,vicepresidente_inicio,vicepresidente_fin,fuente,verificado,nominado_por,background,educacion
Joaquín Vial Ruiz-Tagle,231,2012-02-14,2015-12-17,Consejero,,,,,,,,False,,,
Andrés Velasco Brañes,222,2006-03-16,2010-01-14,Ministro de Hacienda,,,,,,,,False,,,
Jorge Desormeaux Jiménez,221,2005-01-11,2009-11-12,Consejero; Vicepresidente del Banco Central,1999-12-07,2009-12-04,,,2007-12-13,2009-12-04,en.wikipedia.org/wiki/Jorge_Desormeaux,True,,,
Rodrigo Valdés Pulido,215,2005-01-11,2015-10-15,Gerente de División Estudios; Ministro de Hacienda,,,,,,,,False,,,
Miguel Fuentes Díaz,205,2013-02-14,2015-12-17,Gerente de Análisis Macroeconómico; Gerente de Análisis Macroeconómico (S); Gerente de Análisis Macroeconómico Interino,,,,,,,,False,,,
Beltrán de Ramón Acevedo,183,2005-10-11,2015-12-17,Gerente de División Operaciones Financieras; Gerente de Mercados Financieros; Gerente de Mercados Financieros Nacionales,,,,,,,,False,,,
Igal Magendzo Weinberger,140,2006-04-13,2009-11-12,Asesor del Ministerio de Hacienda; Gerente de Análisis Macroeconómico; Gerente de División Estudios (S),,,,,,,,False,,,
Alberto Naudon Dell'Oro,116,2014-09-11,2015-12-17,Gerente de División Estudios,,,,,,,,False,,,
Kevin Cowan Logan,116,2008-02-07,2014-02-18,Gerente de División Política Financiera; Gerente de División de Política Financiera,,,,,,,,False,,,
Esteban Jadresic Marinovic,87,2005-01-11,2007-12-13,Gerente de División Internacional; Gerente de División Operaciones Financieras,,,,,,,,False,,,
Nicolás Eyzaguirre Guzmán,78,2005-01-11,2006-02-09,Ministro de Hacienda,,,,,,,,False,,,
Diego Gianelli Gómez,62,2015-03-19,2015-12-17,Jefe del Departamento Análisis Internacional,,,,,,,,False,,,
Felipe Larraín Bascuñán,56,2010-03-18,2014-02-18,Ministro de Hacienda,,,,,,,,False,,,
Matías Bernier Bórquez,45,2009-01-08,2015-03-19,Gerente de División Operaciones Financieras (S); Gerente de Mercados Financieros Nacionales; Gerente de Mercados Nacionales,,,,,,,,False,,,
Ricardo Vicuña Poblete,44,2005-01-11,2014-06-12,Gerente de División Estadísticas; Gerente de División de Estadísticas; Gerente de Información e Investigación Estadística,,,,,,,,False,,,
Klaus Schmidt-Hebbel Dunker,40,2005-01-11,2008-04-10,Gerente de Investigación Económica,,,,,,,,False,,,
Luis Felipe Céspedes Cifuentes,24,2008-07-10,2011-01-13,Asesor del Ministerio de Hacienda; Asesor del Ministro de Hacienda; Gerente de Investigación Económica,,,,,,,,False,,,
Miguel Ricaurte Bermúdez,21,2012-02-14,2014-10-16,Economista Senior; Gerente de Análisis Internacional (S),,,,,,,,False,,,
Alberto Arenas de Mesa,21,2006-09-07,2015-04-16,Ministro de Hacienda; Ministro de Hacienda (S),,,,,,,,False,,,
Rodrigo Cerda Norambuena,20,2010-05-13,2013-11-19,Asesor del Ministerio de Hacienda; Asesor del Ministro de Hacienda,,,,,,,,False,,,
Felipe Jaque,20,2008-10-09,2010-10-14,Gerente de Análisis Internacional (S),,,,,,,,False,,,
Claudio Raddatz Kiefer,20,2012-08-16,2015-10-15,Gerente de División Política Financiera; Gerente de Investigación Económica,,,,,,,,False,,,
María Elena Ovalle Molina,17,2005-01-11,2005-11-10,Consejera,,,,,,,,False,,,
Mario Marcel Cullell,15,2005-02-10,2015-12-17,Consejero; Ministro de Hacienda (S),,,,,,,,False,,,
María Olivia Recart Herrera,14,2007-07-12,2009-02-12,Ministra de Hacienda (S); Ministro de Hacienda (S),,,,,,,,False,,,
Alejandro Micco,12,2014-05-15,2015-12-17,Ministro de Hacienda (S); Subsecretario de Hacienda,,,,,,,,False,,,
Luis Opazo Roco,11,2010-05-13,2013-04-11,Gerente de División Política Financiera (S); Gerente de Estabilidad Financiera,,,,,,,,False,,,
Enrique Orellana Cifuentes,7,2008-08-14,2014-09-11,Economista Sénior; Gerente de Estrategia y Comunicación de Política Monetaria,,,,,,,,False,,,
Miguel Ángel Nacrur Gazali,7,2012-10-18,2014-06-12,Fiscal y Ministro de Fe,,,,,,,,False,,,
Camilo Carrasco Alfonso,4,2005-02-10,2005-05-12,Gerente General,,,,,,,,False,,,
Jorge Pérez Etchegaray,3,2005-05-12,2005-05-12,Gerente de Operaciones Monetarias,,,,,,,,False,,,
Leonardo Hernández Tagle,3,2007-12-13,2008-03-13,Subgerente General,,,,,,,,False,,,
Luis Alberto Álvarez Vallejos,2,2008-03-13,2009-02-12,Gerente Asesor de Comunicaciones,,,,,,,,False,,,
Gloria Peña Tapia,2,2015-05-14,2015-05-14,Gerente de División Estadísticas (S),,,,,,,,False,,,
Alfredo Pistelli,2,2014-11-18,2014-11-18,Economista Senior,,,,,,,,False,,,
Elías Albagli Iruretagoyena,2,2015-03-19,2015-09-15,Gerente de Modelación y Análisis Económico,,,,,,,,False,,,
Julio Dittborn Cordua,2,2011-09-15,2012-09-13,Subsecretario de Hacienda,,,,,,,,False,,,
Ari Aisen,1,2010-02-11,2010-02-11,Gerente de Estabilidad Financiera (S),,,,,,,,False,,,
María Eugenia Wagner Brizzi,1,2005-04-07,2005-04-07,Ministra de Hacienda (S),,,,,,,,False,,,
Juan Pablo Araya Marco,1,2015-06-11,2015-06-11,Fiscal y Ministro de Fe,,,,,,,,False,,,
Pablo Pincheira Brown,1,2010-02-11,2010-02-11,Gerente de Investigación Económica (S),,,,,,,,False,,,
Pablo Mattar Oyarzún,1,2014-03-13,2014-03-13,Fiscal y Ministro de Fe (S),,,,,,,,False,,,
Rodrigo Alfaro,1,2015-09-15,2015-09-15,Gerente de División Política Financiera (S),,,,,,,,False,,,
Rodrigo Álvarez Zenteno,1,2010-07-15,2010-07-15,Ministro de Hacienda (S),,,,,,,,False,,,
