intervencion_id,fecha,actor,etiqueta,es_relevante,pred,score_pred,fold
RPM-2011-10-13:4376:1,2011-10-13,Claudio Soto Gamboa,neutral,1,neutral,-0.0509,5
RPM-2011-10-13:4392:1,2011-10-13,Sebastián Claro Edwards,dovish,1,dovish,-0.2483,5
RPM-2011-11-15:4413:2,2011-11-15,Luis Óscar Herrera Barriga,neutral,1,neutral,-0.0326,5
RPM-2011-11-15:4419:1,2011-11-15,José De Gregorio Rebeco,neutral,1,neutral,-0.0293,5
RPM-2011-11-15:4428:1,2011-11-15,José De Gregorio Rebeco,neutral,1,neutral,-0.0931,5
RPM-2011-11-15:4433:2,2011-11-15,Sergio Lehmann Beresi,neutral,1,neutral,-0.0120,5
RPM-2011-11-15:4434:1,2011-11-15,Manuel Marfán Lewis,neutral,1,neutral,-0.0247,5
RPM-2011-11-15:4444:3,2011-11-15,Rodrigo Vergara Montes,neutral,0,neutral,-0.0248,5
RPM-2011-11-15:4456:2,2011-11-15,José De Gregorio Rebeco,neutral,0,neutral,0.0000,5
RPM-2011-12-13:4461:1,2011-12-13,Rodrigo Vergara Montes,neutral,0,neutral,0.0000,4
RPM-2011-12-13:4466:1,2011-12-13,Sergio Lehmann Beresi,neutral,1,neutral,-0.0436,4
RPM-2011-12-13:4502:3,2011-12-13,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,4
RPM-2012-01-12:4528:1,2012-01-12,Manuel Marfán Lewis,neutral,0,neutral,-0.0096,4
RPM-2012-01-12:4537:2,2012-01-12,Sergio Lehmann Beresi,neutral,1,neutral,0.0331,4
RPM-2012-01-12:4559:1,2012-01-12,Enrique Marshall Rivera,neutral,1,neutral,-0.0631,4
RPM-2012-02-14:4615:1,2012-02-14,Joaquín Vial Ruiz-Tagle,neutral,0,neutral,-0.0195,5
RPM-2012-02-14:4640:1,2012-02-14,Felipe Larraín Bascuñán,neutral,0,neutral,0.0000,5
RPM-2012-03-15:4713:1,2012-03-15,Luis Óscar Herrera Barriga,neutral,1,neutral,0.0203,1
RPM-2012-03-15:4719:6,2012-03-15,Claudio Soto Gamboa,neutral,1,neutral,-0.0232,1
RPM-2012-05-17:4812:1,2012-05-17,Sebastián Claro Edwards,neutral,1,neutral,-0.0257,1
RPM-2012-05-17:4825:1,2012-05-17,Claudio Soto Gamboa,neutral,1,neutral,-0.0235,1
RPM-2012-06-14:4862:1,2012-06-14,Sergio Lehmann Beresi,neutral,1,neutral,0.0447,3
RPM-2012-06-14:4885:3,2012-06-14,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,3
RPM-2012-07-12:4934:1,2012-07-12,Rodrigo Vergara Montes,neutral,1,neutral,-0.0391,1
RPM-2012-07-12:4942:1,2012-07-12,Claudio Soto Gamboa,neutral,1,neutral,-0.0270,1
RPM-2012-08-16:4989:1,2012-08-16,Luis Óscar Herrera Barriga,neutral,1,neutral,-0.0311,1
RPM-2012-08-16:5008:1,2012-08-16,Manuel Marfán Lewis,neutral,1,neutral,-0.0485,1
RPM-2012-09-13:5044:1,2012-09-13,Rodrigo Vergara Montes,neutral,0,neutral,-0.0335,5
RPM-2012-09-13:5084:2,2012-09-13,Julio Dittborn Cordua,neutral,1,neutral,-0.1997,5
RPM-2012-10-18:5131:1,2012-10-18,Sebastián Claro Edwards,neutral,1,neutral,-0.0470,4
RPM-2012-10-18:5137:1,2012-10-18,Claudio Soto Gamboa,neutral,1,neutral,-0.0177,4
RPM-2012-10-18:5149:1,2012-10-18,Felipe Larraín Bascuñán,neutral,1,neutral,-0.1168,4
RPM-2012-10-18:5159:3,2012-10-18,Consejo del Banco Central de Chile,neutral,1,dovish,-0.3270,4
RPM-2012-11-13:5166:1,2012-11-13,Manuel Marfán Lewis,neutral,1,neutral,-0.0303,3
RPM-2012-11-13:5168:1,2012-11-13,Manuel Marfán Lewis,neutral,1,neutral,-0.0161,3
RPM-2012-11-13:5175:1,2012-11-13,Sebastián Claro Edwards,neutral,1,neutral,0.0089,3
RPM-2012-11-13:5217:1,2012-11-13,Enrique Marshall Rivera,neutral,1,dovish,-0.1721,3
RPM-2012-12-13:5237:1,2012-12-13,Sebastián Claro Edwards,neutral,1,neutral,-0.0409,1
RPM-2013-01-17:5306:1,2013-01-17,Rodrigo Vergara Montes,neutral,1,neutral,-0.0481,2
RPM-2013-02-14:5336:1,2013-02-14,Luis Óscar Herrera Barriga,neutral,0,neutral,0.0049,3
RPM-2013-02-14:5349:1,2013-02-14,Sergio Lehmann Beresi,neutral,1,neutral,-0.0104,3
RPM-2013-02-14:5385:1,2013-02-14,Luis Óscar Herrera Barriga,neutral,1,neutral,-0.0255,3
RPM-2013-03-14:5443:1,2013-03-14,Felipe Larraín Bascuñán,neutral,1,dovish,-0.1562,5
RPM-2013-04-11:5465:1,2013-04-11,Manuel Marfán Lewis,neutral,1,neutral,-0.0364,3
RPM-2013-04-11:5494:1,2013-04-11,Rodrigo Vergara Montes,neutral,0,neutral,-0.0492,3
RPM-2013-05-16:5525:1,2013-05-16,Sebastián Claro Edwards,neutral,0,neutral,-0.0380,2
RPM-2013-05-16:5548:2,2013-05-16,Rodrigo Vergara Montes,neutral,0,neutral,0.0000,2
RPM-2013-05-16:5556:1,2013-05-16,Felipe Larraín Bascuñán,dovish,1,neutral,-0.1926,2
RPM-2013-06-13:5612:1,2013-06-13,Matías Bernier Bórquez,neutral,1,neutral,-0.0158,2
RPM-2013-06-13:5620:1,2013-06-13,Rodrigo Vergara Montes,neutral,0,neutral,0.0000,2
RPM-2013-06-13:5630:1,2013-06-13,Enrique Marshall Rivera,dovish,1,dovish,-0.5318,2
RPM-2013-06-13:5631:1,2013-06-13,Rodrigo Vergara Montes,neutral,0,neutral,0.0000,2
RPM-2013-06-13:5635:1,2013-06-13,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,2
RPM-2013-07-11:5670:1,2013-07-11,Manuel Marfán Lewis,neutral,1,neutral,-0.0061,3
RPM-2013-07-11:5699:3,2013-07-11,Consejo del Banco Central de Chile,dovish,1,dovish,-0.3933,3
RPM-2013-08-13:5703:1,2013-08-13,Sergio Lehmann Beresi,neutral,1,neutral,-0.0684,2
RPM-2013-08-13:5714:1,2013-08-13,Enrique Marshall Rivera,neutral,1,neutral,-0.1603,2
RPM-2013-09-12:5758:1,2013-09-12,Sergio Lehmann Beresi,neutral,0,neutral,-0.0108,1
RPM-2013-11-19:5864:1,2013-11-19,Joaquín Vial Ruiz-Tagle,neutral,1,neutral,-0.0460,5
RPM-2013-11-19:5873:1,2013-11-19,Claudio Soto Gamboa,neutral,1,neutral,-0.1112,5
RPM-2013-12-12:5936:1,2013-12-12,Joaquín Vial Ruiz-Tagle,neutral,1,neutral,-0.0706,1
RPM-2013-12-12:5946:1,2013-12-12,Rodrigo Vergara Montes,neutral,0,neutral,0.0000,1
RPM-2013-12-12:5963:1,2013-12-12,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,1
RPM-2014-01-16:5977:1,2014-01-16,Claudio Soto Gamboa,neutral,1,neutral,-0.1197,4
RPM-2014-01-16:5987:1,2014-01-16,Beltrán de Ramón Acevedo,neutral,1,neutral,0.1013,4
RPM-2014-01-16:5991:2,2014-01-16,Rodrigo Vergara Montes,neutral,0,neutral,0.0000,4
RPM-2014-01-16:6006:3,2014-01-16,Consejo del Banco Central de Chile,dovish,1,dovish,-0.1590,4
RPM-2014-02-18:6017:1,2014-02-18,Kevin Cowan Logan,neutral,1,neutral,-0.0264,4
