serie,por_que,fuente_sugerida
https://mindicador.cl/api/tasa_desempleo/2005,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2006,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2007,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2008,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2009,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2010,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2011,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2012,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2013,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2014,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tasa_desempleo/2015,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
actores_metadata (campos curados restantes),"mandatos y background de actores no verificados aun (Vergara, Claro, Marshall, Vial, Naudon, Corbo parcial, ministros y staff)","Memoria Anual y Boletin Mensual BCCh, Wikipedia, prensa; completar curado en METADATA_CURADA"
