meeting_id,fecha,n_int,pH,pD,pN,s_score,dTPM,policy_decision,clase_dominante,concuerda
RPM-2007-06-14,2007-06-14,3,0.2733,0.0133,0.7133,0.26,0.0,mantiene,neutral,True
RPM-2007-07-12,2007-07-12,6,0.0,0.0,1.0,0.0,0.25,sube,neutral,False
RPM-2007-08-09,2007-08-09,8,0.4312,0.0,0.5688,0.4312,0.25,sube,neutral,False
RPM-2007-09-13,2007-09-13,12,0.3358,0.0233,0.6408,0.3125,0.25,sube,neutral,False
RPM-2007-10-11,2007-10-11,7,0.0029,0.0029,0.9943,0.0,0.0,mantiene,neutral,True
RPM-2007-11-13,2007-11-13,8,0.005,0.0925,0.9025,-0.0875,0.0,mantiene,neutral,True
RPM-2007-12-13,2007-12-13,12,0.2558,0.0692,0.675,0.1867,0.25,sube,neutral,False
RPM-2008-01-10,2008-01-10,6,0.4617,0.0033,0.535,0.4583,0.25,sube,neutral,False
RPM-2008-02-07,2008-02-07,7,0.02,0.1943,0.7857,-0.1743,0.0,mantiene,neutral,True
RPM-2008-03-13,2008-03-13,11,0.1336,0.0745,0.7918,0.0591,0.0,mantiene,neutral,True
RPM-2008-04-10,2008-04-10,5,0.004,0.264,0.732,-0.26,0.0,mantiene,neutral,True
RPM-2008-05-08,2008-05-08,6,0.01,0.1133,0.8767,-0.1033,0.0,mantiene,neutral,True
RPM-2008-06-10,2008-06-10,10,0.17,0.018,0.812,0.152,0.5,sube,neutral,False
RPM-2008-07-10,2008-07-10,9,0.0133,0.01,0.9767,0.0033,0.5,sube,neutral,False
RPM-2008-08-14,2008-08-14,10,0.378,0.006,0.616,0.372,0.5,sube,neutral,False
RPM-2008-09-04,2008-09-04,9,0.4856,0.0056,0.5089,0.48,0.5,sube,neutral,False
RPM-2008-10-09,2008-10-09,2,0.01,0.01,0.98,0.0,0.0,mantiene,neutral,True
RPM-2008-11-13,2008-11-13,14,0.0064,0.115,0.8786,-0.1086,0.0,mantiene,neutral,True
RPM-2008-12-11,2008-12-11,10,0.002,0.062,0.936,-0.06,0.0,mantiene,neutral,True
RPM-2009-01-08,2009-01-08,3,0.0067,0.0067,0.9867,0.0,-1.0,baja,neutral,False
RPM-2009-02-12,2009-02-12,10,0.014,0.195,0.791,-0.181,-2.5,baja,neutral,False
RPM-2009-03-12,2009-03-12,3,0.0067,0.0067,0.9867,0.0,-2.5,baja,neutral,False
RPM-2009-04-09,2009-04-09,11,0.0064,0.4482,0.5455,-0.4418,-0.5,baja,neutral,False
RPM-2009-05-07,2009-05-07,14,0.0057,0.0757,0.9186,-0.07,-0.5,baja,neutral,False
RPM-2009-06-16,2009-06-16,7,0.0057,0.1386,0.8557,-0.1329,-0.5,baja,neutral,False
RPM-2009-07-09,2009-07-09,4,0.005,0.2225,0.7725,-0.2175,-0.25,baja,neutral,False
RPM-2009-08-13,2009-08-13,10,0.0,0.075,0.925,-0.075,0.0,mantiene,neutral,True
RPM-2009-09-08,2009-09-08,2,0.0,0.3,0.7,-0.3,0.0,mantiene,neutral,True
RPM-2009-10-13,2009-10-13,8,0.0,0.1938,0.8062,-0.1938,0.0,mantiene,neutral,True
RPM-2009-11-12,2009-11-12,4,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2009-12-15,2009-12-15,5,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2010-01-14,2010-01-14,11,0.0,0.1136,0.8864,-0.1136,0.0,mantiene,neutral,True
RPM-2010-02-11,2010-02-11,8,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2010-03-18,2010-03-18,7,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2010-04-15,2010-04-15,6,0.1167,0.0,0.8833,0.1167,0.0,mantiene,neutral,True
RPM-2010-05-13,2010-05-13,3,0.5167,0.0,0.4833,0.5167,0.0,mantiene,hawkish,False
RPM-2010-06-15,2010-06-15,10,0.107,0.01,0.883,0.097,0.5,sube,neutral,False
RPM-2010-07-15,2010-07-15,5,0.14,0.0,0.86,0.14,0.5,sube,neutral,False
RPM-2010-08-12,2010-08-12,7,0.0857,0.0,0.9143,0.0857,0.5,sube,neutral,False
RPM-2010-09-16,2010-09-16,6,0.0,0.0,1.0,0.0,0.5,sube,neutral,False
RPM-2010-10-14,2010-10-14,9,0.2111,0.0,0.7889,0.2111,0.25,sube,neutral,False
RPM-2010-11-16,2010-11-16,9,0.0778,0.0,0.9222,0.0778,0.25,sube,neutral,False
RPM-2010-12-16,2010-12-16,5,0.0,0.0,1.0,0.0,0.25,sube,neutral,False
RPM-2011-01-13,2011-01-13,5,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2011-02-17,2011-02-17,12,0.3167,0.0,0.6833,0.3167,0.25,sube,neutral,False
RPM-2011-03-17,2011-03-17,8,0.1125,0.0,0.8875,0.1125,0.5,sube,neutral,False
RPM-2011-04-12,2011-04-12,2,0.475,0.0,0.525,0.475,0.5,sube,neutral,False
RPM-2011-05-12,2011-05-12,12,0.1417,0.0,0.8583,0.1417,0.5,sube,neutral,False
RPM-2011-06-14,2011-06-14,10,0.365,0.03,0.605,0.335,0.25,sube,neutral,False
RPM-2011-07-14,2011-07-14,4,0.2125,0.0,0.7875,0.2125,0.0,mantiene,neutral,True
RPM-2011-08-18,2011-08-18,5,0.0,0.28,0.72,-0.28,0.0,mantiene,neutral,True
RPM-2011-09-15,2011-09-15,5,0.0,0.42,0.58,-0.42,0.0,mantiene,neutral,True
RPM-2011-10-13,2011-10-13,11,0.0,0.0864,0.9136,-0.0864,0.0,mantiene,neutral,True
RPM-2011-11-15,2011-11-15,10,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2011-12-13,2011-12-13,3,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2012-01-12,2012-01-12,6,0.0,0.0,1.0,0.0,-0.25,baja,neutral,False
RPM-2012-02-14,2012-02-14,8,0.0375,0.0438,0.9188,-0.0062,0.0,mantiene,neutral,True
RPM-2012-03-15,2012-03-15,8,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2012-04-17,2012-04-17,5,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2012-05-17,2012-05-17,3,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2012-06-14,2012-06-14,2,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2012-07-12,2012-07-12,6,0.0,0.0167,0.9833,-0.0167,0.0,mantiene,neutral,True
RPM-2012-08-16,2012-08-16,5,0.06,0.0,0.94,0.06,0.0,mantiene,neutral,True
RPM-2012-09-13,2012-09-13,5,0.06,0.0,0.94,0.06,0.0,mantiene,neutral,True
RPM-2012-10-18,2012-10-18,10,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2012-11-13,2012-11-13,5,0.0,0.02,0.98,-0.02,0.0,mantiene,neutral,True
RPM-2012-12-13,2012-12-13,1,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2013-01-17,2013-01-17,5,0.0,0.04,0.96,-0.04,0.0,mantiene,neutral,True
RPM-2013-02-14,2013-02-14,6,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2013-03-14,2013-03-14,4,0.0875,0.0,0.9125,0.0875,0.0,mantiene,neutral,True
RPM-2013-04-11,2013-04-11,6,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2013-05-16,2013-05-16,3,0.0,0.4,0.6,-0.4,0.0,mantiene,neutral,True
RPM-2013-06-13,2013-06-13,6,0.0,0.125,0.875,-0.125,0.0,mantiene,neutral,True
RPM-2013-07-11,2013-07-11,4,0.0,0.175,0.825,-0.175,0.0,mantiene,neutral,True
RPM-2013-08-13,2013-08-13,6,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2013-09-12,2013-09-12,2,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2013-10-17,2013-10-17,4,0.0,0.45,0.55,-0.45,-0.25,baja,neutral,False
RPM-2013-11-19,2013-11-19,7,0.0,0.2429,0.7571,-0.2429,-0.25,baja,neutral,False
RPM-2013-12-12,2013-12-12,7,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2014-01-16,2014-01-16,7,0.0,0.1143,0.8857,-0.1143,0.0,mantiene,neutral,True
RPM-2014-02-18,2014-02-18,6,0.0,0.4117,0.5883,-0.4117,-0.25,baja,neutral,False
RPM-2014-03-13,2014-03-13,3,0.0,0.0,1.0,0.0,-0.25,baja,neutral,False
RPM-2014-04-17,2014-04-17,3,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2014-05-15,2014-05-15,11,0.0,0.05,0.95,-0.05,0.0,mantiene,neutral,True
RPM-2014-06-12,2014-06-12,9,0.0,0.2056,0.7944,-0.2056,0.0,mantiene,neutral,True
RPM-2014-07-15,2014-07-15,4,0.0,0.625,0.375,-0.625,-0.25,baja,dovish,True
RPM-2014-08-14,2014-08-14,4,0.0,0.48,0.52,-0.48,-0.25,baja,neutral,False
RPM-2014-09-11,2014-09-11,6,0.0,0.1583,0.8417,-0.1583,-0.25,baja,neutral,False
RPM-2014-10-16,2014-10-16,3,0.0,0.2833,0.7167,-0.2833,-0.25,baja,neutral,False
RPM-2014-11-18,2014-11-18,5,0.06,0.0,0.94,0.06,0.0,mantiene,neutral,True
RPM-2014-12-11,2014-12-11,2,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2015-01-15,2015-01-15,2,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2015-02-12,2015-02-12,2,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2015-03-19,2015-03-19,3,0.0,0.2,0.8,-0.2,0.0,mantiene,neutral,True
RPM-2015-04-16,2015-04-16,6,0.0,0.1083,0.8917,-0.1083,0.0,mantiene,neutral,True
RPM-2015-05-14,2015-05-14,8,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2015-06-11,2015-06-11,4,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2015-07-14,2015-07-14,4,0.0,0.0,1.0,0.0,0.0,mantiene,neutral,True
RPM-2015-08-13,2015-08-13,5,0.0,0.25,0.75,-0.25,0.0,mantiene,neutral,True
RPM-2015-09-15,2015-09-15,6,0.1333,0.0,0.8667,0.1333,0.0,mantiene,neutral,True
RPM-2015-10-15,2015-10-15,7,0.1357,0.0,0.8643,0.1357,0.25,sube,neutral,False
RPM-2015-11-12,2015-11-12,5,0.0,0.02,0.98,-0.02,0.0,mantiene,neutral,True
RPM-2015-12-17,2015-12-17,11,0.2409,0.0773,0.6818,0.1636,0.25,sube,neutral,False
