intervencion_id,etiqueta_humana,etiqueta_adjudicada_v3,es_relevante_adjudicada_v3,confianza_adjudicacion,cita_literal_adjudicacion,fundamento_adjudicacion,resultado_revision,estado_revision
RPM-2011-04-12:3967:1,hawkish,hawkish,1,alta,"se deduce con claridad la necesidad de proseguir con la normalización de la política monetaria. El Consejero señor Enrique Marshall declara coincidir con las opciones que presenta la Minuta de Opciones de la Gerencia de División Estudios y concuerda, al mismo tiempo, con que un alza de 50 puntos","Ratificada tras lectura completa: El Consejero vota por subir la TPM en 50 puntos base hasta 4,5%, argumentando la necesidad de proseguir con la normalización monetaria y reforzar el compromiso antiinflacionario. Acción hawkish explícita (subir tasa y retirar impulso) según Codebook v3.",ratificada_v3,cerrado
RPM-2015-04-16:6745:1,dovish,dovish,1,media,es fundamental que la política monetaria siga colaborando en la recuperación del crecimiento.,"Ratificada tras lectura completa: El Ministro de Hacienda argumenta contra la necesidad de restar impulso monetario y subraya que la política monetaria debe seguir colaborando con la recuperación del crecimiento, con holguras de capacidad presentes. Respaldo a mantener una orientación expansiva y rechazo a mayor endurecimiento configura dirección dovish, con confianza media por no proponer recortes explícitos.",ratificada_v3,cerrado
RPM-2007-11-13:1562:1,hawkish,neutral,1,alta,"si no se revirtiera este fenómeno y, por el contrario, empeorara en los próximos días, situación que espera no ocurra, habría que actuar en consecuencia.","Recomienda mantener y solo dice que habría que actuar si empeoran expectativas, sin especificar acción o dirección.",corregida_v3,cerrado
RPM-2010-08-12:3343:1,hawkish,hawkish,1,alta,"la tasa de interés no solo es muy baja aún, sino que constituye una razón suficientemente poderosa para continuar con el proceso de normalización de la política monetaria.","Ratificada tras lectura completa: El Presidente vota por subir la TPM en 50 puntos base hasta 2%, argumentando que la tasa real sigue siendo muy baja y no se justifica un grado de expansividad tan elevado, debiendo continuar el proceso de normalización monetaria. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2007-08-09:1365:2,hawkish,neutral,1,alta,las expectativas de mercado tan to para la inflación como para la Tasa de Política Monetaria se han ajustado a este escenario d e cierre más rápido de las holguras y mayor inflación efectiva.,"Describe inflación y expectativas de mercado de futuras alzas, pero no adopta ni recomienda esa trayectoria como propia.",corregida_v3,cerrado
RPM-2009-04-09:2500:1,dovish,dovish,1,alta,"su voto es por reducir la Tasa de Política Monetaria en 50 puntos base y mantener el sesgo a la baja, pues el relajamiento monetario aún no ha concluido.","Ratificada tras lectura completa: El Presidente vota por reducir la TPM en 50 puntos base manteniendo sesgo a la baja, señalando que aún hay espacio para seguir aumentando el impulso monetario y que el relajamiento no ha concluido. Acción dovish explícita (bajar tasa con sesgo a la baja) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-09-11:6432:1,dovish,dovish,1,alta,"la única opción relevante para esta Reunión es bajar la TPM a 3,25%, ya que un recorte de 50 puntos base provocaría gran confusión y podría ser contraproducente.","Ratificada tras lectura completa: El Consejero vota por bajar la TPM a 3,25% en 25 puntos base, señalando que se necesita un impulso monetario adicional acotado y que se está cerca del nivel de estímulo requerido. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2007-02-08:1092:2,dovish,neutral,1,alta,"recomienda mantener la tasa de política monetaria en esta oportunidad y propone estar atentos en los próximos meses a la inflación subyacente y los indicadores del mercado del trabajo, para ver en qué dirección se van resolviendo las aparentes contradicciones","Recomienda mantener y observar para resolver contradicciones; materializar recortes queda como alternativa, no como orientación propia respaldada.",corregida_v3,cerrado
RPM-2005-10-11:448:1,hawkish,hawkish,1,alta,"es necesario continuar con la normalización de la Política Monetaria. Por lo anterior, su voto es por un nuevo aumento de 25 puntos base en la tasa de Política Monetaria.","Ratificada tras lectura completa: El Presidente vota por un nuevo aumento de 25 puntos base en la TPM, argumentando la necesidad de continuar con la normalización monetaria para evitar efectos de segunda vuelta y desanclaje de expectativas ante presiones cíclicas y shocks de oferta. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2007-08-09:1397:1,hawkish,hawkish,1,alta,el Consejero señor Manuel Marfán manifiesta que su voto es por elevar la tasa de política en 25 puntos base.,"Ratificada tras lectura completa: El Consejero vota por elevar la TPM en 25 puntos base, argumentando un cierre de brechas más rápido de lo previsto, perspectivas de aceleración de la velocidad de la inflación futura y expectativas que apuntan a convergencia a la meta desde arriba (principio de Taylor). Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-02-18:6045:1,dovish,dovish,1,alta,"los antecedentes presentados en ella favorecen claramente la opción de bajar la tasa en 25 puntos base. En efecto, atendidas especialmente la desaceleración de la inversión y de la actividad resto, la evolución acotada de la inflación","Ratificada tras lectura completa: El Gerente respalda explícitamente la opción de bajar la TPM en 25 puntos base, argumentando desaceleración de inversión y actividad, inflación acotada y pass through cambiario limitado, para actuar preventivamente con impulso monetario adicional. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-07-15:6332:1,dovish,dovish,1,alta,"en esta ocasión, su voto es por reducir la TPM en 25 puntos base, a 3,75% anual.","Ratificada tras lectura completa: El Consejero vota por reducir la TPM en 25 puntos base a 3,75% anual, respaldando la opción de recorte con sesgo a la baja ante un escenario de desaceleración generalizada de la actividad y la demanda. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2010-07-15:3275:1,hawkish,hawkish,1,alta,su voto es por elevar la tasa de política monetaria en 50 puntos base y mantener el sesgo del comunicado anterior.,"Ratificada tras lectura completa: El Vicepresidente vota por elevar la TPM en 50 puntos base y mantener el sesgo del comunicado anterior, argumentando que la normalización monetaria debe continuar y que una fracción creciente de analistas prevé inflación sobre la meta en 24 meses. Acción hawkish explícita (subir tasa y sesgo al alza) según Codebook v3.",ratificada_v3,cerrado
RPM-2006-02-09:589:2,hawkish,hawkish,1,media,"señala que la tasa de política monetaria sigue estando por debajo de ese nivel. Asimismo, agrega que con las dos pausas de los últimos meses ya se ha recuperado razonablemente el ritmo de normalización de la política monetaria que se había proyectado.","Ratificada tras lectura completa: El Gerente respalda la recomendación de la Gerencia de División Estudios y señala que la TPM sigue por debajo del nivel neutral y que se ha recuperado el ritmo de normalización de la política monetaria, a la vez que la inflación subyacente se ha ubicado por encima de lo esperado. Continuidad del retiro gradual del estímulo configura dirección hawkish, con confianza media por no explicitar el monto del alza votada.",ratificada_v3,cerrado
RPM-2014-03-13:6099:1,dovish,dovish,1,alta,las alternativas disponibles en esta oportunidad son un recorte de la TPM de 25 o 50 puntos base. Manifiesta que llegar rápido bajando la tasa en 50 puntos base en esta ocasión tiene ventajas,"Ratificada tras lectura completa: El Gerente sostiene que la TPM debe bajar hacia un nivel mínimo cercano a 3,5% o menos para reimpulsar el ciclo, y propone recortes de 25 o 50 puntos base manteniendo el sesgo a la baja. Acción dovish explícita (bajar tasa y preservar sesgo a la baja) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-05-07:2510:4,dovish,neutral,1,alta,"si Chile estuviera incluido acá aparecería con una TPM esperada de un 1%, lo cual significa que la tasa actual se encuentra por encima de la que se esperaría conforme a la Regla de Taylor.",Es un cálculo descriptivo de Regla de Taylor solicitado por el Presidente; no recomienda bajar la TPM.,corregida_v3,cerrado
RPM-2008-05-08:1849:1,hawkish,neutral,1,alta,El Consejo reafirma su compromiso de conducir la política monetaria de manera que la inflación proyectada se ubique en 3% en el horizonte de política. Cambios futuros en la TPM dependerán de la nueva información que se acumule.,"El acuerdo mantiene la TPM y deja cualquier cambio futuro sujeto a nueva información, sin dirección explícita.",corregida_v3,cerrado
RPM-2007-01-11:1049:1,dovish,dovish,1,alta,"puede ser tentadora la posibilidad de postergar está baja de tasas hasta después de la presentación del IPoM, de manera de no sorprender a los mercados ya que no se espera un ajuste en la tasa hoy y eso es algo que debe considerarse.","Ratificada tras lectura completa: El Gerente respalda la decisión de bajar la TPM hoy en lugar de postergarla, argumentando que el escenario de brechas que dejaron de cerrarse y la baja inflación subyacente acumulada justifican actuar sin esperar al IPoM. Ampliar impulso monetario mediante recorte configura dirección dovish según Codebook v3.",ratificada_v3,cerrado
RPM-2011-03-17:3888:1,hawkish,hawkish,1,alta,"el Consejero señor Enrique Marshall vota por subir la TPM en 50pb, hasta 4,0%.","Ratificada tras lectura completa: El Consejero vota por subir la TPM en 50 puntos base hasta 4,0%, reafirmando la necesidad de proseguir con la normalización de la política monetaria y señalando que la TPM está claramente por debajo de su nivel neutral. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2015-09-15:7044:2,hawkish,hawkish,1,alta,"el Consejero señor Joaquín Vial reitera su decisión de mantener su voto en orden a aumentar la TPM en 25 puntos base, a 3,25% anual.","Ratificada tras lectura completa: El Consejero reitera su voto por aumentar la TPM en 25 puntos base hasta 3,25% anual. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2012-02-14:4612:1,hawkish,neutral,1,alta,"la corrección al alza del PIB para el primer trimestre del año en curso hace difícil suponer que se vayan a generar holguras, por lo menos durante este período, lo cual tiene implicancias para la política monetaria.","Diagnostica menor probabilidad de holguras y menciona implicancias, pero no formula una acción ni dirección monetaria.",corregida_v3,cerrado
RPM-2007-12-13:1606:2,hawkish,hawkish,1,alta,considera que lo más plausible es subir la Tasa de Política Monetaria en 25 puntos base y esa es su recomendación.,"Ratificada tras lectura completa: El Gerente recomienda subir la TPM en 25 puntos base, argumentando que las expectativas de inflación, aunque ancladas, están al límite de lo normal y configuran un escenario preocupante. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-07-15:6330:1,dovish,dovish,1,alta,"la recomendación de la Gerencia de División Estudios es por recortar la TPM en 25 puntos base, a 3,75% anual.","Ratificada tras lectura completa: El Gerente transmite la recomendación de recortar la TPM en 25 puntos base hasta 3,75% anual. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2008-06-10:1904:2,hawkish,hawkish,1,alta,"esos tres conjuntos de noticias sugieren un alza en la Tasa de Política Monetaria, tal como se discute en la Minuta de Opciones.","Ratificada tras lectura completa: El Gerente señala que shocks de precios con potenciales efectos de segunda vuelta, alzas en inflación esperada externa y aumentos en expectativas de inflación sugieren un alza en la TPM, respaldando la discusión en la Minuta de Opciones. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-07-09:2646:2,dovish,dovish,1,alta,concuerda también con los planteamientos acerca de la necesidad de impulsar hacia abajo la curva de retorno libre de riesgo dado por restricciones al nivel mínimo de la tasa de política overnight discutido en vanas re,"Ratificada tras lectura completa: El Gerente respalda una tasa de instancia más expansiva, la necesidad de impulsar hacia abajo la curva libre de riesgo ante las restricciones al nivel mínimo de la TPM overnight y una combinación de políticas de liquidez y comunicación para mantener la tasa baja por un período prolongado. Ampliar impulso monetario configura dirección dovish según Codebook v3.",ratificada_v3,cerrado
RPM-2007-07-12:1343:1,hawkish,hawkish,1,alta,"está de acuerdo con la recomendación que hace la Gerencia de División Estudios, en términos que la decisión que corresponde acoger es la de aumentar la Tasa de Política Monetaria.","Ratificada tras lectura completa: El Gerente respalda aumentar la TPM, argumentando un cierre de holguras más significativo que el previsto y ausencia de razones para esperar, aunque descarta un ajuste más agresivo. Acción hawkish explícita (subir tasa y retomar el ritmo de normalización) según Codebook v3.",ratificada_v3,cerrado
RPM-2010-08-12:3333:2,hawkish,hawkish,1,alta,"existe espacio para intensificar el front loading de la política monetaria en los próximos meses, por lo que no descartaría la opción de subir la tasa en 75 puntos base.","Ratificada tras lectura completa: El Gerente respalda subir la TPM en 50 puntos base en esta ocasión y no descarta 75 puntos base, argumentando que las brechas se cierran más rápido de lo esperado y se acumulan presiones inflacionarias futuras, con la TPM aún lejos de la neutral. Acción hawkish explícita (subir tasa y acelerar la normalización) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-04-17:6169:1,dovish,dovish,1,alta,"estima que el Consejo debería considerar disminuir la TPM en 25 puntos base en esta oportunidad y repetirla en la próxima Reunión, atendida la validación del escenario delineado en el último IPoM.","Ratificada tras lectura completa: El Gerente sugiere un recorte de la TPM en 25 puntos base en esta oportunidad y repetirlo en la próxima reunión, con la tasa rectora en 3,50% anual, ante la desaceleración del consumo y las colocaciones comerciales. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2008-06-10:1905:1,hawkish,hawkish,1,alta,"El Gerente de División señor Cowan recomienda al Consejo, en consecuencia, un alza de 25 puntos base con un sesgo al alza.","Ratificada tras lectura completa: El Gerente recomienda al Consejo un alza de 25 puntos base con sesgo al alza, argumentando persistencia de incertidumbre internacional y aumentos de salarios consistentes con indexación histórica. Acción hawkish explícita (subir tasa y sesgo al alza) según Codebook v3.",ratificada_v3,cerrado
RPM-2011-04-12:3962:1,hawkish,neutral,1,alta,los temores inflacionarios están generando presión hacia una normalización de la política monetaria más agresiva en estas economías.,"Describe presiones inflacionarias internas y normalización en economías extranjeras, sin adoptar una recomendación para la TPM chilena.",corregida_v3,cerrado
RPM-2010-07-15:3277:1,hawkish,hawkish,1,alta,"su voto es por subir la tasa a 1,5%. En consecuencia, el Presidente señor José De Gregorio señala que el acuerdo unánime del Consejo es aumentar la TPM en 50 puntos base.","Ratificada tras lectura completa: El Presidente vota por subir la TPM en 50 puntos base hasta 1,5%, argumentando que la instancia sigue siendo muy expansiva, que es necesario anticiparse a presiones inflacionarias y que la tasa está muy por debajo de la neutral. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2005-08-11:362:1,hawkish,hawkish,1,alta,se inclina a favor en un alza de 25 puntos base en la reunión de hoy y vota en consecuencia.,"Ratificada tras lectura completa: El Consejero vota por un alza de 25 puntos base, argumentando que ante un cierre más rápido de holguras y la aceleración de la inflación corresponde una normalización también más rápida de la política monetaria. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2005-11-10:502:1,hawkish,hawkish,1,alta,señala que su voto es por subir la tasa de política monetaria en 25 puntos base.,"Ratificada tras lectura completa: El Vicepresidente vota por subir la TPM en 25 puntos base, argumentando que es necesario continuar con el retiro gradual del impulso monetario para asegurar la convergencia de la inflación a la meta y evitar el desanclaje de expectativas. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2013-11-19:5903:1,dovish,dovish,1,alta,el Presidente señor Rodrigo Vergara estima que en esta oportunidad la opción de reducir la TPM se impone claramente,"Ratificada tras lectura completa: El Presidente se inclina por reducir la TPM, argumentando desaceleración de la demanda interna e inversión, baja inflación con expectativas ancladas y desaceleración moderada de la economía. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2006-07-13:771:2,hawkish,hawkish,1,alta,lo lleva a recomendar un alza de 25 puntos base en esta Reunión de Política Monetaria.,"Ratificada tras lectura completa: El Gerente recomienda un alza de 25 puntos base, argumentando que la brecha del producto se está cerrando o ya se cerró, que la TPM está muy por debajo del rango neutral y que las proyecciones de inflación subyacente superan el centro del rango meta. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-10-16:6472:1,dovish,dovish,1,alta,considera que la mejor alternativa en esta oportunidad es reducir la TPM en 25 puntos base y mantener el sesgo bajista,"Ratificada tras lectura completa: El Gerente respalda reducir la TPM en 25 puntos base y mantener el sesgo bajista, destacando que el ciclo de recortes no debe terminar y que sería inconveniente remover el sesgo. Ampliar impulso monetario mediante recorte con sesgo a la baja configura dirección dovish según Codebook v3.",ratificada_v3,cerrado
RPM-2006-04-13:652:1,hawkish,hawkish,1,media,"En consecuencia, el Consejero señor Manuel Marfán vota por elevar la tasa de política monetaria en 25 puntos base.","Ratificada tras lectura completa: El Consejero vota por elevar la TPM en 25 puntos base, señalando que la opción de mantener o subir es neutral respecto de los fundamentos y que se inclina por el alza principalmente por razones tácticas ligadas a las expectativas del mercado. Acción hawkish (subir tasa), con confianza media por basarse principalmente en consideraciones tácticas y no en un sesgo direccional fuerte.",ratificada_v3,cerrado
