intervencion_id,meeting_id,fold,etiqueta,pred_a,pred_control,pred_ampliado,cambio
RPM-2005-03-10:185:1,RPM-2005-03-10,1,dovish,1,dovish,dovish,False
RPM-2005-03-10:186:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:187:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:188:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:189:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:190:1,RPM-2005-03-10,1,hawkish,1,neutral,neutral,False
RPM-2005-03-10:191:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:192:1,RPM-2005-03-10,1,hawkish,1,hawkish,neutral,True
RPM-2005-03-10:193:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:194:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:195:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:196:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:197:1,RPM-2005-03-10,1,neutral,1,neutral,hawkish,True
RPM-2005-03-10:198:1,RPM-2005-03-10,1,hawkish,1,hawkish,hawkish,False
RPM-2005-03-10:199:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:200:1,RPM-2005-03-10,1,hawkish,1,hawkish,hawkish,False
RPM-2006-05-11:657:2,RPM-2006-05-11,1,neutral,1,neutral,neutral,False
RPM-2006-05-11:661:1,RPM-2006-05-11,1,neutral,1,neutral,neutral,False
RPM-2006-05-11:671:1,RPM-2006-05-11,1,dovish,1,hawkish,hawkish,False
RPM-2006-05-11:672:1,RPM-2006-05-11,1,dovish,1,dovish,hawkish,True
RPM-2006-05-11:673:1,RPM-2006-05-11,1,dovish,1,dovish,dovish,False
RPM-2006-05-11:674:1,RPM-2006-05-11,1,hawkish,1,hawkish,hawkish,False
RPM-2006-08-10:789:1,RPM-2006-08-10,1,neutral,1,neutral,neutral,False
RPM-2006-08-10:807:1,RPM-2006-08-10,1,neutral,0,neutral,neutral,False
RPM-2006-08-10:816:1,RPM-2006-08-10,1,neutral,0,neutral,neutral,False
RPM-2006-08-10:818:1,RPM-2006-08-10,1,neutral,0,neutral,neutral,False
RPM-2006-08-10:820:1,RPM-2006-08-10,1,neutral,1,neutral,neutral,False
RPM-2006-08-10:826:1,RPM-2006-08-10,1,hawkish,1,hawkish,hawkish,False
RPM-2007-06-14:1278:1,RPM-2007-06-14,1,neutral,1,neutral,neutral,False
RPM-2007-06-14:1305:1,RPM-2007-06-14,1,hawkish,1,hawkish,hawkish,False
RPM-2007-07-12:1314:2,RPM-2007-07-12,1,neutral,1,neutral,neutral,False
RPM-2007-07-12:1324:1,RPM-2007-07-12,1,neutral,1,neutral,neutral,False
RPM-2007-07-12:1325:3,RPM-2007-07-12,1,neutral,1,neutral,neutral,False
RPM-2007-07-12:1329:1,RPM-2007-07-12,1,neutral,1,neutral,neutral,False
RPM-2007-07-12:1332:1,RPM-2007-07-12,1,neutral,1,neutral,neutral,False
RPM-2007-07-12:1335:2,RPM-2007-07-12,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1869:7,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1873:4,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1874:1,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1879:1,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1889:3,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1902:1,RPM-2008-06-10,1,hawkish,1,hawkish,hawkish,False
RPM-2008-07-10:1916:2,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1917:3,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1923:7,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1945:1,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1948:2,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1953:1,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1975:1,RPM-2008-07-10,1,neutral,1,neutral,hawkish,True
RPM-2008-12-11:2177:2,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2206:3,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2217:1,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2221:2,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2229:1,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2232:1,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2237:4,RPM-2008-12-11,1,neutral,0,neutral,neutral,False
RPM-2008-12-11:2238:1,RPM-2008-12-11,1,dovish,1,dovish,dovish,False
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,neutral,1,dovish,dovish,False
RPM-2008-12-11:2251:1,RPM-2008-12-11,1,dovish,1,dovish,dovish,False
RPM-2009-09-08:2705:7,RPM-2009-09-08,1,neutral,0,neutral,neutral,False
RPM-2009-09-08:2706:1,RPM-2009-09-08,1,neutral,0,neutral,neutral,False
RPM-2010-08-12:3286:3,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2010-08-12:3302:1,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2010-08-12:3303:3,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2010-08-12:3308:2,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2010-08-12:3310:4,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2010-08-12:3337:1,RPM-2010-08-12,1,hawkish,1,neutral,neutral,False
RPM-2012-11-13:5207:3,RPM-2012-11-13,1,neutral,0,neutral,neutral,False
RPM-2012-11-13:5215:1,RPM-2012-11-13,1,neutral,1,dovish,dovish,False
RPM-2013-08-13:5718:1,RPM-2013-08-13,1,neutral,0,neutral,neutral,False
RPM-2013-08-13:5727:2,RPM-2013-08-13,1,neutral,1,neutral,neutral,False
RPM-2013-08-13:5738:2,RPM-2013-08-13,1,neutral,0,neutral,neutral,False
RPM-2013-08-13:5748:1,RPM-2013-08-13,1,neutral,1,dovish,neutral,True
RPM-2013-08-13:5752:2,RPM-2013-08-13,1,neutral,0,neutral,neutral,False
RPM-2014-10-16:6451:2,RPM-2014-10-16,1,neutral,1,neutral,neutral,False
RPM-2014-10-16:6452:1,RPM-2014-10-16,1,neutral,1,neutral,neutral,False
RPM-2014-10-16:6484:1,RPM-2014-10-16,1,dovish,1,dovish,dovish,False
RPM-2015-05-14:6760:1,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2015-05-14:6762:1,RPM-2015-05-14,1,neutral,0,neutral,neutral,False
RPM-2015-05-14:6769:2,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2015-05-14:6772:1,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2015-05-14:6773:1,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2015-05-14:6774:1,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2015-05-14:6800:1,RPM-2015-05-14,1,neutral,0,neutral,neutral,False
RPM-2015-05-14:6804:1,RPM-2015-05-14,1,neutral,1,dovish,dovish,False
RPM-2005-04-07:207:10,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2006-01-12:527:1,RPM-2006-01-12,2,neutral,0,neutral,neutral,False
RPM-2006-01-12:571:1,RPM-2006-01-12,2,hawkish,1,hawkish,hawkish,False
RPM-2006-10-12:941:1,RPM-2006-10-12,2,neutral,1,dovish,dovish,False
RPM-2007-10-11:1505:1,RPM-2007-10-11,2,neutral,1,neutral,neutral,False
RPM-2008-09-04:2048:1,RPM-2008-09-04,2,neutral,0,neutral,neutral,False
RPM-2008-09-04:2083:1,RPM-2008-09-04,2,neutral,1,neutral,neutral,False
RPM-2008-09-04:2088:1,RPM-2008-09-04,2,hawkish,1,hawkish,dovish,True
RPM-2009-07-09:2608:4,RPM-2009-07-09,2,neutral,1,neutral,neutral,False
RPM-2009-07-09:2644:2,RPM-2009-07-09,2,dovish,1,dovish,dovish,False
RPM-2009-10-13:2714:1,RPM-2009-10-13,2,neutral,0,neutral,neutral,False
RPM-2009-10-13:2725:5,RPM-2009-10-13,2,neutral,1,neutral,neutral,False
RPM-2009-10-13:2742:1,RPM-2009-10-13,2,neutral,1,neutral,neutral,False
RPM-2009-12-15:2809:1,RPM-2009-12-15,2,neutral,1,neutral,neutral,False
RPM-2009-12-15:2821:1,RPM-2009-12-15,2,neutral,1,neutral,neutral,False
RPM-2009-12-15:2823:2,RPM-2009-12-15,2,neutral,1,neutral,neutral,False
RPM-2009-12-15:2829:1,RPM-2009-12-15,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3372:1,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3388:2,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3422:1,RPM-2010-09-16,2,neutral,0,neutral,neutral,False
RPM-2011-01-13:3695:1,RPM-2011-01-13,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4713:1,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4719:6,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2013-11-19:5864:1,RPM-2013-11-19,2,neutral,1,neutral,neutral,False
RPM-2013-11-19:5873:1,RPM-2013-11-19,2,neutral,1,neutral,neutral,False
RPM-2015-01-15:6562:1,RPM-2015-01-15,2,neutral,1,neutral,neutral,False
RPM-2015-01-15:6584:1,RPM-2015-01-15,2,neutral,0,neutral,neutral,False
RPM-2015-01-15:6586:3,RPM-2015-01-15,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:201:1,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:202:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:202:3,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:203:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:203:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:203:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:203:4,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:204:1,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:204:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:204:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:205:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:205:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:205:4,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:205:5,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:206:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:206:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:206:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:206:4,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:206:5,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:11,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:12,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:4,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:5,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:6,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:7,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:8,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:207:9,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:208:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:209:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:210:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:210:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:210:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:211:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:212:1,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:212:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:212:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:212:4,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:212:5,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:213:1,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:213:2,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:213:3,RPM-2005-04-07,2,neutral,1,neutral,neutral,False
RPM-2005-04-07:214:1,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:214:2,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:214:3,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:214:4,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:214:5,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-04-07:215:1,RPM-2005-04-07,2,dovish,1,hawkish,hawkish,False
RPM-2005-04-07:216:1,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:217:1,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:217:2,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:218:1,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:219:1,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:219:2,RPM-2005-04-07,2,hawkish,1,hawkish,hawkish,False
RPM-2005-04-07:220:1,RPM-2005-04-07,2,neutral,0,neutral,neutral,False
RPM-2005-09-08:390:1,RPM-2005-09-08,2,hawkish,1,hawkish,hawkish,False
RPM-2005-09-08:391:1,RPM-2005-09-08,2,neutral,0,neutral,neutral,False
RPM-2006-01-12:533:1,RPM-2006-01-12,2,neutral,1,hawkish,hawkish,False
RPM-2006-01-12:553:1,RPM-2006-01-12,2,neutral,1,neutral,neutral,False
RPM-2006-01-12:564:1,RPM-2006-01-12,2,neutral,1,neutral,neutral,False
RPM-2006-01-12:567:1,RPM-2006-01-12,2,neutral,1,neutral,neutral,False
RPM-2006-10-12:897:1,RPM-2006-10-12,2,neutral,0,neutral,neutral,False
RPM-2006-10-12:906:1,RPM-2006-10-12,2,neutral,1,neutral,neutral,False
RPM-2006-10-12:919:1,RPM-2006-10-12,2,neutral,1,neutral,neutral,False
RPM-2006-10-12:922:1,RPM-2006-10-12,2,neutral,1,neutral,neutral,False
RPM-2006-10-12:936:1,RPM-2006-10-12,2,dovish,1,dovish,dovish,False
RPM-2007-10-11:1497:1,RPM-2007-10-11,2,neutral,1,neutral,neutral,False
RPM-2007-10-11:1502:1,RPM-2007-10-11,2,neutral,1,neutral,neutral,False
RPM-2007-10-11:1503:3,RPM-2007-10-11,2,neutral,1,neutral,neutral,False
RPM-2007-10-11:1504:2,RPM-2007-10-11,2,neutral,1,neutral,neutral,False
RPM-2007-10-11:1507:1,RPM-2007-10-11,2,neutral,1,neutral,neutral,False
RPM-2007-10-11:1508:3,RPM-2007-10-11,2,neutral,0,neutral,neutral,False
RPM-2007-10-11:1519:1,RPM-2007-10-11,2,neutral,1,hawkish,hawkish,False
RPM-2008-09-04:2050:3,RPM-2008-09-04,2,neutral,1,neutral,neutral,False
RPM-2008-09-04:2067:1,RPM-2008-09-04,2,neutral,1,neutral,neutral,False
RPM-2008-09-04:2073:1,RPM-2008-09-04,2,neutral,1,neutral,neutral,False
RPM-2008-09-04:2086:1,RPM-2008-09-04,2,hawkish,1,hawkish,hawkish,False
RPM-2008-09-04:2094:1,RPM-2008-09-04,2,hawkish,1,hawkish,hawkish,False
RPM-2008-09-04:2095:1,RPM-2008-09-04,2,hawkish,1,hawkish,hawkish,False
RPM-2008-09-04:2099:1,RPM-2008-09-04,2,hawkish,1,hawkish,hawkish,False
RPM-2008-09-04:2100:1,RPM-2008-09-04,2,neutral,0,neutral,neutral,False
RPM-2009-07-09:2629:3,RPM-2009-07-09,2,neutral,1,neutral,neutral,False
RPM-2009-07-09:2637:2,RPM-2009-07-09,2,neutral,1,neutral,neutral,False
RPM-2009-10-13:2715:1,RPM-2009-10-13,2,neutral,0,neutral,neutral,False
RPM-2009-10-13:2718:1,RPM-2009-10-13,2,neutral,1,neutral,neutral,False
RPM-2009-10-13:2726:2,RPM-2009-10-13,2,neutral,1,neutral,neutral,False
RPM-2009-10-13:2728:1,RPM-2009-10-13,2,neutral,0,neutral,neutral,False
RPM-2009-10-13:2729:1,RPM-2009-10-13,2,neutral,1,neutral,neutral,False
RPM-2009-10-13:2734:2,RPM-2009-10-13,2,neutral,1,neutral,neutral,False
RPM-2009-10-13:2747:1,RPM-2009-10-13,2,neutral,0,neutral,neutral,False
RPM-2009-10-13:2757:2,RPM-2009-10-13,2,dovish,1,dovish,dovish,False
RPM-2009-10-13:2758:1,RPM-2009-10-13,2,dovish,1,hawkish,hawkish,False
RPM-2009-12-15:2828:1,RPM-2009-12-15,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3345:1,RPM-2010-09-16,2,neutral,0,neutral,neutral,False
RPM-2010-09-16:3346:1,RPM-2010-09-16,2,neutral,0,neutral,neutral,False
RPM-2010-09-16:3354:3,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3374:1,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3389:1,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3395:4,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2010-09-16:3409:2,RPM-2010-09-16,2,neutral,1,neutral,neutral,False
RPM-2011-01-13:3651:1,RPM-2011-01-13,2,neutral,1,neutral,neutral,False
RPM-2011-01-13:3656:3,RPM-2011-01-13,2,neutral,1,neutral,neutral,False
RPM-2011-01-13:3659:1,RPM-2011-01-13,2,neutral,0,neutral,neutral,False
RPM-2011-01-13:3672:1,RPM-2011-01-13,2,neutral,1,neutral,neutral,False
RPM-2011-01-13:3698:1,RPM-2011-01-13,2,neutral,1,neutral,neutral,False
RPM-2011-01-13:3717:1,RPM-2011-01-13,2,neutral,0,neutral,neutral,False
RPM-2012-03-15:4681:1,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4689:2,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4697:1,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4701:1,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4706:2,RPM-2012-03-15,2,neutral,1,neutral,neutral,False
RPM-2012-03-15:4720:1,RPM-2012-03-15,2,neutral,0,neutral,neutral,False
RPM-2012-03-15:4721:1,RPM-2012-03-15,2,neutral,1,hawkish,dovish,True
RPM-2013-11-19:5861:1,RPM-2013-11-19,2,neutral,1,neutral,neutral,False
RPM-2013-11-19:5866:1,RPM-2013-11-19,2,neutral,1,neutral,neutral,False
RPM-2013-11-19:5872:1,RPM-2013-11-19,2,neutral,0,neutral,neutral,False
RPM-2013-11-19:5884:3,RPM-2013-11-19,2,neutral,0,neutral,neutral,False
RPM-2013-11-19:5900:1,RPM-2013-11-19,2,dovish,1,dovish,dovish,False
RPM-2013-11-19:5901:1,RPM-2013-11-19,2,dovish,1,dovish,dovish,False
RPM-2014-09-11:6397:1,RPM-2014-09-11,2,neutral,1,neutral,neutral,False
RPM-2014-09-11:6405:1,RPM-2014-09-11,2,neutral,1,neutral,neutral,False
RPM-2014-09-11:6406:1,RPM-2014-09-11,2,neutral,1,neutral,neutral,False
