intervencion_id,meeting_id,etiqueta,fold,pred_a,pred_b,pred,condicion,prob_b_dovish,prob_b_hawkish,prob_b_neutral
RPM-2005-03-10:142:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:143:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:144:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:145:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:146:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:147:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:148:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:149:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:150:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:151:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:152:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:153:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:154:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:155:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:156:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:157:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:158:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:159:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:160:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:161:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:162:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:163:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:164:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:166:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:167:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:168:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:169:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:170:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:171:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:172:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:173:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:174:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:175:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:176:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:177:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:178:1,RPM-2005-03-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2005-03-10:178:2,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:179:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:181:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:182:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:183:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:184:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:185:1,RPM-2005-03-10,dovish,1,1,dovish,dovish,control,,,
RPM-2005-03-10:186:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:187:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:188:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:189:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:190:1,RPM-2005-03-10,hawkish,1,1,neutral,neutral,control,,,
RPM-2005-03-10:191:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:192:1,RPM-2005-03-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2005-03-10:193:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:194:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:195:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:196:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:197:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:198:1,RPM-2005-03-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2005-03-10:199:1,RPM-2005-03-10,neutral,1,0,hawkish,neutral,control,,,
RPM-2005-03-10:200:1,RPM-2005-03-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2006-05-11:657:2,RPM-2006-05-11,neutral,1,1,neutral,neutral,control,,,
RPM-2006-05-11:661:1,RPM-2006-05-11,neutral,1,1,neutral,neutral,control,,,
RPM-2006-05-11:671:1,RPM-2006-05-11,dovish,1,1,hawkish,hawkish,control,,,
RPM-2006-05-11:672:1,RPM-2006-05-11,dovish,1,1,dovish,dovish,control,,,
RPM-2006-05-11:673:1,RPM-2006-05-11,dovish,1,1,dovish,dovish,control,,,
RPM-2006-05-11:674:1,RPM-2006-05-11,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2006-08-10:789:1,RPM-2006-08-10,neutral,1,1,neutral,neutral,control,,,
RPM-2006-08-10:807:1,RPM-2006-08-10,neutral,1,0,neutral,neutral,control,,,
RPM-2006-08-10:816:1,RPM-2006-08-10,neutral,1,0,neutral,neutral,control,,,
RPM-2006-08-10:818:1,RPM-2006-08-10,neutral,1,0,neutral,neutral,control,,,
RPM-2006-08-10:820:1,RPM-2006-08-10,neutral,1,1,neutral,neutral,control,,,
RPM-2006-08-10:826:1,RPM-2006-08-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2007-06-14:1278:1,RPM-2007-06-14,neutral,1,1,neutral,neutral,control,,,
RPM-2007-06-14:1305:1,RPM-2007-06-14,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2007-07-12:1314:2,RPM-2007-07-12,neutral,1,1,neutral,neutral,control,,,
RPM-2007-07-12:1324:1,RPM-2007-07-12,neutral,1,1,neutral,neutral,control,,,
RPM-2007-07-12:1325:3,RPM-2007-07-12,neutral,1,1,neutral,neutral,control,,,
RPM-2007-07-12:1329:1,RPM-2007-07-12,neutral,1,1,neutral,neutral,control,,,
RPM-2007-07-12:1332:1,RPM-2007-07-12,neutral,1,1,neutral,neutral,control,,,
RPM-2007-07-12:1335:2,RPM-2007-07-12,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1869:7,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1873:4,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1874:1,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1879:1,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1889:3,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1902:1,RPM-2008-06-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2008-07-10:1916:2,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1917:3,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1923:7,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1945:1,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1948:2,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1953:1,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1975:1,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2177:2,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2206:3,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2217:1,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2221:2,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2229:1,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2232:1,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2237:4,RPM-2008-12-11,neutral,1,0,neutral,neutral,control,,,
RPM-2008-12-11:2238:1,RPM-2008-12-11,dovish,1,1,dovish,dovish,control,,,
RPM-2008-12-11:2249:1,RPM-2008-12-11,neutral,1,1,dovish,dovish,control,,,
RPM-2008-12-11:2251:1,RPM-2008-12-11,dovish,1,1,dovish,dovish,control,,,
RPM-2009-09-08:2705:7,RPM-2009-09-08,neutral,1,0,neutral,neutral,control,,,
RPM-2009-09-08:2706:1,RPM-2009-09-08,neutral,1,0,neutral,neutral,control,,,
RPM-2010-08-12:3286:3,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2010-08-12:3302:1,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2010-08-12:3303:3,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2010-08-12:3308:2,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2010-08-12:3310:4,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2010-08-12:3337:1,RPM-2010-08-12,hawkish,1,1,neutral,neutral,control,,,
RPM-2012-11-13:5207:3,RPM-2012-11-13,neutral,1,0,neutral,neutral,control,,,
RPM-2012-11-13:5215:1,RPM-2012-11-13,neutral,1,1,dovish,dovish,control,,,
RPM-2013-08-13:5718:1,RPM-2013-08-13,neutral,1,0,neutral,neutral,control,,,
RPM-2013-08-13:5727:2,RPM-2013-08-13,neutral,1,1,neutral,neutral,control,,,
RPM-2013-08-13:5738:2,RPM-2013-08-13,neutral,1,0,neutral,neutral,control,,,
RPM-2013-08-13:5748:1,RPM-2013-08-13,neutral,1,1,dovish,dovish,control,,,
RPM-2013-08-13:5752:2,RPM-2013-08-13,neutral,1,0,dovish,neutral,control,,,
RPM-2014-10-16:6451:2,RPM-2014-10-16,neutral,1,1,neutral,neutral,control,,,
RPM-2014-10-16:6452:1,RPM-2014-10-16,neutral,1,1,neutral,neutral,control,,,
RPM-2014-10-16:6484:1,RPM-2014-10-16,dovish,1,1,dovish,dovish,control,,,
RPM-2015-05-14:6760:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2015-05-14:6762:1,RPM-2015-05-14,neutral,1,0,neutral,neutral,control,,,
RPM-2015-05-14:6769:2,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2015-05-14:6772:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2015-05-14:6773:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2015-05-14:6774:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2015-05-14:6800:1,RPM-2015-05-14,neutral,1,0,neutral,neutral,control,,,
RPM-2015-05-14:6804:1,RPM-2015-05-14,neutral,1,1,dovish,dovish,control,,,
RPM-2005-03-10:165:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06858737933157397,0.031477078828423155,0.8999355418400029
RPM-2005-03-10:180:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.07601500528476789,0.07541598855372696,0.8485690061615051
RPM-2006-08-10:806:1,RPM-2006-08-10,neutral,1,1,neutral,neutral,ampliado_59,0.19591021711672948,0.1403397593259612,0.6637500235573093
RPM-2006-08-10:808:1,RPM-2006-08-10,neutral,1,1,neutral,neutral,ampliado_59,0.1622978472983493,0.19156231915619146,0.6461398335454592
RPM-2007-06-14:1296:3,RPM-2007-06-14,neutral,1,1,neutral,neutral,ampliado_59,0.04286439365029703,0.0447054111182995,0.9124301952314035
RPM-2007-07-12:1325:1,RPM-2007-07-12,neutral,1,0,neutral,neutral,ampliado_59,0.07853477356321086,0.06656300183730911,0.8549022245994801
RPM-2008-06-10:1854:1,RPM-2008-06-10,neutral,1,1,neutral,neutral,ampliado_59,0.051570978774859104,0.038208078521901646,0.9102209427032392
RPM-2008-06-10:1870:3,RPM-2008-06-10,neutral,1,1,neutral,neutral,ampliado_59,0.08065777518752808,0.056309340512992925,0.863032884299479
RPM-2008-06-10:1878:1,RPM-2008-06-10,neutral,1,1,neutral,neutral,ampliado_59,0.07039379511559331,0.03523371231648358,0.8943724925679232
RPM-2008-06-10:1904:1,RPM-2008-06-10,hawkish,1,1,hawkish,hawkish,ampliado_59,0.20134872307476778,0.7093117287897004,0.08933954813553187
RPM-2008-07-10:1923:8,RPM-2008-07-10,neutral,1,1,neutral,neutral,ampliado_59,0.12608869650609772,0.10022690695377957,0.7736843965401228
RPM-2008-07-10:1959:1,RPM-2008-07-10,neutral,1,1,neutral,neutral,ampliado_59,0.08717225857592742,0.07896645004667135,0.8338612913774013
RPM-2008-12-11:2176:1,RPM-2008-12-11,neutral,1,0,neutral,neutral,ampliado_59,0.1312887684393415,0.130912927367261,0.7377983041933974
RPM-2008-12-11:2187:1,RPM-2008-12-11,neutral,1,1,neutral,neutral,ampliado_59,0.03635565757889569,0.017685964106602094,0.9459583783145022
RPM-2009-09-08:2689:1,RPM-2009-09-08,neutral,1,0,neutral,neutral,ampliado_59,0.13751888193882142,0.05724617633961166,0.8052349417215668
RPM-2009-09-08:2699:4,RPM-2009-09-08,neutral,1,1,neutral,neutral,ampliado_59,0.04585425734955633,0.05115814416011649,0.9029875984903272
RPM-2009-09-08:2711:2,RPM-2009-09-08,dovish,1,1,dovish,dovish,ampliado_59,0.4501056875224341,0.21558482213256663,0.3343094903449993
RPM-2010-08-12:3281:1,RPM-2010-08-12,neutral,1,1,neutral,neutral,ampliado_59,0.09919113052812724,0.09132953523010924,0.8094793342417635
RPM-2010-08-12:3306:1,RPM-2010-08-12,neutral,1,1,neutral,neutral,ampliado_59,0.03828910859791342,0.02435938601420486,0.9373515053878818
RPM-2012-11-13:5166:1,RPM-2012-11-13,neutral,1,1,neutral,neutral,ampliado_59,0.0628206792296906,0.028817213943962198,0.9083621068263472
RPM-2012-11-13:5168:1,RPM-2012-11-13,neutral,1,1,neutral,neutral,ampliado_59,0.04226646804440326,0.04076783813282799,0.9169656938227687
RPM-2012-11-13:5175:1,RPM-2012-11-13,neutral,1,1,neutral,neutral,ampliado_59,0.06950965829361962,0.060535892033776795,0.8699544496726036
RPM-2012-11-13:5217:1,RPM-2012-11-13,neutral,1,1,dovish,dovish,ampliado_59,0.5126485590799692,0.23857629468556915,0.24877514623446173
RPM-2013-08-13:5703:1,RPM-2013-08-13,neutral,1,1,neutral,neutral,ampliado_59,0.11334537184394754,0.06489383824020853,0.8217607899158439
RPM-2013-08-13:5714:1,RPM-2013-08-13,neutral,1,1,neutral,neutral,ampliado_59,0.21960623188963824,0.07638357933857762,0.7040101887717841
RPM-2014-10-16:6466:2,RPM-2014-10-16,neutral,1,0,neutral,neutral,ampliado_59,0.13980828541672577,0.0690269804743481,0.7911647341089261
RPM-2014-10-16:6473:1,RPM-2014-10-16,neutral,1,0,neutral,neutral,ampliado_59,0.14093165405478447,0.03190403543863966,0.8271643105065758
RPM-2015-05-14:6763:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,ampliado_59,0.08339466270824136,0.03261274810001965,0.883992589191739
RPM-2015-05-14:6768:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,ampliado_59,0.03619015894352513,0.03276794077218745,0.9310419002842875
RPM-2005-03-10:140:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.09629833401345766,0.07337353307214876,0.8303281329143934
RPM-2005-03-10:141:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.11445699029544074,0.0961549383488439,0.7893880713557153
RPM-2005-03-10:142:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.07329318528218355,0.11380730864558916,0.8128995060722273
RPM-2005-03-10:143:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.170514343177932,0.1645254270992045,0.6649602297228635
RPM-2005-03-10:144:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.19420413202518635,0.2599827505254766,0.545813117449337
RPM-2005-03-10:145:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.19173769302700375,0.27538829129104564,0.5328740156819507
RPM-2005-03-10:146:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.14446304470653806,0.27858461020561553,0.5769523450878464
RPM-2005-03-10:147:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06554674072685213,0.055275336496003635,0.8791779227771443
RPM-2005-03-10:148:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.05046267842341135,0.0520068777410407,0.8975304438355478
RPM-2005-03-10:149:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06390171100828299,0.06963762053133823,0.8664606684603787
RPM-2005-03-10:150:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06704617936389826,0.06442988197664072,0.868523938659461
RPM-2005-03-10:151:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.0626524489411764,0.06006691164270212,0.8772806394161214
RPM-2005-03-10:152:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06202171496072886,0.11024693366388921,0.8277313513753818
RPM-2005-03-10:153:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.058141792817852145,0.05416874211085462,0.8876894650712932
RPM-2005-03-10:154:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.08131841838194243,0.04511633690917569,0.8735652447088819
RPM-2005-03-10:155:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.05226456157852378,0.03343935368906729,0.914296084732409
RPM-2005-03-10:156:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.09422891992231776,0.03757951246209465,0.8681915676155876
RPM-2005-03-10:157:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.04693108947046426,0.03968811663243874,0.9133807938970969
RPM-2005-03-10:158:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.09082392173215319,0.053676140182006386,0.8554999380858404
RPM-2005-03-10:159:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.05137965700686575,0.03736402803430024,0.9112563149588341
RPM-2005-03-10:160:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.0937514934481878,0.047252561505775205,0.858995945046037
RPM-2005-03-10:161:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.16870148775128446,0.11432478712088127,0.7169737251278343
RPM-2005-03-10:162:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.02946698560436151,0.02052377901566248,0.9500092353799761
RPM-2005-03-10:163:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.05789770417384789,0.039004047101078514,0.9030982487250735
RPM-2005-03-10:164:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.16570781061229142,0.06929395025823361,0.7649982391294751
RPM-2005-03-10:166:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.07143941331682845,0.05019067744767157,0.8783699092355
RPM-2005-03-10:167:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.17549424758824542,0.10611888923087738,0.7183868631808773
RPM-2005-03-10:168:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.1343992936722674,0.05568447533430654,0.809916230993426
RPM-2005-03-10:169:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.13801991460446497,0.05529921795802038,0.8066808674375147
RPM-2005-03-10:170:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.11926776254992492,0.051617425694649964,0.8291148117554252
RPM-2005-03-10:171:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.08964593373631216,0.055236689712255066,0.8551173765514327
RPM-2005-03-10:172:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.05673285823722262,0.05798309586195292,0.8852840459008244
RPM-2005-03-10:173:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06562057060458595,0.0369133229064509,0.8974661064889631
RPM-2005-03-10:174:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06920359776005103,0.05374306850640058,0.8770533337335484
RPM-2005-03-10:175:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.0410235090400737,0.05436915372965147,0.9046073372302748
RPM-2005-03-10:176:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.09325327440186389,0.10603043577539734,0.8007162898227388
RPM-2005-03-10:177:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.07759040172251373,0.07556791160365608,0.8468416866738302
RPM-2005-03-10:178:1,RPM-2005-03-10,hawkish,1,1,hawkish,hawkish,ampliado_59,0.08982559211800872,0.8782545548776979,0.031919853004293494
RPM-2005-03-10:178:2,RPM-2005-03-10,neutral,1,0,neutral,neutral,ampliado_59,0.0509356901034696,0.04538683352084789,0.9036774763756824
RPM-2005-03-10:179:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.2247421624901806,0.24698653520463407,0.5282713023051854
RPM-2005-03-10:181:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.10657164495117599,0.09259028240862856,0.8008380726401955
RPM-2005-03-10:182:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.06786965112006957,0.04065523370114658,0.8914751151787839
RPM-2005-03-10:183:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.16187577093822048,0.2578172492846902,0.5803069797770893
RPM-2005-03-10:184:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.35524795528809117,0.10863253489502966,0.5361195098168792
RPM-2005-03-10:185:1,RPM-2005-03-10,dovish,1,1,dovish,dovish,ampliado_59,0.4205048767014713,0.19339836156258605,0.38609676173594265
RPM-2005-03-10:186:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.2090645925190532,0.15470562812753308,0.6362297793534137
RPM-2005-03-10:187:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.09735050561920337,0.04721277534540898,0.8554367190353876
RPM-2005-03-10:188:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.09202951115510208,0.0597302766994973,0.8482402121454006
RPM-2005-03-10:189:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.21120771829592894,0.246847597251174,0.541944684452897
RPM-2005-03-10:190:1,RPM-2005-03-10,hawkish,1,1,neutral,neutral,ampliado_59,0.2953368436157227,0.21511039432391305,0.4895527620603641
RPM-2005-03-10:191:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.269332183789483,0.16408403016297377,0.5665837860475432
RPM-2005-03-10:192:1,RPM-2005-03-10,hawkish,1,1,neutral,neutral,ampliado_59,0.23846367712088418,0.37861360174566266,0.38292272113345316
RPM-2005-03-10:193:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,ampliado_59,0.32988154189878577,0.26094661335653324,0.40917184474468093
