fold,ngram_max,n_train,n_validacion,vocabulario_a,vocabulario_b,terminos_longitud_maxima_b,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral
4,1,1193,159,4440,4302,4302,0.8867924528301887,0.7013855709507885,0.6285714285714286,0.5217391304347826,0.9538461538461539,0.6470588235294118,0.75,0.9253731343283582,0.6111111111111112,0.4,0.9841269841269841,17,8,134
4,2,1193,159,4440,17376,13074,0.8742138364779874,0.7024038610976889,0.6470588235294118,0.5185185185185185,0.9416342412451362,0.6470588235294118,0.875,0.9029850746268657,0.6470588235294118,0.3684210526315789,0.983739837398374,17,8,134
4,3,1193,159,4440,29726,12350,0.8805031446540881,0.7041343669250645,0.6666666666666666,0.5,0.9457364341085271,0.7058823529411765,0.75,0.9104477611940298,0.631578947368421,0.375,0.9838709677419355,17,8,134
4,4,1193,159,4440,37080,7354,0.8805031446540881,0.7038169066076043,0.6857142857142857,0.48,0.9457364341085271,0.7058823529411765,0.75,0.9104477611940298,0.6666666666666666,0.35294117647058826,0.9838709677419355,17,8,134
4,5,1193,159,4440,41081,4001,0.8930817610062893,0.7199095022624435,0.7058823529411765,0.5,0.9538461538461539,0.7058823529411765,0.75,0.9253731343283582,0.7058823529411765,0.375,0.9841269841269841,17,8,134
4,6,1193,159,4440,43385,2304,0.8930817610062893,0.7199095022624435,0.7058823529411765,0.5,0.9538461538461539,0.7058823529411765,0.75,0.9253731343283582,0.7058823529411765,0.375,0.9841269841269841,17,8,134
5,1,1194,158,4450,4302,4302,0.9177215189873418,0.7372267145852053,0.6666666666666666,0.5714285714285714,0.9735849056603774,0.7142857142857143,0.5454545454545454,0.9699248120300752,0.625,0.6,0.9772727272727273,14,11,133
5,2,1194,158,4450,17194,12892,0.9240506329113924,0.7850014386746021,0.6896551724137931,0.6956521739130435,0.9696969696969697,0.7142857142857143,0.7272727272727273,0.9624060150375939,0.6666666666666666,0.6666666666666666,0.9770992366412213,14,11,133
5,3,1194,158,4450,29271,12077,0.9240506329113924,0.7850014386746021,0.6896551724137931,0.6956521739130435,0.9696969696969697,0.7142857142857143,0.7272727272727273,0.9624060150375939,0.6666666666666666,0.6666666666666666,0.9770992366412213,14,11,133
5,4,1194,158,4450,36379,7108,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
5,5,1194,158,4450,40298,3919,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
5,6,1194,158,4450,42580,2282,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
