caso_id,intervencion_id,meeting_id,etiqueta,confianza,es_relevante,frase_justificante,nota,estado_revision,uso_propuesto,metodo,etiquetador,fecha_anotacion,version_codebook,ronda,tipo_referencia,n_caracteres,n_palabras,sha256_texto,flag_cotejo_fuente,incorporado_a_train
C11,RPM-2014-08-14:6388:1,RPM-2014-08-14,dovish,alta,1,"su voto es por recortar la TPM en 25 puntos base, para dejarla en 3,5%, y por conservar en lo grueso el tenor del Comunicado anterior",R1. Necesidad de estímulo adicional y recorte efectivo respaldado de 25 pb; preferir gradualidad frente a 50 pb sigue siendo expansivo.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,4997,804,44d43d61bedb3d2b7f54c8e4ef1d39d637227df5e9a97d4171ca67e4d9532538,False,0
C12,RPM-2009-03-12:2436:1,RPM-2009-03-12,dovish,alta,1,su voto es por reducir la Tasa de Política Monetaria en 250 puntos base,R1. Recorte de 250 pb y mantenimiento de sesgo a la baja. El retorno futuro a cambios menores no altera esta dirección.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,2552,435,c57e70c4edf13e41512c6bc08ce0fc045120f3c6d16de0dd555bdee0b94c07fd,False,0
C13,RPM-2006-05-11:660:2,RPM-2006-05-11,hawkish,media,1,"manteniéndose en la actualidad un sesgo expansivo que, en el escenario más probable, se espera seguir reduciendo, para asegurar la convergencia de la inflación a 3% dentro del horizonte habitual de proyección","R5/R7. Expone una trayectoria doméstica de menor impulso monetario para converger a la meta; no se basa solo en alzas externas. Confianza media por su carácter de escenario/supuesto técnico, no voto. Hay un corte textual en costos que no se repara. Reservar fuera del primer núcleo H/D de alta confianza.",anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,10598,1712,a42ec8c9a2931d0aff3c711b421ab2e8bbd09629a91ce93f4ce93fa10270bf50,True,0
C14,RPM-2008-12-11:2250:1,RPM-2008-12-11,dovish,alta,1,vota por bajar la Tasa de Política Monetaria en 25 puntos base para dejarla en un nivel de 8% anual,"R1. Quiere iniciar de inmediato una rebaja y sesgo a la baja. Aquí normalización significa reducir la tasa, no endurecer.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,3098,493,01318cc99f060444df644785fede0d729305ed02287b2a5113de35ef36cceb31,False,0
C15,RPM-2011-10-13:4388:1,RPM-2011-10-13,dovish,media,1,"estima conveniente que el Comunicado refleje los mayores riesgos que está enfrentando la economía internacional y, por lo tanto, la economía chilena, de forma de dar señales de que la Autoridad está disponible para actuar decididamente en caso de ser necesario",R4/R7. Mantiene hoy y pide cambiar el sesgo ante deterioro externo/doméstico y presiones contenidas: lectura expansiva implícita. No nombra expresamente un recorte doméstico; confianza media y reserva fuera del núcleo H/D de alta confianza.,anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,7320,1219,8b528a692684e819b88c25c33ef7b738d7280910aa11ea2f3b9770be45b53b19,False,0
C16,RPM-2006-01-12:559:1,RPM-2006-01-12,hawkish,alta,1,es aconsejable que se proceda a un alza de 25 puntos base en la tasa de política monetaria,R5/R1. Recomendación explícita del staff de subir 25 pb. Los escenarios y tasas extranjeras no son necesarios para identificar la dirección final.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,5406,880,fbc2fd7df5cd97d88326b5d15bd1e9ab70c96f457216524c855b211d39b073f9,True,0
C17,RPM-2011-09-15:4289:1,RPM-2011-09-15,neutral,alta,1,"Brasil, que ha optado por reducir su tasa de política monetaria en 50 puntos base ante la evidencia de una desaceleración importante de su economía","R3/R5. Exposición internacional: tasas de Brasil, Europa, Asia y Estados Unidos, sin recomendación de TPM chilena. La cita ejemplifica una decisión extranjera que no debe heredarse como postura doméstica.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,8677,1419,b3fa558f3810fbed4261fb728d3203b36ba9424fe26b2919029c497f99a93c3d,False,0
C18,RPM-2015-04-16:6743:1,RPM-2015-04-16,neutral,media,1,la Gerencia de División Estudios propone como única opción relevante mantener la TPM en 3% y el sesgo neutral,"R5/R9. Confirma escenario, mantención y sesgo neutral; la discusión futura de normalización queda condicionada y sin dirección explícita en esa formulación. No inferir H de normalización ni D de impulso ya vigente. Se conserva con confianza media.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,5506,916,792c94d35cd10ad9ee5a8f6ba0cacf52d0e300c5cd28312b839025c34970d8f7,False,0
C19,RPM-2013-06-13:5576:3,RPM-2013-06-13,neutral,alta,1,el alza de las tasas de interés en Francia y Alemania a dos años plazo es muy superior a la de la tasa norteamericana a igual plazo,R3. Comparación de tasas extranjeras y fundamentos fiscales/de actividad; no expresa una preferencia para la política chilena.,anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,434,78,b50b4a2726196bfe6d1b6e102233ce34fd70cfc5b607bebf4a0f25e424803f7b,False,0
C20,RPM-2011-11-15:4449:1,RPM-2011-11-15,dovish,alta,1,"hay una tercera opción, que es mantener la TPM hoy en 5,25% e introducir un sesgo negativo y no condicional a un escenario dado",R5/R7. Prefiere mantención hoy con un sesgo expansivo no condicional y argumenta que distintos escenarios exigirán reducir la TPM. Rechazar un recorte sorpresivo hoy no elimina esa dirección futura respaldada.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,3127,540,ba4b6c13874a662856211ea690e0cda01872597fbc2d49fa2752ce159ab21ad7,False,0
C21,RPM-2013-03-14:5405:1,RPM-2013-03-14,neutral,alta,1,el peso mexicano se ha apreciado a pesar del sorpresivo recorte de la tasa de política en 50 puntos base decretada por el Banco de México,"R3/R5. Describe bolsas, flujos y política extranjera. El recorte citado pertenece a México, no constituye recomendación para la TPM chilena.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,2798,455,ec50f96cca4d29c5cfa584cb0c1558b2c8330f6f3434ce86509b1d870a065fc7,False,0
C22,RPM-2008-07-10:1975:2,RPM-2008-07-10,hawkish,alta,1,"se suma a la votación de los señores Consejeros, en el sentido de aumentar la Tasa de Política Monetaria en 50 puntos base, con un sesgo al alza en el Comunicado","R1. Adhesión a un alza concreta y sesgo al alza, ambos explícitos en la misma intervención.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,248,46,e045750c6745263d2805dd6b389f2f828ee4efdc1d36ce1e8cc4f7ae2b9500c5,False,0
C23,RPM-2015-12-17:7180:1,RPM-2015-12-17,neutral,alta,1,"luego del alza de la TPM acordada en la Reunión del mes de octubre, las condiciones financieras se han mantenido favorables en términos de su promedio histórico y de niveles","R2/R5. Exposición de actividad, inflación y condiciones financieras. Menciona una decisión anterior de TPM sin respaldar una nueva dirección en la unidad actual; diagnóstico inflacionario no basta para H.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,3052,510,62c123a542f8e3bf7e6344ac0bb8abd924e17d2ad7045a40ad6c8958249cf2bf,False,0
C24,RPM-2014-04-17:6167:1,RPM-2014-04-17,dovish,alta,1,"recomienda mantener la TPM en 4,0% anual y mantener el sesgo a la baja en el Comunicado de esta Reunión","R5/R7. Recomendación expresa de sesgo a la baja, aunque se mantenga el nivel hoy. No necesita recuperar razones de otra intervención.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,204,35,1066ee4b2419cf1242bddcf1b376b2533aba8d275d011d6a2124216f18a1c4bf,False,0
C25,RPM-2010-08-12:3328:3,RPM-2010-08-12,neutral,alta,1,"en su Reunión de Política Monetaria de julio, el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 50 puntos base",R5. El staff recapitula la decisión y el anuncio de julio; esta unidad no contiene evaluación o recomendación propia adicional para la reunión actual. Historia citada no equivale por sí sola a adhesión actual H.,anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,449,69,68084491e3b5bde43de32d46cd86597504c54b9e56c13ee32013bd135acf4544,False,0
C26,RPM-2010-12-16:3641:1,RPM-2010-12-16,hawkish,alta,1,"el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,25% anual","R1/R6. Acuerdo institucional actual de alza de 25 pb, más continuidad de retiro de estímulo. No es mera formalidad aunque incluya encabezado.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,1832,278,24c8a44244f9eb7084b1368636ac42751a548fe066997164ae746a34b1b3af58,False,0
C27,RPM-2014-12-11:6537:1,RPM-2014-12-11,dovish,alta,1,entregan las condiciones para que la política monetaria pueda seguir aumentando su grado de expansividad,"R2/R4/R7. El Ministro vincula explícitamente crecimiento débil y menores expectativas inflacionarias con espacio para más expansividad; justifica esa orientación, no solo enumera tasas esperadas del mercado.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,1787,291,37f412318071121f1c7aa648c6151db797181f2847076bec1dd501eee50a1967,False,0
C28,RPM-2012-06-14:4876:1,RPM-2012-06-14,neutral,alta,1,"la Encuesta de Expectativas Económicas no considera baja alguna, sino que una trayectoria plana hasta fines de año y luego en el año 2013, algunas alzas para situar la tasa en 5,25% anual","R5. Contrasta encuestas y expectativas de mercado de signo distinto, sin recomendar una. No asignar la postura de la encuesta al expositor.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,1208,205,77999e8078f103aa960ef30fb8e17f85bbd4c2c34cb9230fb35a22b8677a92ab,False,0
C29,RPM-2011-12-13:4507:3,RPM-2011-12-13,dovish,alta,1,parece recomendable rebajar la tasa en 25 puntos base en esta reunión y recalcar la flexibilidad de la política monetaria en caso que la situación internacional se vuelva más adversa,R1/R2. Tras el diagnóstico externo e interno recomienda inequívocamente un recorte doméstico de 25 pb; no se etiqueta D solo por la baja del BCE.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,6005,984,c399960370e92a81b3c1cbf648f2adff62e4ab22045fb847b7b19b36cc63d54c,False,0
C30,RPM-2014-02-18:6055:2,RPM-2014-02-18,dovish,alta,1,"su voto es por bajar la Tasa de Política Monetaria a 4,25% anual y por mantener el sesgo de la Reunión anterior",R1/R6/R7. Voto y acuerdo de reducción doméstica; además prevé relajamiento adicional. El recorte está explícito aquí y no se importa la dirección de otra unidad.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-16,v2,ampliacion_hd_60_ia_tanda01,anotacion_ia_no_gold_humano,667,112,397ae6f78831c6fb8277ee0a45c7a4173399cfa5efff4db49448ca5cc84dfe98,False,0
