intervencion_id,n_ventanas,caracteres,caracteres_contexto,numero_ambiguo
RPM-2010-06-15:3137:1,1,664,464,False
RPM-2010-06-15:3166:1,0,458,0,False
RPM-2010-06-15:3199:1,3,5253,4118,False
RPM-2010-08-12:3281:1,0,1027,0,False
RPM-2010-08-12:3306:1,0,149,0,False
RPM-2010-09-16:3372:1,0,600,0,False
RPM-2010-09-16:3388:2,0,102,0,False
RPM-2010-09-16:3422:1,0,80,0,False
RPM-2010-10-14:3439:3,1,1955,630,False
RPM-2010-10-14:3467:1,0,467,0,False
RPM-2010-10-14:3476:2,0,766,0,False
RPM-2010-10-14:3476:3,1,2851,1576,False
RPM-2010-10-14:3493:1,0,83,0,False
RPM-2011-01-13:3695:1,0,98,0,False
RPM-2011-08-18:4224:2,0,966,0,False
RPM-2011-08-18:4263:1,0,136,0,False
RPM-2011-08-18:4272:1,3,8090,3719,False
RPM-2011-11-15:4413:2,0,175,0,False
RPM-2011-11-15:4419:1,0,130,0,False
RPM-2011-11-15:4428:1,0,1135,0,False
RPM-2011-11-15:4433:2,0,705,0,True
RPM-2011-11-15:4434:1,0,201,0,False
RPM-2011-11-15:4444:3,0,72,0,False
RPM-2011-11-15:4456:2,0,152,0,False
RPM-2012-01-12:4528:1,0,113,0,False
RPM-2012-01-12:4537:2,2,3153,1539,False
RPM-2012-01-12:4559:1,0,1188,0,False
RPM-2012-02-14:4615:1,0,225,0,False
RPM-2012-02-14:4640:1,0,210,0,False
RPM-2012-03-15:4713:1,0,205,0,False
RPM-2012-03-15:4719:6,1,4926,444,False
RPM-2012-05-17:4812:1,0,224,0,False
RPM-2012-05-17:4825:1,0,2087,0,False
RPM-2012-06-14:4862:1,2,2350,1690,False
RPM-2012-06-14:4885:3,1,200,200,False
RPM-2012-08-16:4989:1,0,2161,0,False
RPM-2012-08-16:5008:1,0,951,0,False
RPM-2012-09-13:5044:1,0,241,0,False
RPM-2012-09-13:5084:2,3,7690,2881,True
RPM-2012-11-13:5166:1,0,578,0,False
RPM-2012-11-13:5168:1,0,187,0,False
RPM-2012-11-13:5175:1,0,817,0,False
RPM-2012-11-13:5217:1,2,4073,2061,False
RPM-2013-01-17:5306:1,0,754,0,False
RPM-2013-03-14:5443:1,1,575,575,False
RPM-2013-06-13:5612:1,0,528,0,False
RPM-2013-06-13:5620:1,0,171,0,False
RPM-2013-06-13:5630:1,3,4986,4119,False
RPM-2013-06-13:5631:1,0,174,0,False
RPM-2013-06-13:5635:1,0,83,0,False
RPM-2013-08-13:5703:1,4,7300,3173,False
RPM-2013-08-13:5714:1,1,1524,661,False
RPM-2013-11-19:5864:1,1,2178,781,False
RPM-2013-11-19:5873:1,0,3346,0,False
RPM-2014-01-16:5977:1,1,8644,1151,False
RPM-2014-01-16:5987:1,0,1045,0,False
RPM-2014-01-16:5991:2,1,246,246,False
RPM-2014-01-16:6006:3,3,2621,1696,False
RPM-2014-03-13:6057:1,1,1512,513,False
RPM-2014-03-13:6075:1,0,187,0,False
RPM-2014-03-13:6103:2,0,506,0,False
RPM-2014-05-15:6181:1,1,1606,1606,False
RPM-2014-08-14:6389:3,1,195,195,False
RPM-2014-10-16:6466:2,1,246,246,False
RPM-2014-10-16:6473:1,0,250,0,False
RPM-2015-01-15:6562:1,0,875,0,False
RPM-2015-01-15:6584:1,1,349,349,False
RPM-2015-01-15:6586:3,1,305,305,False
RPM-2015-03-19:6680:1,0,223,0,False
RPM-2015-03-19:6681:1,2,4465,1549,False
RPM-2015-04-16:6699:1,0,166,0,False
RPM-2015-05-14:6763:1,0,339,0,False
RPM-2015-05-14:6768:1,0,508,0,False
RPM-2015-06-11:6810:1,1,1568,1568,False
RPM-2015-06-11:6857:2,2,2278,1448,False
RPM-2015-08-13:6955:1,0,1497,0,False
RPM-2015-08-13:6962:1,1,351,351,False
RPM-2015-08-13:6969:1,3,4589,3679,False
RPM-2015-09-15:6980:1,1,1453,1453,False
RPM-2015-09-15:7045:1,2,1982,1164,False
RPM-2015-10-15:7075:1,0,425,0,False
RPM-2015-10-15:7093:1,0,140,0,False
RPM-2015-10-15:7107:1,0,172,0,False
RPM-2015-12-17:7207:1,1,1972,675,False
RPM-2015-12-17:7210:1,4,6083,3443,False
RPM-2015-12-17:7211:1,0,235,0,False
RPM-2005-01-11:10:1,0,135,0,False
RPM-2005-01-11:11:1,0,245,0,False
RPM-2005-01-11:12:1,0,185,0,False
RPM-2005-01-11:13:1,0,622,0,False
RPM-2005-01-11:14:1,0,822,0,False
RPM-2005-01-11:15:1,0,300,0,False
RPM-2005-01-11:16:1,0,388,0,False
RPM-2005-01-11:17:1,0,200,0,False
RPM-2005-01-11:18:1,0,666,0,False
RPM-2005-01-11:19:1,0,310,0,False
RPM-2005-01-11:1:1,1,1260,207,False
RPM-2005-01-11:20:1,0,235,0,False
RPM-2005-01-11:21:1,0,616,0,False
RPM-2005-01-11:22:1,0,388,0,False
RPM-2005-01-11:23:1,0,709,0,False
RPM-2005-01-11:25:1,0,332,0,False
RPM-2005-01-11:26:1,0,109,0,False
RPM-2005-01-11:27:1,0,146,0,False
RPM-2005-01-11:28:1,0,128,0,False
RPM-2005-01-11:28:2,1,261,261,False
RPM-2005-01-11:29:1,1,599,599,False
RPM-2005-01-11:2:1,1,119,107,False
RPM-2005-01-11:30:1,1,1742,1539,False
RPM-2005-01-11:31:1,0,346,0,False
RPM-2005-01-11:32:1,1,1473,1062,False
RPM-2005-01-11:33:1,1,1134,921,False
RPM-2005-01-11:34:1,0,1520,0,False
RPM-2005-01-11:35:1,0,1131,0,False
RPM-2005-01-11:36:1,0,1569,0,False
RPM-2005-01-11:37:1,1,460,460,False
RPM-2005-01-11:38:1,3,5910,4380,False
RPM-2005-01-11:39:1,1,1047,1047,False
RPM-2005-01-11:3:1,5,8223,4210,False
RPM-2005-01-11:40:1,0,69,0,False
RPM-2005-01-11:41:1,1,1143,1143,False
RPM-2005-01-11:42:1,2,1654,1338,False
RPM-2005-01-11:43:1,0,748,0,False
RPM-2005-01-11:44:1,1,934,443,False
RPM-2005-01-11:46:1,0,689,0,False
RPM-2005-01-11:47:1,0,71,0,False
RPM-2005-01-11:49:1,1,108,108,False
RPM-2005-01-11:4:1,3,4183,1992,False
RPM-2005-01-11:50:1,1,2372,2372,False
RPM-2005-01-11:51:1,1,3057,2143,False
RPM-2005-01-11:52:1,1,2280,1569,False
RPM-2005-01-11:53:1,1,472,472,False
RPM-2005-01-11:54:1,1,2068,1555,False
RPM-2005-01-11:55:1,0,101,0,False
RPM-2005-01-11:56:1,1,195,195,False
RPM-2005-01-11:57:1,2,1930,1687,False
RPM-2005-01-11:5:1,2,4423,2153,False
RPM-2005-01-11:6:1,0,159,0,False
RPM-2005-01-11:7:1,0,236,0,False
RPM-2005-01-11:8:1,0,463,0,False
RPM-2005-01-11:9:1,0,243,0,False
RPM-2005-03-10:140:1,1,1293,510,False
RPM-2005-03-10:141:1,1,176,176,False
RPM-2005-03-10:142:1,1,1139,1135,False
RPM-2005-03-10:143:1,3,4064,2726,False
RPM-2005-03-10:144:1,1,3991,648,False
RPM-2005-03-10:145:1,3,3784,2240,False
RPM-2005-03-10:146:1,2,4062,1731,False
RPM-2005-03-10:147:1,0,3376,0,True
RPM-2005-03-10:148:1,0,3825,0,False
RPM-2005-03-10:149:1,1,3621,645,True
RPM-2005-03-10:150:1,0,3374,0,False
RPM-2005-03-10:151:1,0,3365,0,False
RPM-2005-03-10:152:1,1,2828,671,False
RPM-2005-03-10:153:1,0,107,0,False
RPM-2005-03-10:154:1,0,248,0,False
RPM-2005-03-10:155:1,0,496,0,False
RPM-2005-03-10:156:1,0,1068,0,False
RPM-2005-03-10:157:1,0,386,0,False
RPM-2005-03-10:158:1,0,665,0,False
RPM-2005-03-10:159:1,0,257,0,False
RPM-2005-03-10:160:1,0,658,0,False
RPM-2005-03-10:161:1,1,1575,645,False
RPM-2005-03-10:162:1,0,190,0,False
RPM-2005-03-10:163:1,0,261,0,False
RPM-2005-03-10:164:1,0,1263,0,False
RPM-2005-03-10:166:1,0,690,0,False
RPM-2005-03-10:167:1,0,594,0,False
RPM-2005-03-10:168:1,0,530,0,False
RPM-2005-03-10:169:1,0,676,0,False
RPM-2005-03-10:170:1,0,387,0,False
RPM-2005-03-10:171:1,0,545,0,False
RPM-2005-03-10:172:1,0,273,0,False
RPM-2005-03-10:173:1,0,246,0,False
RPM-2005-03-10:174:1,0,736,0,False
RPM-2005-03-10:175:1,0,128,0,False
RPM-2005-03-10:176:1,1,150,150,False
RPM-2005-03-10:177:1,1,158,158,False
RPM-2005-03-10:178:1,3,6168,5463,False
RPM-2005-03-10:178:2,0,69,0,False
RPM-2005-03-10:179:1,1,561,561,False
RPM-2005-03-10:181:1,0,346,0,False
RPM-2005-03-10:182:1,0,181,0,False
RPM-2005-03-10:183:1,1,779,779,False
RPM-2005-03-10:184:1,0,2374,0,False
RPM-2005-03-10:185:1,0,5640,0,False
RPM-2005-03-10:186:1,0,1604,0,False
RPM-2005-03-10:187:1,0,675,0,False
RPM-2005-03-10:188:1,0,228,0,False
RPM-2005-03-10:189:1,1,1979,407,False
RPM-2005-03-10:190:1,1,2095,654,False
RPM-2005-03-10:191:1,1,4260,593,False
RPM-2005-03-10:192:1,2,2447,1469,False
RPM-2005-03-10:193:1,1,2582,627,False
RPM-2005-03-10:194:1,1,289,289,False
RPM-2005-03-10:195:1,1,508,508,False
RPM-2005-03-10:196:1,1,773,623,False
RPM-2005-03-10:197:1,1,542,542,False
RPM-2005-03-10:198:1,1,2199,1968,False
RPM-2005-03-10:199:1,1,500,299,False
RPM-2005-03-10:200:1,2,1830,1566,False
RPM-2005-04-07:201:1,1,1144,1144,False
RPM-2005-04-07:202:2,7,11028,4667,False
RPM-2005-04-07:202:3,0,88,0,False
RPM-2005-04-07:203:1,1,419,327,False
RPM-2005-04-07:203:2,0,426,0,False
RPM-2005-04-07:203:3,0,133,0,False
RPM-2005-04-07:203:4,1,309,309,False
RPM-2005-04-07:204:1,0,88,0,False
RPM-2005-04-07:204:2,0,500,0,False
RPM-2005-04-07:204:3,0,1114,0,False
RPM-2005-04-07:205:1,0,549,0,False
RPM-2005-04-07:205:3,0,126,0,False
RPM-2005-04-07:205:4,0,1047,0,False
RPM-2005-04-07:205:5,0,442,0,False
RPM-2005-04-07:206:1,0,349,0,False
RPM-2005-04-07:206:2,0,785,0,False
RPM-2005-04-07:206:3,2,12651,1579,True
RPM-2005-04-07:206:4,0,117,0,False
RPM-2005-04-07:206:5,1,393,393,False
RPM-2005-04-07:207:1,0,402,0,False
RPM-2005-04-07:207:11,0,410,0,False
RPM-2005-04-07:207:12,0,1419,0,False
RPM-2005-04-07:207:2,0,187,0,False
RPM-2005-04-07:207:3,0,316,0,False
RPM-2005-04-07:207:4,0,196,0,False
RPM-2005-04-07:207:5,0,254,0,False
RPM-2005-04-07:207:6,0,85,0,False
RPM-2005-04-07:207:7,0,483,0,False
RPM-2005-04-07:207:8,0,310,0,False
RPM-2005-04-07:207:9,1,4121,361,False
RPM-2005-04-07:208:1,0,379,0,False
RPM-2005-04-07:209:1,1,645,514,False
RPM-2005-04-07:210:1,0,405,0,False
RPM-2005-04-07:210:2,1,1189,1075,False
RPM-2005-04-07:210:3,0,669,0,False
RPM-2005-04-07:211:1,0,4578,0,False
RPM-2005-04-07:212:1,0,72,0,False
RPM-2005-04-07:212:2,0,206,0,False
RPM-2005-04-07:212:3,1,771,511,False
RPM-2005-04-07:212:4,0,674,0,False
RPM-2005-04-07:212:5,0,1309,0,False
RPM-2005-04-07:213:1,0,427,0,False
RPM-2005-04-07:213:2,0,889,0,False
RPM-2005-04-07:213:3,1,2103,613,False
RPM-2005-04-07:214:1,0,128,0,False
RPM-2005-04-07:214:2,1,396,396,False
RPM-2005-04-07:214:3,1,158,158,False
RPM-2005-04-07:214:4,5,6670,4776,False
RPM-2005-04-07:214:5,0,69,0,False
RPM-2005-04-07:215:1,2,2821,1291,False
RPM-2005-04-07:216:1,1,1620,1620,False
RPM-2005-04-07:217:1,2,2152,1775,False
RPM-2005-04-07:217:2,1,1848,1030,False
RPM-2005-04-07:218:1,3,2370,1655,False
RPM-2005-04-07:219:1,2,1938,1009,False
RPM-2005-04-07:219:2,1,1910,1910,False
RPM-2005-04-07:220:1,0,83,0,False
RPM-2005-07-12:296:1,2,1446,573,False
RPM-2005-07-12:297:1,1,119,107,False
RPM-2005-07-12:308:1,2,1880,1775,False
RPM-2005-09-08:390:1,3,7444,5298,False
RPM-2005-09-08:391:1,0,74,0,False
RPM-2005-10-11:437:1,1,73,73,False
RPM-2005-11-10:474:1,1,1198,470,False
RPM-2005-11-10:482:1,0,252,0,False
RPM-2005-11-10:491:1,0,128,0,False
RPM-2005-11-10:492:1,3,7568,3528,False
RPM-2005-11-10:499:1,2,3500,1769,False
RPM-2005-11-10:503:1,2,2700,1828,False
RPM-2006-01-12:533:1,6,13331,4922,False
RPM-2006-01-12:553:1,1,548,548,False
RPM-2006-01-12:564:1,0,728,0,False
RPM-2006-01-12:567:1,0,961,0,False
RPM-2006-02-09:581:2,0,424,0,False
RPM-2006-02-09:582:1,0,202,0,False
RPM-2006-02-09:583:1,0,204,0,False
RPM-2006-02-09:587:10,1,463,463,False
RPM-2006-02-09:595:1,0,83,0,False
RPM-2006-03-16:614:1,0,128,0,False
RPM-2006-03-16:614:3,1,457,161,False
RPM-2006-03-16:619:1,1,243,114,False
RPM-2006-03-16:621:1,5,2820,904,False
RPM-2006-03-16:625:1,2,2132,848,False
RPM-2006-05-11:657:2,2,3936,2055,False
RPM-2006-05-11:661:1,0,132,0,False
RPM-2006-05-11:671:1,1,1817,1188,False
RPM-2006-05-11:672:1,1,2863,1972,False
RPM-2006-05-11:673:1,1,2079,2079,False
RPM-2006-05-11:674:1,2,2987,1752,False
RPM-2006-07-13:745:4,1,2582,362,False
RPM-2006-07-13:752:1,0,327,0,False
RPM-2006-07-13:758:1,1,375,375,False
RPM-2006-07-13:762:2,0,782,0,False
RPM-2006-07-13:769:2,1,2223,804,False
RPM-2006-07-13:770:1,0,128,0,False
RPM-2006-07-13:770:3,1,161,161,False
RPM-2006-07-13:772:1,1,2361,1908,False
RPM-2006-07-13:774:1,2,4275,2716,False
RPM-2006-07-13:775:1,2,3452,2919,False
RPM-2006-07-13:779:1,2,3960,3166,False
RPM-2006-07-13:780:3,1,1763,1763,False
RPM-2006-07-13:780:4,2,2546,962,False
RPM-2006-08-10:789:1,0,297,0,False
RPM-2006-08-10:807:1,0,189,0,False
RPM-2006-08-10:816:1,1,160,160,False
RPM-2006-08-10:818:1,0,88,0,False
RPM-2006-08-10:820:1,1,720,456,False
RPM-2006-08-10:826:1,4,3915,1297,False
RPM-2006-09-07:838:1,0,394,0,False
RPM-2006-09-07:866:1,1,159,159,False
RPM-2006-09-07:867:1,9,8038,2224,False
RPM-2006-10-12:897:1,0,88,0,False
RPM-2006-10-12:906:1,0,284,0,False
RPM-2006-10-12:919:1,0,160,0,False
RPM-2006-10-12:922:1,0,450,0,False
RPM-2006-10-12:936:1,2,3246,505,False
RPM-2006-12-14:1001:1,0,429,0,False
RPM-2006-12-14:1003:4,0,344,0,False
RPM-2006-12-14:1010:5,1,492,492,False
RPM-2006-12-14:1014:3,0,822,0,False
RPM-2006-12-14:1019:1,1,3034,1419,False
RPM-2006-12-14:1021:1,0,83,0,False
RPM-2006-12-14:989:1,1,121,121,False
RPM-2007-01-11:1023:1,1,121,121,False
RPM-2007-01-11:1043:1,0,2067,0,False
RPM-2007-01-11:1045:1,0,891,0,False
RPM-2007-01-11:1047:3,1,159,159,False
RPM-2007-01-11:1050:1,1,3553,3553,False
RPM-2007-01-11:1054:1,3,3820,2956,False
RPM-2007-01-11:1057:1,3,2503,1780,False
RPM-2007-01-11:1058:1,0,83,0,False
RPM-2007-02-08:1066:1,0,679,0,False
RPM-2007-02-08:1074:1,1,441,441,False
RPM-2007-02-08:1083:1,0,1424,0,False
RPM-2007-02-08:1090:4,6,7838,5160,False
RPM-2007-02-08:1102:1,1,1996,924,False
RPM-2007-03-15:1105:1,1,744,582,False
RPM-2007-03-15:1117:1,0,576,0,False
RPM-2007-03-15:1123:1,1,3428,981,False
RPM-2007-03-15:1133:1,0,405,0,False
RPM-2007-03-15:1134:1,0,959,0,False
RPM-2007-03-15:1149:1,1,1620,805,False
RPM-2007-03-15:1156:1,0,88,0,False
RPM-2007-03-15:1161:1,2,5370,1153,False
RPM-2007-03-15:1165:1,2,4324,4105,False
RPM-2007-03-15:1167:1,3,3643,2380,False
RPM-2007-05-10:1223:1,1,367,367,False
RPM-2007-05-10:1226:1,0,93,0,False
RPM-2007-05-10:1227:1,0,823,0,False
RPM-2007-05-10:1227:2,0,209,0,False
RPM-2007-05-10:1246:1,0,648,0,False
RPM-2007-05-10:1251:2,1,172,172,False
RPM-2007-05-10:1251:3,1,159,159,False
RPM-2007-05-10:1251:5,0,70,0,False
RPM-2007-05-10:1254:1,3,3995,3526,False
RPM-2007-05-10:1260:1,2,3881,1193,False
RPM-2007-05-10:1261:1,1,2995,1332,False
RPM-2007-06-14:1278:1,0,907,0,False
RPM-2007-06-14:1305:1,4,3964,2324,False
RPM-2007-07-12:1314:2,0,179,0,False
RPM-2007-07-12:1324:1,0,4887,0,False
RPM-2007-07-12:1325:3,0,149,0,False
RPM-2007-07-12:1329:1,0,199,0,False
RPM-2007-07-12:1332:1,0,157,0,False
RPM-2007-07-12:1335:2,0,434,0,False
RPM-2007-10-11:1497:1,0,249,0,False
RPM-2007-10-11:1502:1,0,1230,0,False
RPM-2007-10-11:1503:3,0,209,0,False
RPM-2007-10-11:1504:2,1,862,862,False
RPM-2007-10-11:1507:1,0,440,0,False
RPM-2007-10-11:1508:3,1,139,139,False
RPM-2007-10-11:1519:1,3,5251,2152,False
RPM-2007-12-13:1596:2,0,1403,0,False
RPM-2007-12-13:1602:1,6,14172,8773,False
RPM-2007-12-13:1607:2,1,2271,1177,False
RPM-2007-12-13:1611:1,1,5030,2505,False
RPM-2007-12-13:1613:1,3,4461,2952,False
RPM-2007-12-13:1614:1,2,2156,1749,False
RPM-2008-01-10:1618:1,1,10308,1298,False
RPM-2008-01-10:1628:1,0,441,0,False
RPM-2008-01-10:1629:1,3,8172,6787,False
RPM-2008-01-10:1636:1,3,3825,2929,False
RPM-2008-01-10:1637:1,3,5479,3390,False
RPM-2008-02-07:1644:1,1,407,407,False
RPM-2008-02-07:1648:1,0,203,0,False
RPM-2008-02-07:1648:2,0,466,0,False
RPM-2008-02-07:1652:4,0,586,0,False
RPM-2008-02-07:1674:1,1,247,247,False
RPM-2008-02-07:1684:1,3,5816,3334,False
RPM-2008-03-13:1694:1,0,444,0,False
RPM-2008-03-13:1703:1,1,1316,559,False
RPM-2008-03-13:1709:1,0,518,0,False
RPM-2008-03-13:1711:1,0,555,0,False
RPM-2008-03-13:1719:1,0,81,0,False
RPM-2008-03-13:1721:1,5,11143,9328,False
RPM-2008-03-13:1731:1,3,7454,2902,False
RPM-2008-03-13:1731:2,3,4752,3538,False
RPM-2008-03-13:1737:2,1,132,132,False
RPM-2008-03-13:1739:1,1,1303,1303,False
RPM-2008-05-08:1786:1,1,1277,544,False
RPM-2008-05-08:1789:1,0,96,0,False
RPM-2008-05-08:1818:4,0,1128,0,False
RPM-2008-05-08:1828:2,0,284,0,False
RPM-2008-05-08:1837:1,1,1169,942,False
RPM-2008-05-08:1848:1,2,4863,4067,False
RPM-2008-06-10:1869:7,0,381,0,False
RPM-2008-06-10:1873:4,0,517,0,False
RPM-2008-06-10:1874:1,1,441,441,False
RPM-2008-06-10:1879:1,0,235,0,False
RPM-2008-06-10:1889:3,0,158,0,False
RPM-2008-06-10:1902:1,4,7969,5446,False
RPM-2008-07-10:1916:2,2,6443,1871,False
RPM-2008-07-10:1917:3,0,369,0,False
RPM-2008-07-10:1923:7,1,811,449,False
RPM-2008-07-10:1945:1,0,230,0,False
RPM-2008-07-10:1948:2,1,1077,610,False
RPM-2008-07-10:1953:1,0,808,0,False
RPM-2008-07-10:1975:1,1,205,205,False
RPM-2008-08-14:1980:1,0,158,0,False
RPM-2008-08-14:1994:1,0,104,0,False
RPM-2008-08-14:1994:4,1,1524,539,False
RPM-2008-08-14:2016:2,0,208,0,False
RPM-2008-08-14:2026:1,0,254,0,False
RPM-2008-08-14:2027:1,0,153,0,False
RPM-2008-08-14:2041:1,2,6967,4112,False
RPM-2008-08-14:2042:1,3,4263,2752,False
RPM-2008-08-14:2044:1,2,4840,1977,False
RPM-2008-09-04:2050:3,0,340,0,False
RPM-2008-09-04:2067:1,0,294,0,False
RPM-2008-09-04:2073:1,0,955,0,False
RPM-2008-09-04:2086:1,5,9550,6563,False
RPM-2008-09-04:2094:1,2,4032,2198,False
RPM-2008-09-04:2095:1,2,4895,4657,False
RPM-2008-09-04:2099:1,2,2222,1385,False
RPM-2008-09-04:2100:1,0,83,0,False
RPM-2008-12-11:2177:2,0,213,0,False
RPM-2008-12-11:2206:3,0,118,0,False
RPM-2008-12-11:2217:1,0,372,0,False
RPM-2008-12-11:2221:2,0,133,0,False
RPM-2008-12-11:2229:1,0,457,0,False
RPM-2008-12-11:2232:1,1,264,264,False
RPM-2008-12-11:2237:4,1,177,177,False
RPM-2008-12-11:2238:1,3,10349,6394,False
RPM-2008-12-11:2249:1,2,5804,1136,False
RPM-2008-12-11:2251:1,3,5411,3794,False
RPM-2009-05-07:2505:1,0,161,0,False
RPM-2009-05-07:2525:1,1,278,278,False
RPM-2009-05-07:2529:2,0,885,0,False
RPM-2009-05-07:2530:1,0,148,0,False
RPM-2009-05-07:2532:1,0,123,0,False
RPM-2009-05-07:2532:5,0,737,0,False
RPM-2009-05-07:2534:1,0,122,0,False
RPM-2009-05-07:2535:2,0,553,0,False
RPM-2009-05-07:2537:8,0,359,0,False
RPM-2009-05-07:2538:1,0,204,0,False
RPM-2009-05-07:2541:2,1,115,115,False
RPM-2009-05-07:2550:1,3,1576,1126,False
RPM-2009-07-09:2629:3,1,1885,851,False
RPM-2009-07-09:2637:2,1,596,596,False
RPM-2009-08-13:2656:1,1,1566,1566,False
RPM-2009-08-13:2660:1,0,2750,0,False
RPM-2009-08-13:2665:1,0,279,0,False
RPM-2009-08-13:2668:1,0,390,0,False
RPM-2009-08-13:2674:3,0,1507,0,False
RPM-2009-08-13:2674:5,0,237,0,False
RPM-2009-08-13:2677:1,0,902,0,False
RPM-2009-08-13:2679:1,0,755,0,False
RPM-2009-08-13:2680:3,1,164,164,False
RPM-2009-08-13:2681:1,3,11080,8599,False
RPM-2009-08-13:2688:1,2,1824,1083,False
RPM-2009-09-08:2705:7,1,199,199,False
RPM-2009-09-08:2706:1,1,162,162,False
RPM-2009-10-13:2715:1,0,158,0,False
RPM-2009-10-13:2718:1,0,261,0,False
RPM-2009-10-13:2726:2,1,641,496,False
RPM-2009-10-13:2728:1,0,126,0,False
RPM-2009-10-13:2729:1,0,391,0,False
RPM-2009-10-13:2734:2,0,271,0,False
RPM-2009-10-13:2747:1,1,181,181,False
RPM-2009-10-13:2757:2,1,2216,1758,False
RPM-2009-10-13:2758:1,2,2179,1737,False
RPM-2009-12-15:2828:1,1,656,656,False
RPM-2010-02-11:2897:1,0,167,0,False
RPM-2010-02-11:2915:1,0,475,0,False
RPM-2010-02-11:2915:4,0,1520,0,False
