caso_id,intervencion_id,fold,reunion_o_texto_validacion,candidato_hd_alta,potencialmente_incorporable,incorporado_a_train
C45,RPM-2009-07-09:2640:2,5,0,0,0,0
C46,RPM-2007-06-14:1284:2,1,1,0,0,0
C46,RPM-2007-06-14:1284:2,2,0,0,0,0
C46,RPM-2007-06-14:1284:2,3,0,0,0,0
C46,RPM-2007-06-14:1284:2,4,0,0,0,0
C46,RPM-2007-06-14:1284:2,5,0,0,0,0
C47,RPM-2005-10-11:446:1,1,0,1,1,0
C47,RPM-2005-10-11:446:1,2,0,1,1,0
C47,RPM-2005-10-11:446:1,3,1,1,0,0
C47,RPM-2005-10-11:446:1,4,0,1,1,0
C47,RPM-2005-10-11:446:1,5,0,1,1,0
C48,RPM-2010-06-15:3205:2,1,0,1,1,0
C48,RPM-2010-06-15:3205:2,2,0,1,1,0
C48,RPM-2010-06-15:3205:2,3,1,1,0,0
C48,RPM-2010-06-15:3205:2,4,0,1,1,0
C48,RPM-2010-06-15:3205:2,5,0,1,1,0
C49,RPM-2015-12-17:7177:1,1,0,0,0,0
C49,RPM-2015-12-17:7177:1,2,0,0,0,0
C49,RPM-2015-12-17:7177:1,3,0,0,0,0
C49,RPM-2015-12-17:7177:1,4,1,0,0,0
C49,RPM-2015-12-17:7177:1,5,0,0,0,0
C50,RPM-2009-06-16:2598:1,1,0,1,1,0
C50,RPM-2009-06-16:2598:1,2,0,1,1,0
C50,RPM-2009-06-16:2598:1,3,0,1,1,0
C50,RPM-2009-06-16:2598:1,4,0,1,1,0
C50,RPM-2009-06-16:2598:1,5,0,1,1,0
C51,RPM-2007-08-09:1389:1,1,0,1,1,0
C51,RPM-2007-08-09:1389:1,2,0,1,1,0
C51,RPM-2007-08-09:1389:1,3,0,1,1,0
C51,RPM-2007-08-09:1389:1,4,0,1,1,0
C51,RPM-2007-08-09:1389:1,5,0,1,1,0
C52,RPM-2008-02-07:1673:2,1,0,1,1,0
C52,RPM-2008-02-07:1673:2,2,0,1,1,0
C52,RPM-2008-02-07:1673:2,3,0,1,1,0
C52,RPM-2008-02-07:1673:2,4,1,1,0,0
C52,RPM-2008-02-07:1673:2,5,0,1,1,0
C53,RPM-2007-03-15:1159:1,1,0,1,1,0
C53,RPM-2007-03-15:1159:1,2,0,1,1,0
C53,RPM-2007-03-15:1159:1,3,0,1,1,0
C53,RPM-2007-03-15:1159:1,4,0,1,1,0
C53,RPM-2007-03-15:1159:1,5,1,1,0,0
C54,RPM-2015-11-12:7151:1,1,0,1,1,0
C54,RPM-2015-11-12:7151:1,2,0,1,1,0
C54,RPM-2015-11-12:7151:1,3,0,1,1,0
C54,RPM-2015-11-12:7151:1,4,0,1,1,0
C54,RPM-2015-11-12:7151:1,5,0,1,1,0
C55,RPM-2006-04-13:654:2,1,0,1,1,0
C55,RPM-2006-04-13:654:2,2,0,1,1,0
C55,RPM-2006-04-13:654:2,3,0,1,1,0
C55,RPM-2006-04-13:654:2,4,0,1,1,0
C55,RPM-2006-04-13:654:2,5,0,1,1,0
C56,RPM-2012-09-13:5082:1,1,0,0,0,0
C56,RPM-2012-09-13:5082:1,2,0,0,0,0
C56,RPM-2012-09-13:5082:1,3,0,0,0,0
C56,RPM-2012-09-13:5082:1,4,0,0,0,0
C56,RPM-2012-09-13:5082:1,5,1,0,0,0
C57,RPM-2011-09-15:4325:1,1,0,0,0,0
C57,RPM-2011-09-15:4325:1,2,0,0,0,0
C57,RPM-2011-09-15:4325:1,3,0,0,0,0
C57,RPM-2011-09-15:4325:1,4,0,0,0,0
C57,RPM-2011-09-15:4325:1,5,1,0,0,0
C58,RPM-2005-09-08:400:1,1,0,1,1,0
C58,RPM-2005-09-08:400:1,2,1,1,0,0
C58,RPM-2005-09-08:400:1,3,0,1,1,0
C58,RPM-2005-09-08:400:1,4,0,1,1,0
C58,RPM-2005-09-08:400:1,5,0,1,1,0
C59,RPM-2012-02-14:4575:1,1,0,0,0,0
C59,RPM-2012-02-14:4575:1,2,0,0,0,0
C59,RPM-2012-02-14:4575:1,3,0,0,0,0
C59,RPM-2012-02-14:4575:1,4,1,0,0,0
C59,RPM-2012-02-14:4575:1,5,0,0,0,0
C60,RPM-2007-09-13:1462:1,1,0,0,0,0
C60,RPM-2007-09-13:1462:1,2,0,0,0,0
C60,RPM-2007-09-13:1462:1,3,0,0,0,0
C60,RPM-2007-09-13:1462:1,4,0,0,0,0
C60,RPM-2007-09-13:1462:1,5,0,0,0,0
