intervencion_id,meeting_id,fold,etiqueta_v3,es_relevante_v3,pred_c_ancla89,pred_c_primera300,pred_c_600,pred_wc_600,pred_a_c_600,pred_b_c_600,pred_a_wc_600,pred_b_wc_600,pred_seleccionada,acierto_seleccionada
RPM-2009-08-13:2681:1,RPM-2009-08-13,3,neutral,1,dovish,dovish,dovish,dovish,1,dovish,1,dovish,dovish,False
RPM-2011-08-18:4280:1,RPM-2011-08-18,3,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2012-04-17:4790:2,RPM-2012-04-17,3,neutral,1,dovish,dovish,dovish,dovish,1,dovish,1,dovish,dovish,False
RPM-2014-07-15:6325:1,RPM-2014-07-15,3,dovish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2007-05-10:1254:1,RPM-2007-05-10,4,hawkish,1,hawkish,hawkish,hawkish,neutral,1,hawkish,1,neutral,neutral,False
RPM-2007-05-10:1260:1,RPM-2007-05-10,4,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2007-05-10:1261:2,RPM-2007-05-10,4,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2008-02-07:1672:1,RPM-2008-02-07,4,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2008-03-13:1721:1,RPM-2008-03-13,4,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2008-03-13:1731:2,RPM-2008-03-13,4,hawkish,1,hawkish,hawkish,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2008-03-13:1737:2,RPM-2008-03-13,4,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2015-04-16:6744:2,RPM-2015-04-16,4,dovish,1,dovish,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2015-12-17:7207:1,RPM-2015-12-17,4,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2015-12-17:7210:1,RPM-2015-12-17,4,hawkish,1,dovish,dovish,dovish,dovish,1,dovish,1,dovish,dovish,False
RPM-2015-12-17:7211:2,RPM-2015-12-17,4,dovish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2006-07-13:775:1,RPM-2006-07-13,5,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2007-03-15:1149:1,RPM-2007-03-15,5,dovish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2007-03-15:1167:1,RPM-2007-03-15,5,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2007-12-13:1602:1,RPM-2007-12-13,5,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2007-12-13:1607:2,RPM-2007-12-13,5,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2008-05-08:1848:1,RPM-2008-05-08,5,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2010-10-14:3491:1,RPM-2010-10-14,5,hawkish,1,hawkish,hawkish,hawkish,dovish,1,hawkish,1,dovish,dovish,False
RPM-2011-09-15:4332:1,RPM-2011-09-15,5,neutral,1,dovish,dovish,dovish,hawkish,1,dovish,1,hawkish,hawkish,False
RPM-2012-09-13:5089:1,RPM-2012-09-13,5,neutral,1,dovish,dovish,dovish,dovish,1,dovish,1,dovish,dovish,False
RPM-2015-08-13:6965:1,RPM-2015-08-13,5,dovish,1,hawkish,hawkish,hawkish,neutral,1,hawkish,1,neutral,neutral,False
RPM-2015-09-15:7045:1,RPM-2015-09-15,5,hawkish,1,dovish,dovish,neutral,neutral,1,neutral,1,neutral,neutral,False
