actor,n_intervenciones_sustantivas,ranking,ngram,conteo_actor,conteo_resto,log_odds,z_score
Rodrigo Vergara Montes,734,19,constancia que,69,48,3.3469286545519177,17.814218366864818
Rodrigo Vergara Montes,734,20,deja constancia,69,46,3.389455827217337,17.813746473409147
Manuel Marfán Lewis,680,1,impresion,90,50,3.33492121498044,18.915296529303674
Manuel Marfán Lewis,680,2,la impresion,88,37,3.6132871277405307,18.450580647332643
Manuel Marfán Lewis,680,3,impresion que,69,24,3.802598319065271,16.055490014807678
Manuel Marfán Lewis,680,4,la impresion que,69,22,3.8895047662460174,15.89579712816163
Manuel Marfán Lewis,680,5,tiene la impresion,75,11,4.664674471386643,14.46601643618251
Manuel Marfán Lewis,680,6,problema,82,210,1.8078663056905269,13.89065689733116
Manuel Marfán Lewis,680,7,efectos,150,732,1.164226235389732,13.001746585052567
Manuel Marfán Lewis,680,8,cuando,120,506,1.3099793037231695,12.911939067777906
Manuel Marfán Lewis,680,9,debiera,63,147,1.9007679398389445,12.628889460284775
Manuel Marfán Lewis,680,10,necesariamente,53,96,2.153734919884416,12.590951197597052
Manuel Marfán Lewis,680,11,deberia,84,278,1.5517367983456927,12.471211790021748
Manuel Marfán Lewis,680,12,tiene la impresion que,60,7,4.892766407929245,12.26957839038824
Manuel Marfán Lewis,680,13,tasa de interes,65,175,1.7578182640010729,12.108332855158906
Manuel Marfán Lewis,680,14,sensacion,38,43,2.6237387951793725,11.788634841672941
Manuel Marfán Lewis,680,15,le parece,81,293,1.462912955375793,11.661754258021405
Manuel Marfán Lewis,680,16,le parece que,58,153,1.7781650767265713,11.537914889998044
Manuel Marfán Lewis,680,17,parece que,58,159,1.7397388220640568,11.34776870724312
Manuel Marfán Lewis,680,18,entonces,74,261,1.4881153218307341,11.307035723993163
Manuel Marfán Lewis,680,19,lo mejor,31,22,3.0899155053033134,11.088416108760727
Manuel Marfán Lewis,680,20,la sensacion,31,25,2.9621785196460895,11.023786941875073
Claudio Soto Gamboa,673,1,analisis macroeconomico,309,431,1.5093324713624714,20.25592791760481
Claudio Soto Gamboa,673,2,de analisis macroeconomico,304,426,1.5046795752616466,20.04885849632135
Claudio Soto Gamboa,673,3,gerente de analisis macroeconomico,298,418,1.5036909717888225,19.841014499221213
Claudio Soto Gamboa,673,4,macroeconomico,320,505,1.3859558651662454,19.40511018255775
Claudio Soto Gamboa,673,5,proyeccion,378,707,1.216269391794789,19.096710868478468
Claudio Soto Gamboa,673,6,la proyeccion,298,464,1.399348814017011,18.857654269286403
Claudio Soto Gamboa,673,7,trimestre,499,1245,0.9284929063860563,17.533419373482293
Claudio Soto Gamboa,673,8,variacion,233,351,1.4322363315576156,16.955462013687384
Claudio Soto Gamboa,673,9,imacec,146,142,1.8692913823678543,15.865663062948709
Claudio Soto Gamboa,673,10,el gerente de analisis,268,512,1.1948686248777625,15.85497693954763
Claudio Soto Gamboa,673,11,construccion,181,252,1.510891293068676,15.512939600778648
Claudio Soto Gamboa,673,12,dato,188,278,1.4506984118783963,15.369304858667977
Claudio Soto Gamboa,673,13,comercio,171,246,1.4781554912297699,14.851995398107363
Claudio Soto Gamboa,673,14,colocaciones,144,185,1.5911477618281413,14.323242801210165
Claudio Soto Gamboa,673,15,al alza,247,518,1.1016428822014586,14.253607956820673
Claudio Soto Gamboa,673,16,sector,316,786,0.9312556468162274,13.988103363519908
Claudio Soto Gamboa,673,17,las colocaciones,120,130,1.7614806243023118,13.91962568377106
Claudio Soto Gamboa,673,18,consumo,343,899,0.8789981827032882,13.857624751002104
Claudio Soto Gamboa,673,19,el dato,118,134,1.7143951107267714,13.585080147746744
Claudio Soto Gamboa,673,20,sectores,163,280,1.3008885188738608,13.209644240192574
Sergio Lehmann Beresi,648,1,economias,824,788,1.668175854749352,33.49211268263016
Sergio Lehmann Beresi,648,2,unidos,721,874,1.430958997573132,28.4530913980331
Sergio Lehmann Beresi,648,3,estados unidos,719,873,1.4293231056457314,28.391593196526543
Sergio Lehmann Beresi,648,4,estados,721,879,1.4252564049462464,28.37621846040953
Sergio Lehmann Beresi,648,5,america,659,825,1.3986441944644046,26.780600276986874
Sergio Lehmann Beresi,648,6,las economias,489,435,1.739859595365444,26.407955511390654
Sergio Lehmann Beresi,648,7,particularmente,345,166,2.3537003942238766,24.92898829293293
Sergio Lehmann Beresi,648,8,de analisis internacional,328,166,2.303176529953566,24.19073163235225
Sergio Lehmann Beresi,648,9,analisis internacional,328,175,2.2504208070009915,24.05050306060753
Sergio Lehmann Beresi,648,10,euro,343,220,2.0664626249786444,23.933376898551384
Sergio Lehmann Beresi,648,11,gerente de analisis internacional,316,163,2.2841335108089886,23.69644608925779
Sergio Lehmann Beresi,648,12,japon,309,145,2.3786549584696814,23.641244675379163
Sergio Lehmann Beresi,648,13,zona euro,290,158,2.2294177255387657,22.556221573963356
Sergio Lehmann Beresi,648,14,zona,304,209,1.9970231175229687,22.233202564725424
Sergio Lehmann Beresi,648,15,de america,513,724,1.2785896336993723,22.163587136342397
Sergio Lehmann Beresi,648,16,la zona euro,275,149,2.2349215455578086,21.979903822092233
Sergio Lehmann Beresi,648,17,la zona,282,179,2.076751480963641,21.739932080403033
Sergio Lehmann Beresi,648,18,europa,351,349,1.6283607040876378,21.54886274183636
Sergio Lehmann Beresi,648,19,emergentes,368,408,1.5195530390180876,21.144445093580277
Sergio Lehmann Beresi,648,20,estados unidos de,478,693,1.251640407065942,21.059545535198552
Sebastián Claro Edwards,469,1,llama,35,106,2.0208006094051054,10.372060617650613
Sebastián Claro Edwards,469,2,la atencion,36,123,1.9003817290133185,10.03546712652883
Sebastián Claro Edwards,469,3,paises,87,656,1.1105796501211254,9.746897090058974
Sebastián Claro Edwards,469,4,plantea,92,753,1.0287976069783449,9.329145924866317
Sebastián Claro Edwards,469,5,atencion,41,191,1.5908382483886738,9.250660815688793
Sebastián Claro Edwards,469,6,en desarrollo,17,13,3.395851194166868,9.220436311620741
Sebastián Claro Edwards,469,7,alude,31,109,1.8716869583819804,9.201575781798043
Sebastián Claro Edwards,469,8,llama la atencion,28,88,1.983750730195439,9.148525252075139
Sebastián Claro Edwards,469,9,llama la,28,89,1.9724649522608644,9.108891461312528
Sebastián Claro Edwards,469,10,consulta acerca,17,21,2.9166339629149594,8.943102416971492
Sebastián Claro Edwards,469,11,precise,16,15,3.192269811276729,8.885584548099548
Sebastián Claro Edwards,469,12,se precise,16,15,3.192269811276729,8.885584548099548
Sebastián Claro Edwards,469,13,su juicio,52,316,1.325617448376529,8.868047417946059
Sebastián Claro Edwards,469,14,acerca,37,172,1.5929315401617252,8.797729580478453
Sebastián Claro Edwards,469,15,solicita,33,140,1.6841971508842324,8.710489155505698
Sebastián Claro Edwards,469,16,juicio,60,418,1.1893374547412359,8.626029808279792
Sebastián Claro Edwards,469,17,flap,19,40,2.3839522099589754,8.560188215016378
Sebastián Claro Edwards,469,18,correccion,51,324,1.2812877764618564,8.51526412782028
Sebastián Claro Edwards,469,19,acerca de,29,121,1.700783293408259,8.232691434252303
Sebastián Claro Edwards,469,20,la flap,17,37,2.350704006006559,8.02668297789429
Pablo García Silva,452,1,el gerente de division,203,738,1.2752821830099519,16.10250283103734
Pablo García Silva,452,2,incremento,140,391,1.538430229728533,15.62893943772767
Pablo García Silva,452,3,2004,69,48,2.9270184536857515,15.57922240944265
Pablo García Silva,452,4,gerente de division estudios,163,585,1.2879913407222947,14.552456567432769
Pablo García Silva,452,5,estudios,196,828,1.125273719535513,14.177513892706703
Pablo García Silva,452,6,gerente de division,224,1055,1.0167612780793043,13.833069484409856
Pablo García Silva,452,7,division estudios,183,791,1.1023439284924876,13.449537391402195
Pablo García Silva,452,8,division,253,1311,0.9214812810390063,13.432276164824229
Pablo García Silva,452,9,de division estudios,178,774,1.0963577417907695,13.199945649870363
Pablo García Silva,452,10,de division,242,1278,0.9025155870159285,12.886451793645497
Pablo García Silva,452,11,estudios senor,124,442,1.2946676187223662,12.748903930374796
Pablo García Silva,452,12,division estudios senor,118,435,1.2610529706653955,12.158108485258106
Pablo García Silva,452,13,informe de politica monetaria,59,107,1.969470721778091,12.150642663278642
Pablo García Silva,452,14,informe de politica,59,110,1.9418417623405073,12.038752739430192
Pablo García Silva,452,15,de division estudios senor,113,426,1.2386723667623327,11.71444656004024
Pablo García Silva,452,16,informe de,64,150,1.7132548881258156,11.480693606706888
Pablo García Silva,452,17,2005,55,110,1.8716786737154845,11.338705843694843
Pablo García Silva,452,18,incremento de,57,138,1.6808057654407857,10.68069973857478
Pablo García Silva,452,19,del informe de,29,33,2.4350600296209954,9.570395953044654
Pablo García Silva,452,20,un incremento,52,145,1.5396413280761774,9.53057650620248
Enrique Marshall Rivera,334,1,los bancos,70,373,1.7814220228885533,13.689890825499845
Enrique Marshall Rivera,334,2,credito,59,359,1.648871279798552,11.750619685876346
Enrique Marshall Rivera,334,3,bancos,78,613,1.3937849840710532,11.610698224165096
Enrique Marshall Rivera,334,4,atencion,35,197,1.7264027453015256,9.421508579481191
Enrique Marshall Rivera,334,5,debe ser,20,67,2.244305962985065,8.813796992676046
Enrique Marshall Rivera,334,6,debe,45,376,1.3323839404933606,8.459629144462909
Enrique Marshall Rivera,334,7,su juicio,41,327,1.3787544696400529,8.334175199907481
Enrique Marshall Rivera,334,8,el credito,17,53,2.316066519356138,8.314512236807069
Enrique Marshall Rivera,334,9,surge,12,20,2.9416462829107086,8.059418284448645
Enrique Marshall Rivera,334,10,el frente,11,5,4.239860200202347,7.864899998915
Enrique Marshall Rivera,334,11,claridad,14,38,2.45442490444578,7.855056286685865
Enrique Marshall Rivera,334,12,juicio,46,432,1.2158933291944338,7.853165247471328
Enrique Marshall Rivera,334,13,sentido,54,583,1.0770223334018256,7.586415898695616
Enrique Marshall Rivera,334,14,por tanto,22,120,1.7576194027109509,7.586227001880683
Enrique Marshall Rivera,334,15,en el frente,10,4,4.367539504873852,7.386615786165348
Enrique Marshall Rivera,334,16,con claridad,9,7,3.7031647648128168,7.351138621942591
Enrique Marshall Rivera,334,17,permanecen,13,42,2.2804293511441216,7.189738788876554
Enrique Marshall Rivera,334,18,grado de,33,281,1.3134132309399522,7.148621885738904
Enrique Marshall Rivera,334,19,el apoyo,8,7,3.585460789327094,6.93045146024591
Enrique Marshall Rivera,334,20,mundo emergente,9,16,2.877131388465397,6.908139139998003
Vittorio Corbo Lioi,303,1,don,90,162,3.3993216257827106,25.86756215526932
Vittorio Corbo Lioi,303,2,de politica monetaria del,34,38,3.874402893897347,16.418338410179885
Vittorio Corbo Lioi,303,3,igal,35,53,3.570929023997798,16.40150382709121
Vittorio Corbo Lioi,303,4,igal magendzo,35,53,3.570929023997798,16.40150382709121
Vittorio Corbo Lioi,303,5,monetaria del,34,40,3.8231465673687213,16.395890595474587
Vittorio Corbo Lioi,303,6,politica monetaria del,34,40,3.8231465673687213,16.395890595474587
Vittorio Corbo Lioi,303,7,monetaria del mes,33,28,4.149712713976493,16.156603661065823
Vittorio Corbo Lioi,303,8,politica monetaria del mes,33,28,4.149712713976493,16.156603661065823
Vittorio Corbo Lioi,303,9,monetaria del mes de,33,26,4.223766045988374,16.11316813270907
Vittorio Corbo Lioi,303,10,sesion de politica,32,73,3.1614382449247307,14.919041953422507
Vittorio Corbo Lioi,303,11,sesion de politica monetaria,32,73,3.1614382449247307,14.919041953422507
Vittorio Corbo Lioi,303,12,la parte nacional,33,12,4.996260060141989,14.829788838277057
Vittorio Corbo Lioi,303,13,parte nacional,33,12,4.996260060141989,14.829788838277057
Vittorio Corbo Lioi,303,14,nacional,45,215,2.423381082380091,14.796240433580415
Vittorio Corbo Lioi,303,15,la exposicion,37,147,2.6073987272964567,14.186973131375256
Vittorio Corbo Lioi,303,16,fija la,24,37,3.552803268140961,13.560841868824907
Vittorio Corbo Lioi,303,17,para el dia,24,39,3.500201212467956,13.497037953125425
Vittorio Corbo Lioi,303,18,solicita al,23,31,3.687051456895631,13.402733380067977
Vittorio Corbo Lioi,303,19,la sesion de politica,26,65,3.0698444589152,13.236343717029404
Vittorio Corbo Lioi,303,20,solicita al gerente de,21,19,4.085295211888955,12.907462403572525
Luis Óscar Herrera Barriga,262,1,opcion,125,161,2.5188267563610243,21.137084402993473
Luis Óscar Herrera Barriga,262,2,la opcion,93,105,2.65027714242832,18.618857575980904
Luis Óscar Herrera Barriga,262,3,la tpm,137,369,1.7817477366258183,17.819038766273263
Luis Óscar Herrera Barriga,262,4,de division estudios senor,138,401,1.7059355230039914,17.295545423177575
Luis Óscar Herrera Barriga,262,5,division estudios senor,138,415,1.6716535214612112,17.02192246146168
Luis Óscar Herrera Barriga,262,6,estudios senor,139,427,1.6503956797295558,16.91091138955781
Luis Óscar Herrera Barriga,262,7,la opcion de,76,83,2.6834065110346916,16.90797535833393
Luis Óscar Herrera Barriga,262,8,opcion de,76,89,2.613659248903528,16.740482348330577
Luis Óscar Herrera Barriga,262,9,tpm,142,470,1.575896156428585,16.467494680037404
Luis Óscar Herrera Barriga,262,10,la economia,193,841,1.3014815425811896,16.319727206884366
Luis Óscar Herrera Barriga,262,11,gerente de division estudios,158,590,1.4554937247409958,16.26024252196711
Luis Óscar Herrera Barriga,262,12,de division estudios,181,771,1.3241056947952305,16.044343647047516
Luis Óscar Herrera Barriga,262,13,externo,115,326,1.7305322259278313,15.96495296975314
Luis Óscar Herrera Barriga,262,14,division estudios,181,793,1.2960081000666799,15.745787725684488
Luis Óscar Herrera Barriga,262,15,internacionales,95,224,1.9144439012999364,15.64411885725355
Luis Óscar Herrera Barriga,262,16,economia chilena,78,138,2.2013309910029744,15.54635338716483
Luis Óscar Herrera Barriga,262,17,la economia chilena,78,138,2.2013309910029744,15.54635338716483
Luis Óscar Herrera Barriga,262,18,estudios,184,840,1.254938052983026,15.431024765612923
Luis Óscar Herrera Barriga,262,19,el gerente de division,174,767,1.2898784902309748,15.374059880104639
Luis Óscar Herrera Barriga,262,20,recientes,93,253,1.771549621324131,14.617021948001412
Rodrigo Valdés Pulido,191,1,gerente de division estudios,168,580,2.012744710063192,22.987892388674094
Rodrigo Valdés Pulido,191,2,gerente de division,206,1073,1.6023302232447962,21.084930259341526
Rodrigo Valdés Pulido,191,3,de division estudios,169,783,1.718957088333263,20.28382139454009
Rodrigo Valdés Pulido,191,4,division estudios,171,803,1.7055359457550354,20.26846579748623
Rodrigo Valdés Pulido,191,5,estudios,175,849,1.6730347803329089,20.170798915217592
Rodrigo Valdés Pulido,191,6,el gerente de division,163,778,1.689208601262182,19.627341910398894
Rodrigo Valdés Pulido,191,7,tasa de politica monetaria,147,663,1.7456267456037065,19.16435564670164
Rodrigo Valdés Pulido,191,8,la tasa de,206,1267,1.4364102373623604,19.1422119311792
Rodrigo Valdés Pulido,191,9,de division,207,1313,1.4056533098320632,18.818355422631633
Rodrigo Valdés Pulido,191,10,la tasa de politica,141,637,1.7439117315812442,18.753591996697075
Rodrigo Valdés Pulido,191,11,division,209,1355,1.3838374028616816,18.6435173333641
Rodrigo Valdés Pulido,191,12,tasa de politica,148,714,1.6784068211000616,18.60016737345633
Rodrigo Valdés Pulido,191,13,escenario central,69,120,2.6968836227859754,17.85781078827416
Rodrigo Valdés Pulido,191,14,tasa de,222,1611,1.2714424806808893,17.7834942139805
Rodrigo Valdés Pulido,191,15,estudios senor,112,454,1.8519256150523375,17.56663747413736
Rodrigo Valdés Pulido,191,16,de division estudios senor,109,430,1.8790241851992358,17.535328791045867
Rodrigo Valdés Pulido,191,17,division estudios senor,110,443,1.8584086032646203,17.458676177067602
Rodrigo Valdés Pulido,191,18,la tasa,235,1851,1.1897442787311512,17.20514764662478
Rodrigo Valdés Pulido,191,19,de politica,259,2177,1.1250738327567165,17.142999590874048
Rodrigo Valdés Pulido,191,20,politica,318,3139,0.9650960700702544,16.428886278863995
Andrés Velasco Brañes,190,1,ministro,294,427,3.493565857854062,46.11650667117748
Andrés Velasco Brañes,190,2,senor ministro,211,180,4.023848610598061,39.672482620943164
Andrés Velasco Brañes,190,3,el senor ministro,206,134,4.294704430221174,38.71250368779173
Andrés Velasco Brañes,190,4,ministro de hacienda,175,295,3.3425620790531303,35.04604424593604
Andrés Velasco Brañes,190,5,ministro de,175,310,3.2930006666712766,34.84204909522732
Andrés Velasco Brañes,190,6,de hacienda,180,379,3.120425841847231,34.48782145239683
Andrés Velasco Brañes,190,7,hacienda,180,382,3.11254764425792,34.44440887432914
Andrés Velasco Brañes,190,8,senor ministro de,108,94,4.0019401551351255,28.38110248717034
Andrés Velasco Brañes,190,9,senor ministro de hacienda,108,92,4.023431389927858,28.369158925365536
Andrés Velasco Brañes,190,10,el senor ministro de,108,77,4.201287256833988,28.178633751095447
Andrés Velasco Brañes,190,11,el ministro,82,124,3.449461592661608,24.24410213911262
Andrés Velasco Brañes,190,12,el ministro de hacienda,66,112,3.333984204554384,21.493845928396027
Andrés Velasco Brañes,190,13,el ministro de,66,115,3.3075717706810375,21.427565804520064
Andrés Velasco Brañes,190,14,ministro que,65,22,4.944836720593575,20.059518095074594
Andrés Velasco Brañes,190,15,ministro de hacienda senor,64,176,2.8516276532417715,19.546892522587232
Andrés Velasco Brañes,190,16,de hacienda senor,64,186,2.7964244958124604,19.307872863266
Andrés Velasco Brañes,190,17,hacienda senor,64,186,2.7964244958124604,19.307872863266
Andrés Velasco Brañes,190,18,senor ministro que,65,17,5.2023229597223715,19.11148375557436
Andrés Velasco Brañes,190,19,el senor ministro que,61,8,5.891076205907254,15.688953602119316
Andrés Velasco Brañes,190,20,de hacienda senala,30,13,4.6973640259292555,14.15374549735639
Joaquín Vial Ruiz-Tagle,178,1,conveniencia de,55,92,3.2271140409805446,18.941287536962925
Joaquín Vial Ruiz-Tagle,178,2,la conveniencia de,55,92,3.2271140409805446,18.941287536962925
Joaquín Vial Ruiz-Tagle,178,3,la conveniencia,55,96,3.184588181028654,18.839270646682213
Joaquín Vial Ruiz-Tagle,178,4,conveniencia,55,97,3.1742337149414315,18.813413175911247
Joaquín Vial Ruiz-Tagle,178,5,plantea la,49,81,3.238837758693295,17.903412994089138
Joaquín Vial Ruiz-Tagle,178,6,plantea la conveniencia de,46,66,3.3802980257262636,17.606170407823612
Joaquín Vial Ruiz-Tagle,178,7,plantea la conveniencia,46,68,3.35046747195625,17.55723706155768
Joaquín Vial Ruiz-Tagle,178,8,plantea,100,745,1.7360822453555889,16.323474199770192
Joaquín Vial Ruiz-Tagle,178,9,efectuar un,26,34,3.4726649850555527,13.334539110728281
Joaquín Vial Ruiz-Tagle,178,10,seguimiento,29,68,2.889251424399638,13.03381733199276
Joaquín Vial Ruiz-Tagle,178,11,analizar,27,74,2.733366089250043,12.164095616008787
Joaquín Vial Ruiz-Tagle,178,12,sugiere,35,171,2.1562001429291726,11.632870136279875
Joaquín Vial Ruiz-Tagle,178,13,un seguimiento,20,29,3.3693502227136634,11.596653740726524
Joaquín Vial Ruiz-Tagle,178,14,su juicio,46,322,1.7975069278077136,11.41858933222004
Joaquín Vial Ruiz-Tagle,178,15,efectuar,30,126,2.307109498425004,11.365814512427947
Joaquín Vial Ruiz-Tagle,178,16,de cobre,28,107,2.401400236218252,11.321129879456647
Joaquín Vial Ruiz-Tagle,178,17,juicio,52,426,1.6407142187562318,11.186018286617172
Joaquín Vial Ruiz-Tagle,178,18,cobre,70,793,1.317870527626872,10.59117736419807
Joaquín Vial Ruiz-Tagle,178,19,razon por,28,131,2.1993484202725178,10.572909215016592
Joaquín Vial Ruiz-Tagle,178,20,razon por la,27,129,2.1783878524705207,10.30247324748448
Miguel Fuentes Díaz,161,1,mes de,219,1102,1.4704719929270187,19.894217819615722
Miguel Fuentes Díaz,161,2,servicios,86,271,1.9369726798056623,15.660113490782694
Miguel Fuentes Díaz,161,3,menor,179,1140,1.2350200793831023,15.379431245282854
Miguel Fuentes Díaz,161,4,del mes de,101,428,1.6412288507131017,14.84820123497141
Miguel Fuentes Díaz,161,5,su presentacion,86,310,1.8026814414206642,14.801488457371866
Miguel Fuentes Díaz,161,6,2016,48,60,2.860497408893619,14.777044295917175
Miguel Fuentes Díaz,161,7,registro,86,337,1.7192811415818463,14.24188847429728
Miguel Fuentes Díaz,161,8,sae,41,32,3.3310818664027027,14.12713462442758
Miguel Fuentes Díaz,161,9,el mes de,102,494,1.5078798157982911,13.877206600294073
Miguel Fuentes Díaz,161,10,del mes,117,647,1.3755951203290326,13.706778420119136
Miguel Fuentes Díaz,161,11,mes,291,2868,0.7999306518198033,13.025382212568148
Miguel Fuentes Díaz,161,12,en el mes de,82,367,1.5865398048596546,12.999764017798507
Miguel Fuentes Díaz,161,13,menor que,60,214,1.8130751733311685,12.420084842212773
Miguel Fuentes Díaz,161,14,bienes,85,450,1.4188858831198363,12.0092290548362
Miguel Fuentes Díaz,161,15,en el mes,85,454,1.4100522079248057,11.942921336062092
Miguel Fuentes Díaz,161,16,el componente,41,99,2.2025788457555455,11.865867944924325
Miguel Fuentes Díaz,161,17,en linea con,86,470,1.3871611172614475,11.839390991889136
Miguel Fuentes Díaz,161,18,linea con,86,472,1.3829226769779863,11.80713351909747
Miguel Fuentes Díaz,161,19,consignado en,30,40,2.7958611601048506,11.580366348700451
Miguel Fuentes Díaz,161,20,en linea,86,487,1.3516963428437982,11.568369423337879
Jorge Desormeaux Jiménez,153,1,el plano,16,63,2.972785778302173,10.627026697189228
Jorge Desormeaux Jiménez,153,2,en el plano,16,63,2.972785778302173,10.627026697189228
Jorge Desormeaux Jiménez,153,3,plano,16,119,2.3380786338332404,8.792673252892287
Jorge Desormeaux Jiménez,153,4,el plano interno,6,10,3.83129870754394,7.422492932109025
Jorge Desormeaux Jiménez,153,5,en el plano interno,6,10,3.83129870754394,7.422492932109025
Jorge Desormeaux Jiménez,153,6,plano interno,6,10,3.83129870754394,7.422492932109025
Jorge Desormeaux Jiménez,153,7,raro,5,7,4.005483422051384,6.8434844417055745
Jorge Desormeaux Jiménez,153,8,el plano externo,5,10,3.649115601619931,6.665539487288786
Jorge Desormeaux Jiménez,153,9,en el plano externo,5,10,3.649115601619931,6.665539487288786
Jorge Desormeaux Jiménez,153,10,vota,5,10,3.649115601619931,6.665539487288786
Jorge Desormeaux Jiménez,153,11,plano externo,5,11,3.5538965751152496,6.592444054743594
Jorge Desormeaux Jiménez,153,12,pese,8,52,2.472276308037868,6.517724558593634
Jorge Desormeaux Jiménez,153,13,companias,5,13,3.387015725972482,6.439967957148082
Jorge Desormeaux Jiménez,153,14,esencialmente,5,14,3.312991129594174,6.362855370516911
Jorge Desormeaux Jiménez,153,15,75 puntos,6,27,2.839217450041671,6.296207805711103
Jorge Desormeaux Jiménez,153,16,75 puntos base,6,27,2.839217450041671,6.296207805711103
Jorge Desormeaux Jiménez,153,17,el futuro,11,118,1.972882412747916,6.270382888374563
Jorge Desormeaux Jiménez,153,18,las companias,4,5,4.118696148657438,6.14230607159244
Jorge Desormeaux Jiménez,153,19,consulta si existe,4,7,3.7825057330636316,6.037541170053407
Jorge Desormeaux Jiménez,153,20,vota en,4,7,3.7825057330636316,6.037541170053407
Beltrán de Ramón Acevedo,146,1,operaciones,115,222,3.0986483576139046,26.982028276366464
Beltrán de Ramón Acevedo,146,2,operaciones financieras,101,106,3.7074134524580646,26.672066799880877
Beltrán de Ramón Acevedo,146,3,division operaciones,97,101,3.715252649987626,26.14324498840082
Beltrán de Ramón Acevedo,146,4,division operaciones financieras,96,98,3.7350132220280106,26.019385500990314
Beltrán de Ramón Acevedo,146,5,financieras senor,82,69,3.927884698240179,24.05256376746282
Beltrán de Ramón Acevedo,146,6,operaciones financieras senor,82,69,3.927884698240179,24.05256376746282
Beltrán de Ramón Acevedo,146,7,division operaciones financieras senor,78,65,3.937521837676904,23.454107615266164
Beltrán de Ramón Acevedo,146,8,financieras,103,515,2.14786500229099,19.91781023061738
Beltrán de Ramón Acevedo,146,9,financieros nacionales,37,32,3.899745015337336,16.160236708234503
Beltrán de Ramón Acevedo,146,10,mercados financieros nacionales,37,32,3.899745015337336,16.160236708234503
Beltrán de Ramón Acevedo,146,11,division,137,1427,1.4161492657461183,15.862925557637267
Beltrán de Ramón Acevedo,146,12,financieros nacionales senor,29,21,4.077074033422851,14.234427304327179
