ngram,n_palabras,ocurrencias,intervenciones,reuniones
el gerente,2,2859,2174,132
desde,1,2853,1669,132
bien,1,2831,1763,132
estados,1,2789,1403,131
unidos,1,2785,1402,131
estados unidos,2,2779,1398,131
caso,1,2754,1639,132
para el,2,2727,1509,132
en su,2,2704,1783,132
las expectativas,2,2679,1441,132
tasas de,2,2668,1456,132
don,1,2651,313,132
analisis,1,2642,1961,132
tasa de politica,3,2602,1173,132
america,1,2596,1172,132
baja,1,2563,1475,130
ipom,1,2558,1397,130
puntos base,2,2531,1050,131
que no,2,2526,1831,132
con la,2,2520,1811,132
el presidente,2,2500,2085,132
banco,1,2481,1560,132
el gerente de,3,2478,1963,132
ya,1,2478,1817,132
menor,1,2461,1411,132
tasa de politica monetaria,4,2458,1126,132
las tasas,2,2455,1320,132
mes de,2,2413,1117,132
se han,2,2388,1488,132
presidente senor,2,2361,1951,132
importante,1,2360,1518,132
cuenta,1,2351,1532,132
anual,1,2325,1021,132
anterior,1,2315,1456,132
la economia,2,2310,1291,132
el mercado,2,2306,1459,132
el presidente senor,3,2291,1902,132
de lo,2,2287,1546,132
sin,1,2277,1410,132
la tasa de politica,4,2277,991,130
chile,1,2274,1476,132
los precios,2,2260,1397,132
ser,1,2234,1509,132
hacia,1,2232,1336,132
de crecimiento,2,2230,1333,132
central,1,2225,1332,132
respecto de,2,2203,1442,132
gerente de division,3,2198,1497,132
de un,2,2197,1525,132
por lo,2,2191,1579,132
de america,2,2191,1061,121
nivel,1,2182,1351,132
no se,2,2150,1588,132
riesgo,1,2144,1300,132
consumo,1,2140,1132,132
cuanto,1,2128,1526,132
niveles,1,2112,1226,132
estados unidos de,3,2105,1029,115
unidos de,2,2105,1029,115
menciona,1,2102,1448,128
bastante,1,2092,1314,132
con el,2,2089,1569,132
caida,1,2083,1279,131
la actividad,2,2077,1277,132
estados unidos de america,4,2077,1005,104
unidos de america,3,2077,1005,104
interes,1,2062,1191,132
internacional,1,2061,1481,132
ese,1,2053,1543,132
sus,1,2053,1350,132
manifiesta,1,2044,1476,126
que lo,2,2032,1439,132
el escenario,2,2030,1197,132
podria,1,2022,1375,132
de interes,2,2019,1166,132
proyecciones,1,2012,1250,132
la demanda,2,1987,1251,132
por la,2,1982,1454,132
precios de,2,1957,1244,132
tipo,1,1953,1210,132
destaca,1,1939,1308,130
que es,2,1938,1464,132
expectativas de,2,1935,1168,132
hay,1,1931,1338,131
en lo,2,1922,1191,132
lehmann,1,1920,1053,111
estudios,1,1919,1536,132
de que,2,1910,1404,132
mercados,1,1906,1249,132
que en el,3,1895,1337,132
comenta,1,1881,1423,129
entre,1,1881,1336,132
todo,1,1880,1270,132
opinion,1,1870,1435,132
dos,1,1857,1292,132
tipo de,2,1856,1157,132
que si,2,1838,1401,132
tpm,1,1823,877,119
la baja,2,1822,1102,128
situacion,1,1821,1260,132
del ano,2,1816,1150,131
condiciones,1,1811,1015,132
mientras,1,1806,1147,132
desaceleracion,1,1805,986,124
division estudios,2,1798,1446,132
segundo,1,1795,1254,132
mantener,1,1794,1057,132
hace presente,2,1783,1351,131
efectos,1,1780,1224,132
efecto,1,1775,1223,132
primer,1,1773,1189,132
de division estudios,3,1770,1422,132
tiene,1,1766,1321,132
precio del,2,1764,990,132
de analisis,2,1761,1358,132
la politica,2,1761,1032,132
estan,1,1757,1277,132
rodrigo,1,1755,1406,120
de cambio,2,1753,1076,132
torno,1,1739,1090,132
en torno,2,1738,1089,132
el caso,2,1724,1028,131
cifras,1,1719,1082,132
las economias,2,1717,874,128
monetaria en,2,1709,1025,132
porque,1,1707,1307,130
de una,2,1704,1261,132
el ultimo,2,1692,1147,132
petroleo,1,1687,956,129
que esta,2,1685,1320,132
gerente de analisis,3,1682,1286,132
el precio,2,1681,953,131
ultimos,1,1680,1156,132
politica monetaria en,3,1679,1002,132
tipo de cambio,3,1677,1028,132
en cuanto,2,1676,1247,132
puede,1,1661,1179,131
sido,1,1654,1149,132
en un,2,1639,1183,132
algunos,1,1639,1157,132
el mes,2,1638,823,132
en esta,2,1637,1070,132
particular,1,1633,1218,132
durante,1,1629,1038,132
sector,1,1629,921,131
la tpm,2,1628,774,119
aun,1,1625,1109,132
menos,1,1624,1186,132
si bien,2,1618,1152,131
banco central,2,1613,1076,132
proyeccion,1,1609,1023,132
25,1,1600,871,130
en este,2,1597,1125,131
materia,1,1587,1063,130
datos,1,1583,1116,130
manera,1,1577,1173,132
inversion,1,1574,975,132
estos,1,1568,1192,132
terminos,1,1553,1052,132
lo que se,3,1550,1096,132
presente que,2,1546,1234,128
empleo,1,1543,901,132
plantea,1,1541,1231,118
soto,1,1541,1007,103
la politica monetaria,3,1539,928,132
riesgos,1,1538,888,132
las tasas de,3,1534,986,131
aunque,1,1530,915,132
esa,1,1526,1198,132
los ultimos,2,1524,1048,132
claro,1,1522,1125,126
hasta,1,1522,1070,132
el ano,2,1519,969,132
asimismo,1,1518,1166,132
anos,1,1516,1012,132
manifiesta que,2,1513,1167,124
menciona que,2,1512,1206,125
marfan,1,1508,1145,106
dinamismo,1,1507,905,129
senor rodrigo,2,1506,1244,104
hecho,1,1505,1150,132
sigue,1,1501,965,132
su opinion,2,1500,1192,132
evolucion,1,1494,957,132
del mes,2,1494,847,130
ya que,2,1492,1265,132
los mercados,2,1478,959,131
para la,2,1477,989,132
vicepresidente,1,1474,1047,131
en su opinion,3,1472,1174,132
las expectativas de,3,1468,959,132
hace presente que,3,1467,1182,127
trayectoria,1,1466,862,132
le,1,1453,1026,130
la reunion,2,1453,997,132
cual,1,1448,1145,131
estima,1,1445,1088,132
corto,1,1444,992,132
emergentes,1,1442,870,131
de politica monetaria en,4,1439,864,132
las proyecciones,2,1437,993,132
los precios de,3,1435,1002,132
consejo,1,1435,895,132
ademas,1,1430,1064,132
financieros,1,1427,1032,132
fue,1,1421,969,132
ministro,1,1411,951,132
al alza,2,1406,931,131
cobre,1,1402,897,132
sobre la,2,1400,1033,132
estas,1,1399,1119,132
indicadores,1,1392,851,132
vergara,1,1391,1147,72
paises,1,1388,886,128
asi,1,1386,1061,132
antecedentes,1,1386,885,132
mientras que,2,1384,943,129
claudio,1,1382,969,103
embargo,1,1381,979,132
rodrigo vergara,2,1380,1144,72
sin embargo,2,1378,976,132
en materia,2,1378,909,124
crecimiento de,2,1371,916,132
sobre el,2,1367,1125,132
comenta que,2,1366,1160,125
que ha,2,1363,1061,132
el crecimiento,2,1363,866,132
en terminos,2,1341,917,132
hoy,1,1333,888,130
en estados,2,1333,810,129
en estados unidos,3,1331,809,129
informacion,1,1325,995,130
esto,1,1323,990,132
en que,2,1321,1048,132
corto plazo,2,1319,923,132
en el caso,3,1311,783,128
del petroleo,2,1309,821,128
siendo,1,1308,1024,132
de la inflacion,3,1307,863,131
medidas,1,1307,841,132
caso de,2,1306,827,131
financieras,1,1305,972,132
cuenta de,2,1304,926,128
perspectivas,1,1304,820,132
senor rodrigo vergara,3,1303,1067,72
claudio soto,2,1303,935,103
del banco,2,1292,960,132
tendencia,1,1292,849,131
otra,1,1285,1029,132
mantener la,2,1273,803,122
materia de,2,1270,859,123
las condiciones,2,1266,809,132
es que,2,1263,1022,129
china,1,1263,749,123
ajuste,1,1262,773,132
de la tasa,3,1262,750,130
de este,2,1261,966,132
la evolucion,2,1261,851,132
meta,1,1259,795,132
el gerente de division,4,1254,1020,132
actual,1,1254,903,132
externo,1,1249,919,132
en materia de,3,1248,844,123
interna,1,1247,873,131
marshall,1,1247,764,120
presentacion,1,1242,1058,123
plantea que,2,1241,1015,93
senor claudio,2,1240,868,82
de actividad,2,1237,865,131
de chile,2,1234,833,132
reunion de,2,1231,912,132
sentido,1,1227,998,132
europa,1,1227,797,130
parece,1,1226,854,131
tasas de interes,3,1223,813,131
ipc,1,1216,678,132
estima que,2,1215,953,132
macroeconomico,1,1204,1008,130
otros,1,1204,979,132
de gregorio,2,1204,947,83
gregorio,1,1204,947,83
senor claudio soto,3,1202,834,79
de manera,2,1200,903,132
ultima,1,1200,874,132
mayores,1,1200,859,132
el caso de,3,1199,755,128
sergio,1,1194,808,111
sergio lehmann,2,1194,808,111
relacion,1,1192,960,131
aumento de,2,1188,831,132
tiempo,1,1187,904,131
manuel,1,1185,986,106
salarios,1,1185,749,130
observa,1,1183,878,130
siguen,1,1180,783,132
manuel marfan,2,1179,984,106
hacienda,1,1179,892,132
pasado,1,1177,885,131
de hacienda,2,1176,890,132
proximos,1,1172,825,132
que la inflacion,3,1166,854,132
pib,1,1164,728,131
en el ultimo,3,1156,856,132
lado,1,1155,736,131
los proximos,2,1145,814,132
el consejo,2,1142,674,132
cambios,1,1137,819,132
seria,1,1136,927,132
gerente de division estudios,4,1135,956,130
un aumento,2,1134,781,132
enrique,1,1132,764,128
linea,1,1129,763,132
recuperacion,1,1127,741,120
muestran,1,1114,814,132
presidente senor rodrigo,3,1110,932,49
presidente senor rodrigo vergara,4,1110,932,49
decision,1,1109,653,128
el mes de,3,1109,575,115
con lo,2,1107,858,132
sebastian,1,1106,884,98
sebastian claro,2,1104,882,97
25 puntos,2,1099,644,117
se observa,2,1097,800,129
que de,2,1092,918,131
vicepresidente senor,2,1091,874,128
expresa,1,1090,881,114
inflacionarias,1,1089,746,132
senor manuel,2,1088,894,105
senor manuel marfan,3,1087,893,105
si se,2,1085,883,130
la proyeccion,2,1085,749,131
25 puntos base,3,1083,636,116
garcia,1,1081,741,90
ministro de,2,1080,798,132
esperado,1,1077,742,132
algo mas,2,1076,801,131
el presidente senor rodrigo,4,1075,911,49
jose,1,1069,877,83
mantiene,1,1069,751,131
en particular,2,1068,808,132
juicio,1,1067,818,128
al respecto,2,1065,910,117
jose de,2,1064,876,83
jose de gregorio,3,1064,876,83
anade,1,1064,849,95
interno,1,1056,829,132
destaca que,2,1055,829,109
los datos,2,1054,802,127
que su,2,1053,878,128
general,1,1051,757,132
largo,1,1050,775,130
senor sergio,2,1050,677,104
senor sergio lehmann,3,1050,677,104
continuacion,1,1041,967,130
proximo,1,1038,763,132
la ultima,2,1036,755,132
en linea,2,1033,695,131
50,1,1033,602,128
acuerdo,1,1032,806,132
dia,1,1031,868,132
las cifras,2,1028,771,130
margen,1,1028,742,129
solo,1,1026,853,132
este ano,2,1022,746,132
informa,1,1021,817,130
economias emergentes,2,1020,653,128
del cobre,2,1016,723,132
variacion,1,1015,615,128
enrique marshall,2,1013,743,120
tener,1,1012,828,132
debe,1,1009,747,130
linea con,2,1008,685,131
de tasas,2,1006,700,132
el banco,2,1005,752,131
mantienen,1,1005,718,131
en linea con,3,1005,684,131
en estados unidos de,4,1005,586,105
opciones,1,1003,795,132
produccion,1,1002,547,128
analisis macroeconomico,2,1001,860,129
da,1,999,861,126
en el mes,3,996,530,117
forma,1,994,773,132
vez,1,993,813,132
anade que,2,993,790,89
lo anterior,2,993,788,127
euro,1,993,513,125
bancos,1,992,643,123
bajo,1,990,828,132
de analisis macroeconomico,3,989,850,129
que este,2,987,823,132
del mes de,3,987,618,124
senor sebastian,2,986,764,98
senor sebastian claro,3,985,763,97
de la tasa de,4,984,574,121
que ello,2,983,842,126
el margen,2,983,711,127
central de,2,982,720,132
laboral,1,980,725,132
presiones,1,979,654,131
ha sido,2,978,754,131
esta reunion,2,977,695,132
no obstante,2,974,787,130
obstante,1,974,787,130
senor jose,2,974,787,80
medida,1,974,782,132
senor jose de,3,973,786,80
senor jose de gregorio,4,973,786,80
debajo,1,973,681,130
expresa que,2,972,794,107
alimentos,1,972,609,105
expectativas de inflacion,3,971,681,131
del banco central,3,970,726,132
gerente de analisis macroeconomico,4,968,831,129
el ipom,2,966,667,127
la inversion,2,966,664,128
el precio del,3,964,637,129
precio de,2,964,635,129
en el margen,3,963,696,126
cuando,1,962,789,129
muestra,1,962,697,131
en los ultimos,3,957,745,132
pero que,2,953,760,126
por debajo,2,953,668,130
palabra,1,948,944,132
el gerente de analisis,4,948,763,123
los salarios,2,948,639,128
de la actividad,3,947,715,132
de la demanda,3,947,701,130
noticias,1,947,649,131
zona,1,946,482,123
la palabra,2,945,941,132
es el,2,945,838,131
reunion de politica,3,945,739,132
especialmente,1,945,718,132
reunion de politica monetaria,4,944,739,132
dolar,1,943,635,132
de la economia,3,942,700,131
dicho,1,936,772,128
consejero senor sebastian,3,936,736,95
consejero senor sebastian claro,4,936,736,95
las perspectivas,2,936,644,131
ministro de hacienda,3,934,777,126
fiscal,1,934,673,132
el vicepresidente,2,933,731,129
del mercado,2,933,725,132
particularmente,1,933,646,129
en el caso de,4,933,587,125
punto,1,932,695,130
comunicado,1,928,706,132
lugar,1,927,626,131
del precio,2,926,636,129
informe,1,926,632,131
relevante,1,923,742,132
que si bien,3,923,739,123
senala el,2,923,483,57
real,1,920,666,130
lo tanto,2,918,751,131
por lo tanto,3,918,751,131
senor enrique,2,918,648,118
el vicepresidente senor,3,917,719,128
con un,2,916,751,131
septiembre,1,916,539,119
de la politica,3,914,615,131
considera,1,913,736,130
demanda interna,2,913,664,130
ahora,1,912,730,130
incremento,1,908,545,128
monetario,1,907,645,127
informa que,2,906,735,130
contexto,1,905,664,131
respecto del,2,904,706,131
otra parte,2,902,733,130
senor enrique marshall,3,902,633,116
normalizacion,1,902,526,111
continua,1,901,681,132
parte de,2,900,749,129
otras,1,897,760,132
que se ha,3,893,741,131
gerencia,1,893,693,131
por otra,2,891,725,129
banco central de,3,890,657,132
peso,1,888,628,132
con una,2,887,718,130
menores,1,884,672,131
de precios,2,884,650,130
bienes,1,883,551,128
diciembre,1,882,536,122
la trayectoria,2,880,613,130
el senor claudio,3,880,580,70
mismo,1,879,759,131
por un,2,879,711,132
horizonte,1,878,654,132
por lo que,3,874,726,124
algunas,1,873,707,130
el senor claudio soto,4,873,574,68
mediano,1,872,626,132
importaciones,1,872,546,122
por otra parte,3,870,709,129
consecuencia,1,869,778,132
opcion,1,869,510,132
por su,2,868,613,129
su juicio,2,863,674,128
mercado laboral,2,863,673,132
largo plazo,2,863,645,129
la situacion,2,862,657,125
se mantiene,2,860,646,129
la zona,2,857,444,123
en una,2,855,713,132
notar,1,855,698,88
rango,1,853,611,127
en relacion,2,852,720,131
mantener la tasa,3,852,567,115
consulta,1,851,840,130
se mantienen,2,851,629,130
financiera,1,847,650,130
depreciacion,1,845,580,118
en el mes de,4,844,449,109
registro,1,843,600,121
alzas,1,840,595,126
la gerencia,2,838,650,130
sino,1,836,752,130
se esta,2,836,685,127
donde,1,835,641,128
presidente senor jose,3,833,679,48
presidente senor jose de,4,833,679,48
luego,1,833,656,130
volatilidad,1,832,613,127
de esta,2,831,682,131
respecto de la,3,831,665,130
espera,1,831,659,132
de expectativas,2,829,601,131
zona euro,2,829,422,123
de hecho,2,827,679,128
ultimo mes,2,827,589,127
algun,1,826,696,129
sea,1,826,653,132
mundial,1,826,605,126
alza de,2,826,604,123
el presidente senor jose,4,825,674,48
reciente,1,825,653,131
una caida,2,825,629,124
desde la,2,822,657,132
de la politica monetaria,4,820,564,131
apreciacion,1,819,577,124
previsto,1,818,571,131
agradece,1,817,814,131
hace notar,2,817,664,75
banco central de chile,4,817,599,132
central de chile,3,817,599,132
precio del petroleo,3,817,572,123
los riesgos,2,817,571,131
por sobre,2,816,579,130
enero,1,814,444,102
con las,2,812,707,131
inflacion de,2,811,580,128
es la,2,810,695,131
proceso,1,810,557,123
interes de,2,810,537,132
promedio,1,808,572,129
mercados financieros,2,806,655,130
de interes de,3,806,534,132
el tipo,2,805,609,125
el tipo de,3,805,609,125
con los,2,804,695,132
las tasas de interes,4,804,601,129
incertidumbre,1,803,580,124
credito,1,803,548,128
mas bien,2,801,611,128
en niveles,2,799,595,129
que por,2,798,648,131
la meta,2,798,574,126
estado,1,797,626,131
oportunidad,1,796,617,132
la reunion de,3,796,599,132
no es,2,794,689,131
la zona euro,3,793,413,123
un escenario,2,791,591,129
en el ipom,3,790,560,126
en tanto,2,789,621,129
tema,1,788,683,128
el tipo de cambio,4,788,597,125
encuesta,1,787,488,123
razon,1,785,698,127
sesgo,1,784,465,113
inflacion en,2,782,630,131
la caida,2,782,622,127
gerencia de,2,781,598,122
observado,1,780,635,129
significativa,1,780,625,130
la demanda interna,3,780,594,130
los indicadores,2,779,550,130
inflacionaria,1,777,534,116
aumentos,1,776,558,130
la que,2,775,671,130
tasa de interes,3,774,514,132
relativamente,1,772,549,127
evolucion de,2,771,596,131
tercer,1,771,550,126
pablo,1,770,662,91
fines,1,770,587,128
que las expectativas,3,769,593,127
durante el,2,768,555,132
senor gerente,2,768,387,73
costos,1,764,538,130
otro,1,763,621,129
frente,1,763,559,128
el segundo,2,762,574,123
el consejero senor sebastian,4,761,581,95
de acuerdo,2,760,631,127
la gerencia de,3,760,583,122
luis,1,760,558,127
japon,1,760,416,118
tal,1,759,637,131
un crecimiento,2,756,555,130
desempleo,1,753,556,130
movimientos,1,752,545,130
termino,1,750,641,120
impacto,1,749,597,128
el senor gerente,3,749,372,72
marzo,1,748,445,108
el senor sergio,3,748,412,72
el senor sergio lehmann,4,748,412,72
las expectativas de inflacion,4,747,554,130
analisis internacional,2,746,626,124
lo esperado,2,746,550,128
commodities,1,743,546,125
mediano plazo,2,743,542,131
pablo garcia,2,741,656,89
que tambien,2,741,645,132
combustibles,1,740,532,127
va,1,739,580,123
recientes,1,738,557,130
mayo,1,738,390,101
su parte,2,737,522,125
importantes,1,736,586,129
sesion,1,735,655,132
fuerte,1,732,615,130
empresas,1,732,508,126
de su,2,731,592,130
que han,2,731,592,127
terminos de,2,731,546,130
notar que,2,730,611,83
el aumento,2,730,575,128
grado,1,729,574,120
le parece,2,729,535,100
por su parte,3,729,517,125
explica,1,726,628,124
de analisis internacional,3,726,606,114
dias,1,725,540,125
la evolucion de,3,724,572,131
crecimiento del,2,724,557,129
en los proximos,3,723,574,130
existe,1,722,619,125
por ultimo,2,722,600,121
sino que,2,721,656,129
periodo,1,721,595,125
senor lehmann,2,720,364,73
precios de los,3,719,566,129
gerencia de division,3,719,545,121
debajo de,2,718,535,127
proyecciones de,2,717,560,129
en primer,2,716,644,128
de lo que,3,714,582,123
indicadores de,2,714,513,128
ritmo,1,712,523,124
en 25,2,710,497,104
gerente de analisis internacional,4,708,590,114
el consumo,2,708,518,127
alguna,1,707,615,127
la gerencia de division,4,707,539,121
que no se,3,705,632,128
relacion con,2,705,612,121
consejero senor enrique,3,704,503,99
consejero senor enrique marshall,4,704,503,99
hace notar que,3,703,587,74
producto,1,703,538,129
por debajo de,3,703,526,127
precisa,1,702,569,97
comportamiento,1,701,558,128
proyectado,1,701,514,127
las economias emergentes,3,701,499,119
resto,1,699,569,127
panorama,1,699,510,129
sectores,1,698,483,125
por los,2,697,616,129
horas,1,696,579,132
mundo,1,696,554,125
precio del cobre,3,695,523,128
subyacente,1,693,542,129
efectos de,2,692,581,128
estar,1,690,584,130
en las economias,3,690,402,108
de estados,2,689,517,125
de estados unidos,3,689,517,125
us,1,688,286,102
internacionales,1,687,534,128
que para,2,686,607,127
los antecedentes,2,685,524,127
tpm en,2,684,476,91
ultimas,1,683,565,131
que hay,2,682,571,119
la tasa de interes,4,682,464,132
exportaciones,1,682,432,122
anticipado,1,681,492,120
primer trimestre,2,681,454,118
similar,1,680,554,132
debido,1,680,544,128
con respecto,2,680,534,121
de corto,2,679,545,130
un alza,2,678,489,123
escenario base,2,678,424,118
dado,1,676,554,128
deberia,1,676,539,130
estudios senor,2,675,642,126
en el escenario,3,673,487,123
escenario de,2,670,511,132
reduccion,1,669,467,126
mayor que,2,666,513,126
lo cual,2,663,573,122
incluso,1,663,544,132
division estudios senor,3,662,629,126
dato,1,661,492,119
mantener la tasa de,4,660,461,106
coherente,1,659,521,130
horizonte de,2,659,509,128
en consecuencia,2,658,605,129
intervencion,1,657,570,98
creciendo,1,656,532,125
ventas,1,655,386,119
tres,1,654,542,128
es un,2,653,569,125
preocupacion,1,653,527,129
una desaceleracion,2,653,483,111
la decision,2,652,457,126
10,1,651,494,129
desarrolladas,1,651,440,109
precisa que,2,649,525,83
desde el,2,648,530,128
se puede,2,648,527,124
del banco central de,4,647,490,132
de division estudios senor,4,646,613,126
aumentado,1,646,520,128
del pib,2,645,480,127
componente,1,645,454,124
factores,1,644,480,123
la tpm en,3,644,441,91
economica,1,643,513,128
el sector,2,643,481,126
expansion,1,643,459,124
elementos,1,642,515,131
los precios de los,4,641,517,127
la informacion,2,640,518,124
capacidad,1,640,495,129
cree,1,640,477,103
dan,1,639,532,123
en los mercados,3,638,510,120
advierte,1,637,551,97
construccion,1,637,432,112
alta,1,636,500,128
la encuesta,2,636,410,121
gerencia de division estudios,4,635,488,119
que se han,3,634,538,129
asi como,2,634,524,127
momento,1,632,540,128
del escenario,2,632,525,127
del ipom,2,632,445,117
comentarios,1,631,625,132
de consumo,2,631,439,124
de septiembre,2,631,410,101
los bancos,2,630,459,114
de corto plazo,3,629,508,129
bonos,1,628,435,115
en todo,2,627,530,131
pais,1,627,488,121
crisis,1,627,441,95
perspectivas de,2,626,474,128
senor pablo,2,625,542,85
senor pablo garcia,3,623,540,85
las importaciones,2,623,424,118
mensual,1,623,393,132
50 puntos,2,622,367,106
el primer,2,621,462,125
en general,2,620,503,126
superior,1,620,488,124
coherente con,2,619,497,130
de riesgo,2,619,479,126
esta oportunidad,2,619,479,129
el consejero senor enrique,4,619,425,99
el corto,2,618,504,129
servicios,1,618,394,123
cierta,1,615,500,129
los proximos meses,3,615,498,129
proximos meses,2,615,498,129
senala el senor,3,614,386,53
futuro,1,613,515,127
chilena,1,613,469,127
indica el,2,613,362,49
activos,1,612,457,118
exhibe,1,612,441,96
junio,1,612,374,101
semanas,1,611,501,127
nominales,1,611,475,130
en ese,2,610,540,129
su presentacion,2,610,512,90
ultimos meses,2,610,480,128
economias desarrolladas,2,610,420,107
comercio,1,610,414,122
principales,1,609,469,132
problemas,1,608,481,119
las medidas,2,608,458,124
trimestres,1,608,445,126
ultimo ipom,2,607,487,110
oferta,1,607,453,120
de bienes,2,607,391,124
lo mas,2,606,500,130
tambien se,2,606,499,129
en el mercado,3,606,498,126
segundo trimestre,2,606,424,106
inventarios,1,605,376,115
proceso de,2,604,451,118
doce,1,604,413,121
que en la,3,603,529,129
nivel de,2,603,499,132
senor ministro,2,602,430,81
velocidad,1,601,423,119
tendido,1,601,409,121
tienen,1,600,524,122
uno,1,600,494,123
mantenido,1,599,427,129
en todo caso,3,598,504,130
todo caso,2,598,504,130
magnitud,1,598,488,125
correccion,1,598,432,119
brasil,1,597,382,100
los efectos,2,596,482,126
senales,1,596,444,127
operaciones,1,595,475,122
de ese,2,594,528,132
el corto plazo,3,594,488,128
los mercados financieros,3,594,486,126
los meses,2,594,484,127
palabra al,2,593,591,123
en esta oportunidad,3,593,454,129
la palabra al,3,592,590,123
por una,2,592,499,129
doce meses,2,592,406,121
rpm,1,591,447,88
ajustes,1,591,432,128
como se,2,590,481,124
del ipc,2,590,408,122
los paises,2,589,437,120
antes,1,588,514,127
tenido,1,587,491,129
probable,1,587,488,128
relevantes,1,587,486,124
los ultimos meses,3,587,463,128
trimestre del,2,587,451,120
el ultimo mes,3,587,444,124
50 puntos base,3,587,346,99
industrial,1,587,322,120
las ultimas,2,585,485,130
senala que en,3,584,538,128
podrian,1,584,505,126
condiciones financieras,2,584,435,120
atras,1,583,481,130
del sector,2,583,441,125
cifras de,2,582,472,123
especial,1,581,497,126
el horizonte,2,581,478,132
caidas,1,581,437,115
capital,1,581,409,125
de las tasas,3,579,470,126
gasto,1,578,384,124
senala que la,3,577,544,128
la opcion,2,576,386,129
ofrece,1,574,572,131
de largo,2,573,451,124
aumentar,1,573,429,114
la presentacion,2,572,552,119
refiere,1,572,502,122
se refiere,2,572,502,122
las proyecciones de,3,572,459,127
reales,1,572,456,124
el lado,2,572,427,124
riesgo de,2,571,461,127
que el mercado,3,570,495,129
principalmente,1,569,474,129
senor presidente,2,569,433,92
de 25,2,569,402,118
de largo plazo,3,568,448,124
del tipo,2,568,438,117
habria,1,567,490,122
registros,1,567,446,117
minuta,1,567,424,124
dan cuenta,2,566,475,117
global,1,566,430,129
en terminos de,3,565,427,124
monedas,1,565,402,120
ofrece la,2,564,563,131
vicepresidente senor manuel,3,564,475,47
vicepresidente senor manuel marfan,4,564,475,47
en el corto,3,564,470,127
ofrece la palabra,3,563,562,131
resulta,1,562,493,126
para esta,2,562,470,130
del tipo de,3,562,432,116
despues,1,561,492,126
la reunion de politica,4,561,441,132
cuarto,1,560,397,124
de desempleo,2,558,414,122
abril,1,558,339,105
de enero,2,558,330,85
en europa,2,557,434,112
del tipo de cambio,4,557,428,116
caida de,2,556,458,119
senala que el,3,555,525,130
esto es,2,555,511,130
acuerdo con,2,555,462,113
las noticias,2,555,411,126
orden,1,554,461,126
por las,2,553,489,123
de mercado,2,553,437,126
lo previsto,2,553,413,127
de los precios,3,552,453,129
