intervencion_id,coleccion,lote,archivo_origen,archivo_revision_v3,etiqueta_origen,es_relevante_origen,etiqueta_previa_v3,es_relevante_previa_v3,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision_v3,cita_literal_espacios_normalizados,fundamento_revision_v3,estado_revision_v3,sha256_texto,n_caracteres_texto,rol_recomendado,incluir_control_primario,uso_recomendado
RPM-2008-05-08:1828:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"los créditos hipotecarios son largos y los créditos de consumo que obtienen la Pymes son más bien de corto plazo, por lo cual son de mayor riesgo",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,b354f14cfe3487564a532890065180563e1b606041502094c46552b114e13a4a,284,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-06-10:1869:7,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,todavía el país está con inercia de alimentos puesto que los precios domésticos no se ajustaron debidamente,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,e46e50068d68400d68ce179b5011c6522b3d14e46e96911241448b1e7cb7e392,381,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-06-10:1873:4,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,dos tercios de los proyectos o del incremento de la inversión de este año corresponden a minería y energía,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,76bf6d606d9281c6af9b6de8c6f60728a5ef49fc551d82fddec9b11175786d45,517,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-06-10:1889:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,como efecto de segunda vuelta el alza de los plásticos y del transporte afectó el mayor precio de las bebidas,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,a56868f7986d5ac9b92535c50017c9fd2db223ca75a9538fba9b5ba5368ccafa,158,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-07-10:1916:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,la actividad en las economías desarrolladas muestra nuevos signos de debilidad en el contexto de mercados financieros que vuelven a presentar una elevada incertidumbre,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,3dfe70dceca00ec83ea8bbc0f4e11cff99e4ed29ad1dfe0a45c0f0873106d49f,6443,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-07-10:1917:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,en América Latina hay un componente que es el tipo de cambio,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,f972dd635239abe694a46de97d5239d40849ba03a8418e67fae91d0cb23533f9,369,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-07-10:1948:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"el gran problema de la política monetaria se produce cuando el precio que se fija en un momento no responde a algo que sucedió, sino que a la expectativa",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,2146eadf37af53ce6008a7717c57a3c1f96e154e78e34aafb93ecbd62e364958,1077,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-08-14:1980:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: transito procedimental: invitacion a exponer.,revisado,1f0f7d45732bfe22a682c3e730d7558ed560e12880ce7f3073060b0178f32d3d,158,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-08-14:1994:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"frente a la perspectiva de tasas, el ECB ablandó su posición",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,d4fcfcc3595355866ef99f488af78ac7853250398b760e00b403aa08c50e971d,104,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-08-14:2016:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"tendría que haber una apreciación fuerte sobre el tipo de cambio real, lo que no se observa",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,198bd4d4f0305629577c26f69c8f03d9e3addec41b217ad3d8b669c6f363d666,208,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-09-04:2050:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,no resulta evidente qué es lo que empuja su promedio,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,5e6118d6f5ae25ec7579d4526f8b360058eebebccf931648f93d8e1a2f4460ad,340,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-09-04:2067:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"la renovación de equipos de computación es también de empresas grandes, pero corresponde al tamaño de los proyectos",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,cb8380ebb89cdfe6d357f2d1cd95591bc7e845348e50141649e468afe3ae2e9f,294,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-09-04:2086:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,hawkish,1,hawkish,1,hawkish,1,compatible,alta,no le parece conveniente efectuar un aumento de 75 puntos base,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,revisado,2237f4982a84605d89230076f2c378f9eee9d050ad70c6f0ec018ed0b316de00,9550,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-09-04:2095:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,hawkish,1,hawkish,1,hawkish,1,compatible,alta,tiene una preferencia por un ajuste de 75 puntos base en esta Reunión,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,revisado,b131b9cd1786c0bd98786ce28bd361be105a7feb035e58521da63608b2f489cd,4895,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-11-13:2144:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,la depreciación del peso se ha observado en muchas otras monedas,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,26ccf15152cd1a360aca02bd0550dfcd81c0416e32cc732ce491bb667679ae6b,235,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-11-13:2146:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,lo que se ha observado más recientemente es que los agregados monetarios han aumentado su tasa de crecimiento,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,f0cd8bd7b6339ccee856f67acb4306ccba34c9659e6c42767494fcefa76a00f4,178,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-11-13:2155:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,le gustaría que en las discusiones se afinaran más aún las sensibilidades de un escenario incierto,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,5be3be13f4083d52340ac2a29050c23e9af068019abc6e712d98a039f2a39a41,412,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-11-13:2171:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,dovish,1,dovish,1,neutral,1,cambio_etiqueta,alta,tampoco estima prudente anunciar algún tipo de sesgo en el Comunicado,"Considera menos restrictiva la trayectoria que antes se proyectaba, pero decide mantener y no anunciar sesgo. Menos alzas relativas no equivalen a expansión: N.",revisado,d9d36c559272e194a495785cd1608b88b643b926db3df054d421d91d8b2267aa,4843,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-12-11:2177:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,en el caso de los bonos alemanes que también han sufrido caídas muy importantes,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,2f805f62b9d39697e616cbe2ffc9f422edcb818534586a47be99690859db7976,213,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-12-11:2221:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,consulta si en ese modelo está implícita una trayectoria de la tasa de interés,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,6b724a1cd41d5a9587e19d6c4cbae7ed07d3071881661e24b84fa70104d410ad,133,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-12-11:2229:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,las operaciones de comercio exterior deberían observarse en dólares,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,749b6be342eab472cc8f9d0127418fcb69d6a0eaab372273fde0a16a924c7de3,457,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2008-12-11:2232:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,si las Administradoras de Fondos de Pensiones son un factor de la depreciación adicional del tipo de cambio multilateral,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,f22eac5ccccd0e6661775c7a0504c0ce32f472a30587e00d21eaa944188197f6,264,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-01-08:2271:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"se aprecia una velocidad negativa en el empleo, por primera vez durante el año, desde fines de 2007",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,6da95de89c62328b26cc739b8e597b66b47e7cd18674ee3346c48fb1e3ace5ea,698,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-01-08:2280:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,esta situación comenzaría a ocurrir aproximadamente en el mes de junio,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,9ee2d9de0cddf10d86f30ad2adecdc530363363c2f6d8a3be67da86767195545,690,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-02-12:2339:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,si el nivel es igual y la tasa de variación también lo es ya se pierde más de un punto en la proyección,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,8f01810e81a544edb05aadb10a2227f779009ca98fa1b6a18b41d32b167b312d,148,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-02-12:2340:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,se tiene un punto o un punto y medio más de brecha si se toma en cuenta el cuarto trimestre,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,1b52fe5271be80d479982675ce9c02bcfa71607ae5df1843a255aff74bc14eee,381,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-02-12:2380:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,dovish,1,dovish,1,dovish,1,compatible,alta,mantiene su decisión de rebajar la Tasa de Política Monetaria en sólo 200 puntos base,Compatible con dovish: dirección respaldada en la unidad. No depende solo del menú o fase.,revisado,04f9e33988d6610af8df963ee222d187ed6e1f87ffba8044b31ef0a97d35389c,162,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-03-12:2396:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,dando cuenta justamente que a mayores plazos se están percibiendo mayores riesgos,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,854ce9e20d0bb76479b64c45d8fcdb272674224bfcb8a82c8c1eda44af04d2fb,1933,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-04-09:2443:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,cómo se comparan dichas cifras con los últimos datos del FMI,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,894863bf06ba43ba8105b2408af85b17f9da0190f33802c06574b95d9b6b8781,107,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-04-09:2478:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"la demanda interna, aparentemente está cayendo mucho más que el PIB",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,d554f9479c249f57a6a6e83a2aac9725f54147d1b25eada5d5be0f53a90d24ef,301,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-04-09:2485:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,media,"no recuerda una RPM en la que el update de la proyección tanto de actividad como de inflación respecto al dato de la RPM anterior, sea tan marcado",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,530bc6322d5ac41df9cb6c436c15e45d5238265d9cbedf7f18c244bd2e83a0c5,1444,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-04-09:2488:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,ninguna de ellas le va a llegar a los sectores que exportan,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,19a341f1e421e3ae26969a7c7b06592b63399594badacd98783e820afbdb40f7,1141,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-04-09:2495:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: transito procedimental: apertura de la votacion.,revisado,443872b5bbba42ddf78da53c8fa9511140a5d5dc798886ab69c2635957451665,157,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2529:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,no extraería más información de la que realmente puede proporcionar,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,ee57f07e70ee21016d33ff0c7a433ef4e94bc68f97593555870f99e6511a5fed,885,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2530:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"el cambio de la ley es a partir de febrero, por lo tanto la primera caída del mes no incorpora eso todavía",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,96896b8d1eb28663a89f4baf2890e9bf5229d25b72c45f7ef1d36b8bb7f816d6,148,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2532:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,por qué se está suponiendo que hay una caída de inventarios el segundo trimestre,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,bf61553b5a3b43db67c68c1636c208a2920a3f3107cba8c197ed39b4a45623f2,123,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2532:5,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"si esa fuese la interpretación, entonces estas observaciones serían más bien pesimistas que optimistas",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,abdefefb8b2fa36b5f7abc0f284aad3ad870929735d5c170bc8bf0e2a2839159,737,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2534:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,si lo anterior tiene que ver con el problema de estacionalizar el vestuario,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,4a7e85d28564ab440b816a0a2df6ecc12c5e9c467a45e08f47889fb54604b26a,122,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2538:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,el mercado está esperando inflaciones un poco más arriba de lo que el Banco estaba indicando en sus proyecciones,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,d0bb77cc331f59564e7a200d45604cf5d6aea9161767417da9561ff89df37141,204,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-05-07:2541:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: incorporacion de autoridad a la reunion (logistica).,revisado,f8604fecaddb664faf1696444ea8c6c75e4337d53e806c96a41ccd329c70b928,115,desarrollo_base_v3,si,supervision_oof_control_primario
RPM-2009-06-16:2555:4,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,data/auditoria/revision_etiquetas_escalado_r10_v3/revision.csv,neutral,1,neutral,1,neutral,1,compatible,alta,"luego de la fuerte caída que se produjo en marzo, se observa un rebote",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,revisado,bdac2c3a5b7e247da97685078652d7c5a8b9bede27b99cf9782b98c5047836cc,173,desarrollo_base_v3,si,supervision_oof_control_primario
