"orden";"intervencion_id";"fecha_reunion";"actor";"cargo";"texto";"etiqueta";"confianza";"es_relevante";"nota";"frase_justificante";"metodo";"ronda";"version_codebook";"fecha";"etiquetador"
"105";"RPM-2014-06-12:6246:1";"2014-06-12";"Sergio Lehmann Beresi";"Gerente de Análisis Internacional";"El señor Sergio Lehmann exhibe los gráficos que se contienen en la lámina N° 9, que dan cuenta de los efectos de las medidas antedichas. En primer término, hace notar que el corredor entre la tasa de facilidad de depósito y la facilidad marginal de crédito se ha ido estrechando; y que la aplicación de las TLTRO implica un aumento cercano al 18% del actual balance del Banco Central Europeo. El señor Sergio Lehmann prosigue con su presentación, reiterando que los premios por riesgo han caído en todas las regiones con bastante fuerza. En materia de tasas largas en moneda local, se observa una caída relativamente generalizada en los países de América Latina, particularmente en Perú, Brasil y México. En Colombia, en cambio, dicha disminución es prácticamente nula, debido al reciente aumento de su tasa de política monetaria. Añade que en los países asiáticos se advierten caídas acotadas, como es el caso de India, Turquía e Indonesia, y de mayor magnitud en Israel. Con respecto a los flujos de capitales, destaca la mantención de las entradas de capitales hacia las economías emergentes y una aceleración de las mismas en el caso de América Latina, particularmente a México. Precisa que la mayor parte de dichos recursos se ha invertido en bonos y que se advierten nuevamente algunas posiciones en acciones. En cuanto a Chile, expresa que durante la última semana se registró una salida de inversiones en bonos por un monto algo mayor que US$ 100 millones. En materia de paridades, manifiesta que la situación global es más bien mixta, y que entre los países analizados habitualmente predominan las depreciaciones frente al dólar estadounidense. A continuación, alude a las principales noticias en materia de actividad y precios. Hace presente que la segunda entrega del PIB de Estados Unidos de América correspondiente al primer trimestre dio cuenta de una corrección a la baja a -1% trimestre/trimestre anualizado, y que algunas señales anticipan una corrección negativa algo mayor para el segundo trimestre a propósito de información reciente sobre gastos en servicios. Sin embargo, el mercado laboral mantiene cierto dinamismo, ya que la creación de empleo, superior a 200 mil puestos de trabajo, fue mayor que lo anticipado y el desempleo se mantiene en 6,3%. En lo atinente a Europa, precisa que el PIB del primer trimestre, de 0,7% trimestre/trimestre anualizado, fue similar al dato preliminar. En Japón, la proyección del dato del primer trimestre fue revisada al alza; no obstante, los datos de actividad industrial y ventas minoristas dan cuenta de una desaceleración. En cuanto a China, resalta un mayor impulso en el gasto público para fines de sostener un crecimiento en torno superior a 7%. Asimismo, manifiesta que los datos de PIB de los países latinoamericanos, correspondientes al primer trimestre del año, fueron algo decepcionantes. En efecto, el de Brasil alcanzó a 0,7% trimestre/trimestre anualizado; el de Perú, de 4,8% en doce meses, se ubicó dentro de lo esperado, pero dio cuenta de una desaceleración relevante, y el 1,1% de México fue menor que lo anticipado. Sin perjuicio de lo expresado, se esperan tasas de crecimiento mayores para gran parte de estos países, pero a un ritmo menor que el previsto tiempo atrás. Añade que los PMI manufacturero de las economías avanzadas se mantuvieron sin mayor variación, presentaron mejoras en algunas economías europeas y emergentes, y China continúa bajo el pivote. Al proseguir con su exposición, el señor Sergio Lehmann presenta el cuadro que resume las distintas cifras esperadas y efectivas de actividad en Estados Unidos de América, la Zona Euro, Alemania, Japón, China y Brasil. Consigna que Estados Unidos de América exhibe una situación mixta, con un crecimiento en el primer trimestre inferior al previsto y un mayor dinamismo en materia de mercado laboral; en la Zona Euro, las ventas minoristas, la producción industrial y la tasa de desempleo fueron mejores que lo esperado, y en Alemania, la producción industrial fue menor que lo anticipado. En Japón, el PIB fue mayor que lo previsto y revisado al alza; no obstante, la producción industrial y las ventas minoristas dan cuenta de una desaceleración de la actividad hacia adelante. En relación con estas últimas, plantea que su caída de 13,7% refleja que hubo un adelantamiento en el consumo con motivo del alza del impuesto al consumo. Por último, reitera que en China, el gasto fiscal registró un incremento de 13% en el mes de mayo, superior al 9,5% anotado el mes previo; y que las exportaciones crecieron algo más de lo esperado, no así las importaciones que cayeron 1,6%. En materia de perspectivas, menciona que el ISM de servicios de Estados Unidos de América se ubicó en 56,3, superando las expectativas y dando cuenta de perspectivas más positivas respecto de esa economía; en la Zona Euro, los PMI estuvieron en línea con lo esperado y superan el pivote de expansión; Japón exhibe una situación algo más mixta; y en China, la mejora de su PMI fue menor que lo previsto y se mantiene bajo el pivote de expansión. En términos agregados, indica que las economías desarrolladas exhiben bastante estabilidad en lo que se refiere a PMI, mientras que en las emergentes se advierte un ligero movimiento al alza, atribuible al dato de China. Agrega que los PMI servicios y la confianza de los consumidores han mejorado en las economías avanzadas. En lo que respecta al mercado laboral de Estados Unidos de América, resalta la recuperación del empleo perdido con motivo de la crisis. Además, consigna la creación de empleos en todos los sectores, una caída en la duración del desempleo de aquellas personas que se encuentran desempleadas por más de 27 semanas y un ligero aumento tratándose de aquellas que lo han estado durante un breve período. Con relación a la Zona Euro, señala que el PIB estuvo en línea con lo esperado y que Alemania sigue siendo el mayor contribuidor en este aspecto. Añade que el agregado de los países periféricos sigue mostrando caídas y que España comienza a expandirse. Acota que la inflación sigue disminuyendo, de la mano de los países periféricos que en términos de inflación subyacente ya presentan deflación. En cuanto a China, resalta alguna mejora de los PMI y cifras de exportaciones superiores a lo previsto; las importaciones, en cambio, no solo fueron muy inferiores a lo anticipado, sino que registraron una caída de 1,6% en doce meses. En lo concerniente al destino de las exportaciones, destaca los envíos a la Zona Euro y Estados Unidos de América, debido al mayor dinamismo que exhiben estas economías. Tratándose de las importaciones, hace notar la menor demanda desde América Latina y Australia, así como la caída que presentan en el resto de los países asiáticos. En lo atinente a América Latina, indica que la producción industrial cae en Brasil y México, mientras que en Argentina es algo menos negativa; y que la confianza de los consumidores disminuye en Brasil. En lo que respecta a la inflación, resalta los aumentos en la inflación de alimentos en América Latina y de energía en todas las regiones y países analizados, que se atribuyen al alza del precio de los combustibles en los últimos meses; y en cuanto a la inflación subyacente, enfatiza su caída en la Zona Euro y su relativa estabilidad en Estados Unidos de América, donde se ubica levemente por debajo del 2%. Añade que las perspectivas inflacionarias para el presente año se han revisado al alza en América Latina, se mantienen en las economías desarrolladas y se han corregido a la baja en Asia emergente y Europa emergente. Para el año 2015, en tanto, los cambios son bastante más marginales frente a lo informado en la Reunión anterior. En lo concerniente a política monetaria, destaca el predominio de las mantenciones de las tasas rectoras y la sorpresiva caída de 50 puntos base en México. Añade que en Colombia se acordó un aumento de 25 puntos base, como también en Nueva Zelanda, en línea con lo esperado. Asimismo, hace notar el tono más hawkish de parte del Banco Central de Nueva Zelanda, ya que con anterioridad a su último comunicado se esperaba un aumento de su tasa rectora de 25 puntos base de aquí a fines del mes de septiembre, y ahora es prevé que un alza adicional. Indica que en China no modificó su tasa de política monetaria, pero se recortaron los requisitos de reservas en 50 puntos base con el objeto de estimular la economía. En materia de perspectivas, da cuenta de una mirada algo más expansiva para América Latina, muy asociada a la decisión que adoptó México, y de cambios no muy significativos en otras economías. En cuanto a los contratos futuros, informa que se ha alargado el horizonte frente a lo exhibido en la Reunión previa. En materia de política monetaria, en la Zona Euro, se esperaba un recorte de 5 puntos base y fue de 10 puntos base, pero lo más significativo es que las perspectivas de movimientos se han trasladado hacia mediados del año 2016, cuando el Banco Central Europeo podría comenzar a retirar estímulo monetario. Añade que en Estados Unidos de América y en el Reino Unido los cambios son bastante marginales. A continuación, hace referencia a los principales acontecimientos en materia de commodities. En este aspecto, alude al retroceso registrado por el precio del cobre, en torno al 3%, que se asocia principalmente a una investigación china sobre el uso de este metal como colateral. Ello incidió en su cotización spot, como también la caída de las importaciones chinas de este metal. En segundo término, expresa que el precio del petróleo experimentó un alza en lo más reciente, debido al anuncio de la OPEP de mantener la cuota de producción. Sin embargo, esto podría responder a la necesidad de dar espacio a la mayor producción de los países no OPEP, particularmente de Estados Unidos de América; al tema geopolítico; y los riesgos asociados a la producción iraquí en lo más reciente. Por último, comenta que los precios de los productos agrícolas exhibieron bajas en medio de un positivo avance de las cosechas y clima favorable, como quedó de manifiesto en el índice FAO de alimentos al cierre del mes de mayo. En lo concerniente a las principales variaciones de precios observadas desde la última Reunión, destaca el alza de los combustibles y la caída de cereales, liderada por el maíz y el trigo. Hace presente que la caída del precio del cobre, de 3,5% desde la Reunión pasada, ha llevado a corregir el perfil de precios futuros; los inversionistas, en cambio, habrían moderado su visión pesimista sobre el precio de este metal. Indica que dicha caída se debió en parte importante al notorio retroceso de las importaciones de cobre en el mes de mayo último; no obstante, informa que los perfiles de importaciones para distintos años dan cuenta que de que esta variable es bastante volátil, motivo por el cual podría exhibir un alza en junio, con el consiguiente efecto en el precio de este metal. En cuanto al precio de los cereales, reitera que el precio de los granos registró caídas significativas en el último mes. Por su parte, el retroceso del índice FAO alimentos al cierre de mayo se explica principalmente por la fuerte disminución del precio de lácteos, seguida por la de los precios de cereales y aceites. Agrega que las perspectivas para los precios de alimentos no exhiben mayores cambios frente a la Reunión pasada, mientras que las referidas al precio de las gasolinas han aumentado, de la mano con lecturas de demanda por gasolina algo mayores que lo previsto en Estados Unidos de América. El señor Sergio Lehmann destaca el aumento de la producción de petróleo en los países no OPEP, que es especialmente significativa en el caso de Estados Unidos de América. Sobre este aspecto, comenta que dicho país ha elevado su producción desde alrededor de 5,5 millones de barriles al día a una cifra cercana a 8,5 millones de barriles diarios, que se compara con los 10 millones de barriles producidos por Arabia Saudita y Rusia al día, esperándose que al término de la presente década produzca en torno a 11 o 12 millones de barriles diarios y se convierta para entonces en el mayor productor mundial de petróleo. Manifiesta que como correlato, las importaciones de petróleo de Estados Unidos de América han caído desde 9 millones de barriles al día a una cifra en torno a los 7,5 millones de barriles, diferencia que equivale a la producción de Irak; y que esta menor demanda de petróleo ha dado pie para que la OPEP dé espacio para sostener el precio en torno a US$ 100 dólares el barril. Al finalizar su exposición, el señor Sergio Lehmann sintetiza los antecedentes expuestos precedentemente. En primer término, consigna la mejora de las condiciones financieras internacionales gracias al anuncio del Banco Central Europeo, las expectativas de mayor dinamismo en las economías desarrolladas en los próximos trimestres y las alzas en el apetito por riesgo a propósito de la caída del VIX. Agrega que la actividad en las economías desarrolladas mostró un menor dinamismo en el primer trimestre del presente año, pero se aceleraría en lo que resta del ejercicio; y que la excepción ha sido Japón al sorprender con un fuerte crecimiento. En las economías emergentes, en tanto, la recuperación sería algo más lenta de lo previsto. Finalmente, indica que en materia de commodities, el precio de la gasolina se ha elevado levemente debido a una demanda más robusta; el del petróleo se ha visto afectado por elementos geopolíticos; el precio del cobre ha retrocedido por expectativas de mayores controles de China para su uso como colateral, pero las perspectivas no han cambiado significativamente; y que el precio de los cereales ha caído de manera significativa.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"106";"RPM-2008-12-11:2241:1";"2008-12-11";"Beltrán de Ramón Acevedo";"Gerente de División Operaciones Financieras";"El Gerente de División Operaciones Financieras señala que, considerando que hoy las tasas reales de bonos soberanos en el horizonte de dos años están al 4,5%, es decir, 100 a 150 puntos base sobre su nivel de tendencia, y que los spreads de colocación están adicionalmente 400 puntos base más arriba, el efecto de equivocarse si ex post la decisión de bajar la Tasa de Política Monetaria sería un error que es asimétrico (y menor) del efecto de equivocarse si ex post postergar una baja sería un error. El Gerente de División Operaciones Financieras señor Beltrán De Ramón fundamenta su exposición, en el hecho de que hoy es posible comenzar a bajar la Tasa de Política Monetaria y dependiendo de su magnitud, no necesariamente esta medida va a impulsar una actividad económica, dado que las tasas son hoy contractivas. Agrega que bajar la Tasa de Política Monetaria significaría hacer algo menos contractivas las condiciones crediticias, pero no expansivas. Señala, asimismo, que justamente, la data dependencia debiera condicionar la magnitud de la baja, pero no la decisión de mantener o bajar la tasa hoy. Agrega que si en los próximos meses se vieran registros de inflación subyacentes que no han bajado lo suficiente, la respuesta de política debiera ser bajar en 25 puntos base por Reunión de Política Monetaria, sabiendo que se tiene una cuenta de ahorro por haber llevado la Tasa de Política Monetaria al 8,25%, muy por sobre sus niveles de expansividad. Menciona que si por el contrario, la inflación cayera más rápido de lo proyectado, en los próximos meses entonces la respuesta de política para las próximas reuniones debiera ser de bajas más agresivas de 25 puntos base. En consideración a lo anterior, el Gerente de División Operaciones Financieras estima que la discusión en relación a que si se está atrás o delante de la curva o de si una posible baja de la Tasa de Política Monetaria en el día de hoy no fuera creída por el mercado, entendiendo esto último como una respuesta nula en la curva de rendimiento, hoy no le preocupa. Manifiesta el señor De Ramón que el mercado y los agentes hace tiempo que esperan que el Banco Central de Chile reduzca la Tasa de Política Monetaria drásticamente, en los próximos meses: el BCP-5 está en 6,20% y ha caído 50 puntos base desde la última Reunión y más de 200 puntos base desde sus máximos en agosto-septiembre. Asimismo, señala que la tasa swap anticipa una baja de la Tasa de Política Monetaria de 175 puntos base en un año. Finalmente, y dado lo anterior, el Gerente de División Operaciones Financieras señor Beltrán De Ramón recomienda al Consejo reducir la Tasa de Política Monetaria en 25 puntos base en el día de hoy.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"107";"RPM-2012-07-12:4973:3";"2012-07-12";"Consejo del Banco Central de Chile";"Consejo";"Conforme a la votación unánime efectuada por los señores Consejeros, el Consejo adoptó el siguiente Acuerdo: 188-01-120712 - Tasa de Política Monetaria En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la Tasa de Interés de Política Monetaria en 5,0% anual. Al concluir la Reunión, se procede a dar lectura al texto del Comunicado, que es del siguiente tenor: Comunicado En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en 5% anual. En el ámbito externo, los recientes anuncios en la Eurozona fueron bien recibidos, aunque los riesgos fiscales continúan elevados y los mercados financieros mantienen una alta volatilidad. Los indicadores económicos de Estados Unidos, la Eurozona, China y otras economías emergentes vuelven a mostrar un desempeño más débil que lo anticipado por las expectativas de consenso. Los bancos centrales de varias economías desarrolladas y emergentes han adoptado políticas monetarias más expansivas. Los precios internacionales de las materias primas se encuentran en niveles similares a los de hace un mes, con la excepción de los granos que presentan un repunte. En el plano local, los indicadores de actividad y demanda, si bien se han desacelerado menos que lo esperado, evolucionan en torno a tasas de tendencia. El mercado laboral sigue ajustado, aunque se observa una moderación en el ritmo de crecimiento del empleo. La inflación anual del IPC ha caído y, junto con las medidas de inflación subyacente, se ubica bajo 3%. En los últimos meses, los componentes más volátiles de la canasta, energía y alimentos, muestran una incidencia negativa en el IPC, a diferencia de lo observado en el primer trimestre del año. Las expectativas inflacionarias de mediano plazo permanecen en torno a la meta. El Consejo reafirma su compromiso de conducir la política monetaria con flexibilidad, de manera que la inflación proyectada se ubique en 3% en el horizonte de política. Cambios futuros en la TPM dependerán de las implicancias de las condiciones macroeconómicas.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"108";"RPM-2011-06-14:4112:1";"2011-06-14";"Sebastián Claro Edwards";"Consejero";"El Consejero señor Sebastián Claro inicia su intervención, señalando que, en el ámbito externo, las cifras mayoritariamente negativas dan cuenta de la debilidad de la recuperación mundial. Sobre el particular, especifica que las cifras efectivas de actividad y empleo así como los precios de los activos financieros, esto es, de las bolsas y las tasas, han ido consolidando por varias semanas una perspectiva de débil recuperación en el mundo desarrollado, y que a ello se suman los desarrollos financieros en Europa que parecen acercarse a un punto de no retorno, donde los problemas de deuda en países periféricos se han agudizado significativamente y las salidas parecen estrechas. Indica que en los países en desarrollo, en cambio, el dinamismo en la actividad continúa, pero a tasas decrecientes. Comenta que ello, junto a una estabilización de los precios de los commodities, ha llevado en algunos países a alguna postergación en los ajustes de la política monetaria. En el ámbito interno, menciona que los datos de inflación estuvieron en línea con lo proyectado, como también la actividad. No obstante, hace notar que aun cuando esta última ha estado algo más dinámica que lo esperada hace unos meses, se observan en el margen algunos signos de moderación, evidencia que deberá ser reafirmada en adelante, de manera de constituir una evaluación certera del ciclo. Agrega que el crédito ha seguido recuperándose, especialmente en el segmento de consumo, y que, medido a tasas anuales, todavía muestra un dinamismo normal. Sostiene, al respecto, que no es descartable que la dinámica del consumo siga estando asociada con una dinámica del crédito que haga subir estas tasas de crecimiento. A su juicio, los sucesos de los últimos días también podrían inducir, en parte, algún ajuste en la dinámica del consumo en el corto plazo. Expresa, asimismo, que el mercado laboral continúa dinámico, a pesar de que la tasa de crecimiento del empleo disminuyó en el margen y los salarios no mostraron una aceleración adicional, respecto de la que venía mostrando en los meses anteriores. En opinión del Consejero señor Sebastián Claro, todo lo anterior reafirma la evaluación de que la economía chilena ha culminado un proceso de recuperación post crisis y que se encuentra en un proceso de expansión coherente con sus condiciones estructurales y con las condiciones externas, que todavía son favorables. Coherente con ello, manifiesta que la normalización de la política monetaria a un rango neutral se ha completado de manera sustantiva. Añade que, dadas las proyecciones y perspectivas, es razonable que algunos ajustes adicionales sean necesarios; no obstante, las condiciones sugieren que tales ajustes dependerán crucialmente de la información disponible y de la evaluación que se haga del impacto de la normalización de la política monetaria que se ha llevado a cabo en los últimos trimestres sobre la demanda y actividad. El Consejero señor Sebastián Claro manifiesta que, en su opinión, la Minuta de Opciones recoge adecuadamente las razones por las cuales se justifica en esta ocasión un alza de 25 puntos base. En particular, plantea que una tasa de 5,25% es más cercana al promedio histórico asociado a la neutralidad y, en ese sentido, es más coherente con la posición cíclica actual de la economía y con los riesgos de mayor incubación de presión inflacionaria que podrían observarse. Sin embargo, señala que resulta claro, en este caso, ponderar dos riesgos que, a su juicio, son los centrales en este momento. Sostiene que el primero se refiere a que con este nivel de tasas, resulta clave hacer la siguiente consideración. Especifica, por una parte, que si el dinamismo de la demanda doméstica interna continúa más allá de lo previsto, en cuyo caso se requerirían alzas mayores en la tasa de interés en adelante, podría ser necesario seguir aumentando la TPM. Indica que la alternativa es que la demanda interna se estabilice, ya sea por razones domésticas como por algún efecto de alguna mayor debilidad en la economía internacional. Estima que en una circunstancia como la actual, en que se está entrando a rangos neutrales de la política monetaria, se estaría cerca de un nivel de tasas adecuado. Plantea, al respecto, que después de un ajuste importante en la TPM en los últimos meses, resulta más crítico balancear adecuadamente estos riesgos, cobrando mayor validez la necesidad de hacer una pausa para evaluar el impacto que las alzas de tasas han tenido, ya que de otra manera, se podría correr el riesgo de inducir un sobreajuste. Hace presente que este tema será más relevante en las próximas reuniones. El Consejero señor Sebastián Claro señala que vota por subir la TPM a 5,25%, y por un Comunicado que, sin descartar alzas futuras, sea más explícito respecto de la incertidumbre futura en los movimientos de la tasa.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"109";"RPM-2008-04-10:1752:1";"2008-04-10";"Claudio Soto Gamboa";"Gerente de Análisis Macroeconómico Interino";"El Gerente de Análisis Macroeconómico Interino señor Claudio Soto señala que es un indicador que agrupa varias líneas de ventas industriales del índice de ventas de bienes de consumo del INE y algunas líneas del índice de producción. Agrega que con ellas se construye lo que se denomina el indicador coincidente de consumo que en general, entrega una buena información del dato de Cuentas Nacionales de comercio trimestre a trimestre.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"110";"RPM-2009-04-09:2447:5";"2009-04-09";"José De Gregorio Rebeco";"Presidente del Banco Central";"Por su parte, el Presidente señor José De Gregorio señala que el temor es bajar mucho y que ello desate una corrida contra la moneda de uno. Eso es lo que impide, en países como México, que baje su tasa.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"111";"RPM-2007-09-13:1449:3";"2007-09-13";"Rodrigo Valdés Pulido";"Gerente de División Estudios";"El Gerente de División Estudios Rodrigo Valdés señala que ello no ocurre así, ya que llegan más permisos que los otorgados y, por lo tanto, la cifras de hace tres meses se incrementa en el tiempo y por ello, la primera lectura de estos datos no es la mejor y por eso el Banco efectúa la corrección, pero el INE entrega la cifra que recibe.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"112";"RPM-2015-07-14:6915:1";"2015-07-14";"Rodrigo Vergara Montes";"Presidente del Banco Central";"El Presidente señor Rodrigo Vergara agradece la presentación del Consejero señor Sebastián Claro y, a continuación, concede la palabra al Vicepresidente señor Enrique Marshall";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"113";"RPM-2005-08-11:361:1";"2005-08-11";"Manuel Marfán Lewis";"Consejero";"El Consejero señor Manuel Marfán, agradece el análisis del staff, señala que la coyuntura actual es relativamente compleja de entender, el precio del petróleo y del cobre han alcanzado sus máximos históricos, con un efecto combinado que sigue siendo favorable al país. En el frente interno en tanto, señala el señor Consejero, todos los índices de inflación superaran marginalmente las proyecciones consideradas en la reunión de política monetaria anterior. En su opinión una parte de esa sorpresa inflacionaria se debe al aumento sorpresivo mayor al esperado del precio internacional del petróleo y otra parte se explica por un adelanto de inflación del segundo semestre que debiera tender a revertirse. En otro plano, la marcada apreciación reciente del peso debiera corregir las proyecciones a futuro y los costos laborales unitarios siguen estando contenidos. Con todo, la tendencia inflacionaria continúa elevándose y ya se ubica en el rango meta de política. Asimismo, su apreciación es que debiera acelerarse en el corto plazo la velocidad a la que debiera continuar normalizándose la política monetaria y en ese contexto coincide con la apreciación del staff en que las opciones a analizar este mes son las de elevar en veinticinco puntos base la política monetaria o en cincuenta puntos base. Sin que el juicio que va a exponer signifique un compromiso por su voto en el futuro, el Consejero señor Manuel Marfán señala que tiene la firme convicción que la mejor combinación en esta oportunidad es elevar la tasa de política monetaria en veinticinco puntos base y acelerar el ritmo de normalización de ésta en los meses inmediatamente siguientes. Señala que se trata de una estrategia compatible con nuestro escenario central y que resultará más fácil hacer transparente a los mercados en nuestro próximo Informe de Política Monetaria, que en un breve comunicado. Un aumento de cincuenta puntos base en cambio, implicará más pausas en el futuro cercano, confundirá en el corto plazo al mercado y arriesga generar un sobre ajuste del tipo de cambio nominal hacia abajo. También de alguna manera la señal sería, ya sea que la magnitud de la sorpresa es mayor a la efectivamente exhibida, o bien, alternativamente que se están corrigiendo errores anteriores de la política monetaria, que a su juicio no ha habido. En consecuencia, su voto en esta oportunidad es por elevar la tasa en veinticinco puntos base.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"114";"RPM-2014-08-14:6367:1";"2014-08-14";"Enrique Marshall Rivera";"Vicepresidente del Banco Central";"El Vicepresidente señor Enrique Marshall hace notar que los indicadores de edificación presentan un deterioro menor que las expectativas del sector construcción. En su opinión, esta fuerte caída de las expectativas responde a la falta de proyectos, porque la mantención de proyectos en carpeta les garantiza la continuidad de su actividad.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"115";"RPM-2013-02-14:5363:1";"2013-02-14";"Miguel Fuentes Díaz";"Gerente de Análisis Macroeconómico (S)";"El señor Miguel Fuentes señala que en el mes de enero último, el sector resto sorprendió al alza en cerca de tres décimas, mientras que el sector recursos naturales exhibió una leve desaceleración, por lo que en términos generales, se advierte en los datos que no se presentan signos evidentes de una desaceleración.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"116";"RPM-2008-01-10:1633:2";"2008-01-10";"Leonardo Hernández Tagle";"Subgerente General";"Señala el señor Subgerente General que no desea repetir todos los argumentos que se han presentado. Indica que comparte lo expresado por los Gerentes señores Schmidt-Hebbel y De Ramón, y que solo desea enfatizar que no comparte del todo la propuesta de la Minuta de la Gerencia de División Estudios en relación al rol que puede jugar el Comunicado, en particular no conducir las expectativas de inflación o la dirección de la Política Monetaria. Señala que el Comunicado sí puede ser importante en establecer la gran incertidumbre que hoy se enfrenta en materia de actividad hacia delante, todavía es temprano y no se sabe los efectos que habría en términos de actividad, en particular lo que ocurra con las economías externas. En ese caso, cree que podría resultar un poco prematuro subir más de 25 puntos base, puesto que se podría enfrentar, no a mucho andar, una fuerte desaceleración y, más aún, si es real lo que se argumentó en la Reunión de la mañana, que se espera una fuerte baja en las tasas de interés externas, se podría tener un elemento también deflacionario del tipo de cambio y por lo tanto, con la incertidumbre que se enfrenta a futuro en materia de actividad económica y una posible fuerte desaceleración, en su opinión cree que resultaría un poco arriesgado subir más de 25 puntos base ahora. Finalmente, indica el Subgerente General señor Hernández que habría que esperar cómo se va desentrañando el escenario.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"117";"RPM-2008-06-10:1912:1";"2008-06-10";"Consejo del Banco Central de Chile";"Consejo";"En mérito de lo anterior, el Consejo adopta el siguiente Acuerdo: 124-01-080610-Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile, acordó aumentar la tasa de interés de Política Monetaria en 50 puntos base, hasta 6,75% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 50 puntos base, hasta 6,75% anual. Dado el deterioro que ha experimentado el panorama inflacionario, este aumento de la tasa de política es necesario para evitar una postergación indeseada de la convergencia de la inflación hacia el 3%. En el ámbito externo, las perspectivas de crecimiento para las economías desarrolladas se mantienen débiles y los mercados financieros siguen tensionados. El precio del petróleo ha subido significativamente, los precios de la mayoría de los productos básicos continúan elevados y se han acentuado las presiones inflacionarias en el mundo. En el plano interno, la información más reciente muestra que el crecimiento económico esperado para el segundo trimestre es coherente con las perspectivas de expansión para el año contenidas en el último Informe de Política Monetaria. La demanda interna continúa creciendo a tasas elevadas, particularmente en su componente importado, y el desempleo se ha mantenido estable. La inflación de mayo superó significativamente lo anticipado, debido a nuevos aumentos en los precios de la energía y, principalmente, de los alimentos. Las medidas subyacentes de inflación y varias medidas de expectativas de inflación se han incrementado. La dinámica salarial sigue ajustada a patrones históricos. El Consejo reafirma su compromiso de conducir la política monetaria de manera de reducir la elevada inflación actual hacia 3% en el horizonte de política. Con ello contribuye a mantener alineadas las expectativas privadas con la meta de inflación. De particular importancia para los cambios futuros en la tasa de política serán las implicancias para la inflación del desarrollo del complejo escenario internacional, el grado de propagación de los shocks inflacionarios de meses pasados a otros precios y salarios y el surgimiento de presiones inflacionarias adicionales.”";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"118";"RPM-2010-04-15:3029:2";"2010-04-15";"Sergio Lehmann Beresi";"Gerente de Análisis Internacional";"El Gerente de Análisis Internacional continúa con su presentación, mencionando que en materia de inflación, los registros dan cuenta de ligeros aumentos en el margen en Europa emergente, América Latina y Estados Unidos, y que las encuestas muestran, en general, una convergencia gradual a las metas de inflación respectivas. Cita el caso de Japón, que es particular, donde, de acuerdo con las cifras de Consensus Forecasts, la inflación se mantendrá claramente por debajo de 0%, es decir, registrará deflación prácticamente durante todo el bienio 2010 -2011. En cuanto a Estados Unidos, informa que el dato del IPC es muy parecido al PCE (Personal Consumption Expenditure) como un todo, siendo este último de alrededor de 3,5%, tal vez algo mayor que el primero. Agrega que el último registro de inflación que se dio a conocer hace algunos días es coherente con un aumento a niveles de 2,5% promedio hacia el segundo trimestre del presente año, que luego debería tender a converger gradualmente a 2%. Sobre la inflación subyacente o core, reporta que se observan ligeras reducciones, en particular en Estados Unidos y en la zona Euro, en tanto que en algunas economías emergentes la situación no solo es algo más dispar, sino que los últimos registros dan cuenta también de algunas caídas. No obstante, informa que las expectativas para la inflación promedio anual en el año 2010 aumentan en la mayoría de las regiones y se mantienen estables para el año próximo. Respecto de los premios por riesgos, el Gerente de Análisis Internacional menciona particularmente el caso de Grecia, donde han fluctuado, sin ceder demasiado, entre niveles de 300 a 350 puntos base y continúan muy volátiles por los anuncios de ayuda de parte de la Comunidad Económica Europea y por el ánimo de los mercados, que a veces están más optimistas y otras suelen estar más pesimistas. Hace notar que otras economías de Europa muestran una suerte de aislamiento de la situación de Grecia, como Irlanda, que se ha mantenido bastante estable, lo mismo que España, que ha presentado un movimiento reducido luego de su preocupación inicial, respecto de encontrarse ante eventuales situaciones parecidas a las que han presentado otros países de la periferia europea.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
