orden,intervencion_id,cita_recibida,cita_final
50,RPM-2005-08-11:356:1,"concordando con la Gerencia de División Estudios en el sentido que las alternativas son aumentar 25 ó 50 puntos base, le parece que es prudente continuar con una política de normalización gradual y, en este escenario lo más apropiado, en su opinión, sería aumentar la tasa de política monetaria en...","concordando con la Gerencia de División Estudios en el sentido que las alternativas son aumentar 25 ó 50 puntos base, le parece que es prudente continuar con una política de normalización gradual y, en este escenario lo más apropiado, en su opinión, sería aumentar la tasa de política monetaria en"
52,RPM-2006-06-15:738:1,"la estrategia de reducción gradual del impulso monetario, que es coherente con nuestro escenario central, admite pausas periódicas y también pausas consecutivas. Agrega el señor Consejero que coincide con la recomendación de la Gerencia de División Estudios en el sentido de que el valor de la opc...","la estrategia de reducción gradual del impulso monetario, que es coherente con nuestro escenario central, admite pausas periódicas y también pausas consecutivas. Agrega el señor Consejero que coincide con la recomendación de la Gerencia de División Estudios en el sentido de que el valor de la opc"
53,RPM-2006-11-16:952:1,"El Consejero señor Jorge Desormeaux señala que los datos del tercer trimestre del PIB en Estados Unidos de América no se han analizado. La pregunta que se hace es si éstos son tranquilizadores y qué mensaje entregan respecto de la gran pregunta, de si se trata de un aterrizaje suave o si va a ten...","El Consejero señor Jorge Desormeaux señala que los datos del tercer trimestre del PIB en Estados Unidos de América no se han analizado. La pregunta que se hace es si éstos son tranquilizadores y qué mensaje entregan respecto de la gran pregunta, de si se trata de un aterrizaje suave o si va a ten"
54,RPM-2015-05-14:6806:3,"Conforme a la votación unánime efectuada por los señores Consejeros, el Consejo adoptó el siguiente Acuerdo: N° 222-01-150514 - Tasa de Política Monetaria En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en...","Conforme a la votación unánime efectuada por los señores Consejeros, el Consejo adoptó el siguiente Acuerdo: N° 222-01-150514 - Tasa de Política Monetaria En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en"
62,RPM-2014-09-11:6422:1,"Hace presente que la depreciación cambiaria es materia de preocupación para efectos de proyectar la inflación de corto plazo y que, de hecho, se han incorporado mayores incrementos de precios en aquellas líneas específicas donde se produce un traspaso bastante directo de la depreciación del tipo ...","Hace presente que la depreciación cambiaria es materia de preocupación para efectos de proyectar la inflación de corto plazo y que, de hecho, se han incorporado mayores incrementos de precios en aquellas líneas específicas donde se produce un traspaso bastante directo de la depreciación del tipo"
68,RPM-2010-05-13:3111:2,"Respecto de la decisión que debe adoptarse en la presente Reunión, el señor Pablo García informa que no se aprecia unanimidad entre los analistas, ya que una mayoría se inclina por la mantención de la tasa, mientras que los precios de activos financieros consideran con una elevada probabilidad qu...","Respecto de la decisión que debe adoptarse en la presente Reunión, el señor Pablo García informa que no se aprecia unanimidad entre los analistas, ya que una mayoría se inclina por la mantención de la tasa, mientras que los precios de activos financieros consideran con una elevada probabilidad qu"
82,RPM-2013-08-13:5726:1,"El Vicepresidente señor Manuel Marfán expresa que su planteamiento obedece a que dicho Residuo es muy significativo, lo cual sugiere que los modelos no estarían incorporando adecuadamente todas las variables relevantes, por lo que podría contribuir en ese sentido la inclusión de fundamentales que...","El Vicepresidente señor Manuel Marfán expresa que su planteamiento obedece a que dicho Residuo es muy significativo, lo cual sugiere que los modelos no estarían incorporando adecuadamente todas las variables relevantes, por lo que podría contribuir en ese sentido la inclusión de fundamentales que"
98,RPM-2005-11-10:504:1,"el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,5% anual. El Consejo estima apropiado reafirmar su compromiso con la estabilidad de precios y su voluntad de reducir el estímulo monetario prevaleciente","el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,5% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,5%"
99,RPM-2005-10-11:449:1,"el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,25% anual. El Consejo considera que, en el escenario más probable, continuará reduciendo el estímulo monetario prevaleciente","el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 4,25% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 4,25%"
100,RPM-2009-06-16:2562:2,"las tasas de interés, específicamente las tasas largas en mercados desarrollados, y las de mediano plazo, particularmente en la última semana, han tendido a aumentar de manera importante y que ello conduce a que durante la primera mitad del mes se observe un incremento en la pendiente de la curva...","las tasas de interés, específicamente las tasas largas en mercados desarrollados, y las de mediano plazo, particularmente en la última semana, han tendido a aumentar de manera importante y que ello conduce a que durante la primera mitad del mes se observe un incremento en la pendiente de la curva"
105,RPM-2010-05-13:3114:1,"manifiesta que la decisión de mantener o subir la TPM en esta ocasión no debería provocar sorpresas mayores. Sostiene que en términos comunicacionales, si se mantiene la TPM y no se modifica explícitamente el escenario del IPoM, las expectativas de alza para la próxima Reunión aumentarán de forma...","manifiesta que la decisión de mantener o subir la TPM en esta ocasión no debería provocar sorpresas mayores. Sostiene que en términos comunicacionales, si se mantiene la TPM y no se modifica explícitamente el escenario del IPoM, las expectativas de alza para la próxima Reunión aumentarán de forma"
135,RPM-2015-03-19:6687:1,"señala que la política monetaria ha acompañado esta desaceleración y, a juzgar por la trayectoria del tipo de cambio, por las condiciones financieras internas y por la trayectoria de la inflación, que el aporte ha sido significativo, no existiendo por ahora espacio para aumentar el estímulo monet...","señala que la política monetaria ha acompañado esta desaceleración y, a juzgar por la trayectoria del tipo de cambio, por las condiciones financieras internas y por la trayectoria de la inflación, que el aporte ha sido significativo, no existiendo por ahora espacio para aumentar el estímulo monet"
151,RPM-2013-09-12:5767:1,"El Consejero señor Sebastián Claro manifiesta que México ha sorprendido por segunda vez en el año al rebajar su tasa de instancia, totalizando una disminución de 75 puntos base en el presente ejercicio, en circunstancias que debiera verse beneficiado por la recuperación que exhibe la economía est...","El Consejero señor Sebastián Claro manifiesta que México ha sorprendido por segunda vez en el año al rebajar su tasa de instancia, totalizando una disminución de 75 puntos base en el presente ejercicio, en circunstancias que debiera verse beneficiado por la recuperación que exhibe la economía est"
153,RPM-2009-06-16:2593:2,"estos antecedentes sugieren que puede ser necesario un impulso monetario mayor que el contemplado en el citado IPoM. Añade, que una alternativa para imprimir un impulso monetario superior es naturalmente una mayor reducción de la Tasa de Política Monetaria, por ejemplo, con ajustes de 50 ó 75 pun...","estos antecedentes sugieren que puede ser necesario un impulso monetario mayor que el contemplado en el citado IPoM. Añade, que una alternativa para imprimir un impulso monetario superior es naturalmente una mayor reducción de la Tasa de Política Monetaria, por ejemplo, con ajustes de 50 ó 75 pun"
156,RPM-2011-12-13:4506:1,"recomienda la de bajar la TPM en esta oportunidad, basado en los siguientes dos argumentos. En primer lugar, reitera lo que manifestó en la RPM anterior en cuanto a que producto del deterioro de la situación internacional y la alta apertura de la economía chilena, la dirección que debe tomar la T...","recomienda la de bajar la TPM en esta oportunidad, basado en los siguientes dos argumentos. En primer lugar, reitera lo que manifestó en la RPM anterior en cuanto a que producto del deterioro de la situación internacional y la alta apertura de la economía chilena, la dirección que debe tomar la T"
173,RPM-2007-08-09:1381:1,"El Presidente señor Vittorio Corbo comenta que hubiera pensado que en este momento se comenzará a ver una desaceleración más fuerte de crecimiento MI, atendido el alto aumento en el costo de material de dinero, ya que si la demanda está cayendo y la oferta sigue creciendo, igual existe algún prob...","El Presidente señor Vittorio Corbo comenta que hubiera pensado que en este momento se comenzará a ver una desaceleración más fuerte de crecimiento MI, atendido el alto aumento en el costo de material de dinero, ya que si la demanda está cayendo y la oferta sigue creciendo, igual existe algún prob"
215,RPM-2013-08-13:5747:1,"las opciones que surgen nuevamente con claridad son mantener o bajar la TPM en 25 puntos base, coincidiendo en tal sentido con la minuta de la Gerencia de División Estudios. Estima que los antecedentes analizados conducen a reafirmar la orientación de la política monetaria esbozada en el último I...","las opciones que surgen nuevamente con claridad son mantener o bajar la TPM en 25 puntos base, coincidiendo en tal sentido con la minuta de la Gerencia de División Estudios. Estima que los antecedentes analizados conducen a reafirmar la orientación de la política monetaria esbozada en el último I"
222,RPM-2009-06-16:2579:1,"El Consejero señor Sebastián Claro señala que considerando el nivel histórico de las importaciones de bienes de capital, las cifras del mes anterior hacían pensar que se estaba frente a un repunte, pero que los datos actuales indican que no existe evidencia de que se haya producido en el segundo ...","El Consejero señor Sebastián Claro señala que considerando el nivel histórico de las importaciones de bienes de capital, las cifras del mes anterior hacían pensar que se estaba frente a un repunte, pero que los datos actuales indican que no existe evidencia de que se haya producido en el segundo"
244,RPM-2010-11-16:3497:1,"el PMI global, publicado por JP Morgan, que incluye a todas las economías que reportan este tipo de indicadores, destaca que arroja en el margen una señal de algo mayor expansión.","PMI global, publicado por JP Morgan, que incluye a todas las economías que reportan este tipo de indicadores, destaca que arroja en el margen una señal de algo mayor expansión. En términos de empleo, señala que también está algo por sobre el pivote 50 y marginalmente positivo, mientras que en"
250,RPM-2011-03-17:3891:1,"el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 50 puntos base, hasta 4,00% anual. El Consejo reitera que será necesario continuar reduciendo el estímulo monetario en los meses venideros.","el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 50 puntos base, hasta 4,0% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 50 puntos"
273,RPM-2015-07-14:6874:1,"El señor Diego Gianelli precisa que Irán produce actualmente alrededor de 2,8 millones de barriles diarios y se ubica entre la sexta y séptima posición a nivel mundial, y que la apertura del mercado de Estados Unidos de América y de Europa implicará un aumento de la oferta de medio millón de barr...","El señor Diego Gianelli precisa que Irán produce actualmente alrededor de 2,8 millones de barriles diarios y se ubica entre la sexta y séptima posición a nivel mundial, y que la apertura del mercado de Estados Unidos de América y de Europa implicará un aumento de la oferta de medio millón de barr"
282,RPM-2013-08-13:5706:1,"El Consejero señor Sebastián Claro plantea que la información antedicha refleja que el mercado de bonos no se ha cerrado, lo que constituyó precisamente uno de los temores que surgió ante el referido cambio de escenario, pero en todo caso, no da cuenta de la variación de las tasas de interés de l...","El Consejero señor Sebastián Claro plantea que la información antedicha refleja que el mercado de bonos no se ha cerrado, lo que constituyó precisamente uno de los temores que surgió ante el referido cambio de escenario, pero en todo caso, no da cuenta de la variación de las tasas de interés de l"
295,RPM-2010-11-16:3581:1,"El Consejo aprobó, por la unanimidad de sus miembros, aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,0% anual. El Consejo continuará reduciendo el estímulo monetario prevaleciente a un ritmo que dependerá de la evolución de las condiciones macroeconómicas internas y ...","El Consejo aprobó, por la unanimidad de sus miembros, aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,0% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 25"
