orden;fila_excel;intervencion_id;etiqueta;problemas;caracteres_frase;frase_justificante
152;153;RPM-2008-07-10:1971:1;hawkish;frase no verbatim;180;el Consejero señor Enrique Marshall estima que la decisión de política que corresponde es subir la tasa de interés... su voto es por subir la tasa de política monetaria hasta 7,25%
155;156;RPM-2005-09-08:379:1;neutral;frase no verbatim;144;existiría escasez de papeles en UF... se trataría de un problema estructural, de corto plazo, pero un problema más bien de restricción de oferta
157;158;RPM-2009-07-09:2607:1;neutral;frase no verbatim;154;los datos muestran exactamente lo contrario... países que cuentan con los mercados laborales más flexibles, donde el ajuste en cantidad ha sido más rápido
161;162;RPM-2007-12-13:1573:1;neutral;frase no verbatim;112;a medida que se observan plazos más largos, los spreads se van reduciendo... claramente es una situación anormal
163;164;RPM-2013-03-14:5401:1;neutral;frase no verbatim;224;el Presidente señor Rodrigo Vergara da inicio a la Reunión de Política Monetaria N° 196, comunicando que... la Reunión de Política Monetaria correspondiente al mes de septiembre de 2013 se celebre el día jueves 12 de ese mes
164;165;RPM-2009-12-15:2833:1;neutral;frase no verbatim;143;la actual estrategia de política monetaria no debiera verse afectada... el principal riesgo es que el estímulo monetario sea menor al necesario
170;171;RPM-2015-09-15:6985:1;neutral;frase no verbatim;114;China realizó ventas masivas de bonos de Estados Unidos de América... podrían explicar el empinamiento de la curva
177;178;RPM-2006-01-12:528:1;neutral;frase no verbatim;108;el señor Presidente fija la sesión de política monetaria del mes de julio de 2006, para el día 13 de ese mes
183;184;RPM-2011-06-14:4117:1;hawkish;frase no verbatim;159;su voto es por subir la TPM en 25 puntos base, a 5,25%... se acuerda por unanimidad aumentar la tasa de política monetaria en 25 puntos base, hasta 5,25% anual
184;185;RPM-2006-01-12:561:1;hawkish;frase no verbatim;132;Personalmente, se inclina por hacer el incremento ahora... esa trayectoria de corrección esté más cargada a la primera parte del año
185;186;RPM-2007-02-08:1065:2;neutral;frase no verbatim;156;el escenario base es el escenario base... los riesgos al alza o a la baja eran más bien acotados. Pero éstos se han movido... más bien al alza que a la baja
188;189;RPM-2011-04-12:3901:1;neutral;frase no verbatim;59;consulta por las razones que explican la situación descrita
189;190;RPM-2008-01-10:1634:1;hawkish;frase no verbatim;219;es partidario de un alza de la Tasa de Política Monetaria de 50 puntos base... estaría dispuesto a sumarse al voto de la mayoría, en caso que se apruebe la opción de subir la Tasa de Política Monetaria en 25 puntos base
193;194;RPM-2012-04-17:4784:2;hawkish;frase no verbatim;178;fluye con bastante claridad que la opción más adecuada es la de mantener la TPM en su actual nivel... la opción de un incremento de 25 puntos base podría encontrar algún sustento
195;196;RPM-2010-05-13:3110:1;neutral;frase no verbatim;166;el Gerente de Estrategia y Comunicación de Política Monetaria, señor Enrique Orellana, aprobado por el Fiscal... para cursar la citación al señor Ministro de Hacienda
199;200;RPM-2015-07-14:6915:3;hawkish;frase no verbatim;190;su voto es por mantener la Tasa de Política Monetaria en 3% anual y el sesgo neutral del último Comunicado... la opción de un recorte de la TPM se puede desechar rápidamente por improcedente
200;201;RPM-2014-07-15:6331:1;neutral;frase no verbatim;220;el Presidente señor Rodrigo Vergara agradece la exposición del Gerente de Análisis Macroeconómico señor Miguel Fuentes y no habiendo otros comentarios, ofrece la palabra al Subsecretario de Hacienda señor Alejandro Micco
202;203;RPM-2007-04-12:1213:1;dovish;frase no verbatim;161;recomienda mantener la Tasa de Política Monetaria y esperar una o dos reuniones más para recabar nuevos antecedentes... el escenario de bajas futuras se mantiene
203;204;RPM-2010-01-14:2848:1;neutral;frase no verbatim;138;el Presidente, señor José De Gregorio, agradece la presentación del Gerente de Análisis Internacional y ofrece la palabra para comentarios
207;208;RPM-2015-04-16:6742:1;neutral;frase no verbatim;141;el Presidente señor Rodrigo Vergara recuerda que la Reunión de Política Monetaria de octubre de 2015 se efectuará el día jueves 15 de ese mes
209;210;RPM-2009-01-08:2293:1;neutral;frase no verbatim;75;el Presidente ofrece la palabra a los señores Consejeros para proceder a la
211;212;RPM-2009-04-09:2490:2;dovish;frase no verbatim;182;una reducción de 50 puntos base no sería sorpresiva... una reducción de 50 puntos, con un sesgo similar al del mes pasado, le da más flexibilidad al accionar de la política monetaria
215;216;RPM-2005-12-13:523:1;dovish;frase no verbatim;157;su voto es por mantener la tasa en su nivel actual... Una pausa en esta reunión implicaría igual un paso en la normalización de la tasa de política monetaria
216;217;RPM-2008-07-10:1930:1;neutral;frase no verbatim;73;el Presidente, señor José De Gregorio, ofrece la palabra para comentarios
218;219;RPM-2006-09-07:834:1;neutral;frase no verbatim;113;existe un rezago en la actualización de las proyecciones... Goldman Sachs ha estado siempre con un gran optimismo
219;220;RPM-2007-12-13:1591:3;neutral;frase no verbatim;103;consulta cuál es el problema que se presenta con los datos de importaciones que sorprendieron a la baja
224;225;RPM-2008-06-10:1891:1;neutral;frase no verbatim;90;en el caso de Chile parece que suben todos los alimentos... consulta las razones para ello
229;230;RPM-2010-03-18:3018:1;dovish;frase no verbatim;213;su voto es por mantener la TPM en su actual nivel de 0,5%... lo más prudente, por el momento, es no innovar en materia de política monetaria, destacando que el espacio necesario para proceder en tal sentido existe
232;233;RPM-2010-07-15:3263:1;neutral;frase no verbatim;104;el Presidente señor José De Gregorio agradece al señor Claudio Soto y ofrece la palabra para comentarios
233;234;RPM-2014-01-16:6000:1;hawkish;frase no verbatim;190;su decisión es la de mantener la TPM en 4,5% anual, pero incorporando un mensaje de sesgo a la baja en el Comunicado... el próximo movimiento de la Tasa de Política Monetaria sería a la baja
240;241;RPM-2008-10-09:2112:2;neutral;frase no verbatim;132;para las economías emergentes se está tomando en cuenta una 'elasticidad' del efecto de menor crecimiento en economías desarrolladas
244;245;RPM-2011-04-12:3968:2;hawkish;frase no verbatim;151;su voto es por subir la TPM en 50pb, para llevarla a 4,5%... se acuerda por unanimidad aumentar la tasa de política monetaria en 50pb, hasta 4,5% anual
245;246;RPM-2012-11-13:5214:1;neutral;frase no verbatim;166;el Presidente señor Rodrigo Vergara agradece la presentación del Consejero señor Joaquín Vial y, a continuación, concede la palabra al Consejero señor Sebastián Claro
251;252;RPM-2011-01-13:3705:1;hawkish;frase no verbatim;180;por razones tácticas, es conveniente hacer una pausa en esta Reunión... el Consejo debería afirmar que esta pausa no altera el curso de la política monetaria contemplada en el IPoM
252;253;RPM-2009-01-08:2296:1;dovish;frase no verbatim;141;tiene una preferencia por la alternativa de reducir la Tasa de Política Monetaria en 100 puntos base, en lugar de la opción de 75 puntos base
253;254;RPM-2011-01-13:3685:1;neutral;frase no verbatim;202;la información efectiva de las importaciones que han ingresado al país aparece en la balanza de pagos... las coberturas de importaciones no son necesariamente simultáneas al ingreso de las importaciones
258;259;RPM-2014-01-16:5965:1;neutral;frase no verbatim;166;el Presidente señor Rodrigo Vergara da inicio a la Reunión de Política Monetaria N° 206... ofrece la palabra al Gerente de Análisis Internacional señor Sergio Lehmann
261;262;RPM-2006-01-12:570:1;dovish;frase no verbatim;229;su voto es por mantener, en esta oportunidad, la tasa de política monetaria... los efectos del error de tipo dos, en este segundo caso, tienden a inclinar la balanza a que los costos de equivocarse son menores al mantener hoy día
264;265;RPM-2009-08-13:2682:1;neutral;frase no verbatim;213;el hecho de que la tasa de interés de política esté en su mínimo posible no implica que la lógica de Taylor no se aplique... el movimiento marginal de la TPM que se deduciría de una regla de Taylor sería a la baja
267;268;RPM-2012-08-16:5001:1;neutral;frase no verbatim;73;el Presidente consulta por el IMACEC esperado para el mes de julio último
270;271;RPM-2010-04-15:3057:1;neutral;frase no verbatim;131;pregunta cuál sería la forma de comunicar que la inflación mensual sube de 0,1 a 0,8%... sin que ello genere una reacción indeseada
275;276;RPM-2011-01-13:3709:1;hawkish;frase no verbatim;196;esa Secretaría de Estado considera que lo más recomendable es realizar una pausa en el proceso de normalización de la política monetaria... en la medida que el comunicado mantenga un sesgo alcista
278;279;RPM-2009-06-16:2575:1;neutral;frase no verbatim;104;la bolsa ha seguido subiendo de manera importante... la tasa de crecimiento del M1 ha tendido a aumentar
283;284;RPM-2015-07-14:6906:1;hawkish;frase no verbatim;168;la Gerencia de División Estudios propone como única opción relevante mantener la TPM en 3% y el sesgo neutral... la opción de una baja de tasa es fácilmente descartable
292;293;RPM-2011-07-14:4205:1;hawkish;frase no verbatim;149;se inclina en esta oportunidad por mantener la TPM en su nivel actual... es evidente que se está ya en un rango donde las pausas serán más frecuentes
296;297;RPM-2013-07-11:5694:1;hawkish;frase no verbatim;175;las opciones que surgen con claridad son mantener o bajar la TPM en 25 puntos base... las expectativas para esta Reunión apuntan muy mayoritariamente a que se mantendrá la TPM
