orden;intervencion_id;problema
152;RPM-2008-07-10:1971:1;frase no verbatim
152;RPM-2008-07-10:1971:1;fecha de anotación ausente, inválida o futura
153;RPM-2008-07-10:1947:1;fecha de anotación ausente, inválida o futura
154;RPM-2011-10-13:4383:1;fecha de anotación ausente, inválida o futura
155;RPM-2005-09-08:379:1;frase no verbatim
155;RPM-2005-09-08:379:1;fecha de anotación ausente, inválida o futura
156;RPM-2015-01-15:6573:1;fecha de anotación ausente, inválida o futura
157;RPM-2009-07-09:2607:1;frase no verbatim
157;RPM-2009-07-09:2607:1;fecha de anotación ausente, inválida o futura
158;RPM-2015-12-17:7170:1;fecha de anotación ausente, inválida o futura
159;RPM-2015-05-14:6806:2;fecha de anotación ausente, inválida o futura
160;RPM-2006-02-09:591:1;fecha de anotación ausente, inválida o futura
161;RPM-2007-12-13:1573:1;frase no verbatim
161;RPM-2007-12-13:1573:1;fecha de anotación ausente, inválida o futura
162;RPM-2009-05-07:2509:1;fecha de anotación ausente, inválida o futura
163;RPM-2013-03-14:5401:1;frase no verbatim
163;RPM-2013-03-14:5401:1;fecha de anotación ausente, inválida o futura
164;RPM-2009-12-15:2833:1;frase no verbatim
164;RPM-2009-12-15:2833:1;fecha de anotación ausente, inválida o futura
165;RPM-2007-04-12:1170:1;fecha de anotación ausente, inválida o futura
166;RPM-2014-04-17:6121:1;fecha de anotación ausente, inválida o futura
167;RPM-2013-07-11:5649:1;fecha de anotación ausente, inválida o futura
168;RPM-2014-06-12:6270:1;fecha de anotación ausente, inválida o futura
169;RPM-2007-03-15:1114:1;fecha de anotación ausente, inválida o futura
170;RPM-2015-09-15:6985:1;frase no verbatim
170;RPM-2015-09-15:6985:1;fecha de anotación ausente, inválida o futura
171;RPM-2014-05-15:6208:1;fecha de anotación ausente, inválida o futura
172;RPM-2005-08-11:343:1;fecha de anotación ausente, inválida o futura
173;RPM-2007-06-14:1308:2;fecha de anotación ausente, inválida o futura
174;RPM-2010-02-11:2903:1;fecha de anotación ausente, inválida o futura
175;RPM-2005-09-08:386:1;fecha de anotación ausente, inválida o futura
176;RPM-2008-07-10:1946:2;fecha de anotación ausente, inválida o futura
177;RPM-2006-01-12:528:1;frase no verbatim
177;RPM-2006-01-12:528:1;fecha de anotación ausente, inválida o futura
178;RPM-2015-08-13:6940:1;fecha de anotación ausente, inválida o futura
179;RPM-2006-12-14:991:1;fecha de anotación ausente, inválida o futura
180;RPM-2009-12-15:2838:1;fecha de anotación ausente, inválida o futura
181;RPM-2009-11-12:2772:1;fecha de anotación ausente, inválida o futura
182;RPM-2008-08-14:2012:1;fecha de anotación ausente, inválida o futura
183;RPM-2011-06-14:4117:1;frase no verbatim
183;RPM-2011-06-14:4117:1;fecha de anotación ausente, inválida o futura
184;RPM-2006-01-12:561:1;frase no verbatim
184;RPM-2006-01-12:561:1;fecha de anotación ausente, inválida o futura
185;RPM-2007-02-08:1065:2;frase no verbatim
185;RPM-2007-02-08:1065:2;fecha de anotación ausente, inválida o futura
186;RPM-2007-05-10:1227:3;fecha de anotación ausente, inválida o futura
187;RPM-2013-10-17:5845:1;fecha de anotación ausente, inválida o futura
188;RPM-2011-04-12:3901:1;frase no verbatim
188;RPM-2011-04-12:3901:1;fecha de anotación ausente, inválida o futura
189;RPM-2008-01-10:1634:1;frase no verbatim
189;RPM-2008-01-10:1634:1;fecha de anotación ausente, inválida o futura
190;RPM-2005-09-08:376:1;fecha de anotación ausente, inválida o futura
191;RPM-2010-09-16:3366:1;fecha de anotación ausente, inválida o futura
192;RPM-2008-07-10:1965:1;fecha de anotación ausente, inválida o futura
193;RPM-2012-04-17:4784:2;frase no verbatim
193;RPM-2012-04-17:4784:2;fecha de anotación ausente, inválida o futura
194;RPM-2014-07-15:6324:1;fecha de anotación ausente, inválida o futura
195;RPM-2010-05-13:3110:1;frase no verbatim
195;RPM-2010-05-13:3110:1;fecha de anotación ausente, inválida o futura
196;RPM-2009-08-13:2679:2;fecha de anotación ausente, inválida o futura
197;RPM-2014-02-18:6029:1;fecha de anotación ausente, inválida o futura
198;RPM-2011-05-12:4030:1;fecha de anotación ausente, inválida o futura
199;RPM-2015-07-14:6915:3;frase no verbatim
199;RPM-2015-07-14:6915:3;fecha de anotación ausente, inválida o futura
200;RPM-2014-07-15:6331:1;frase no verbatim
200;RPM-2014-07-15:6331:1;fecha de anotación ausente, inválida o futura
201;RPM-2014-08-14:6378:1;fecha de anotación ausente, inválida o futura
202;RPM-2007-04-12:1213:1;frase no verbatim
202;RPM-2007-04-12:1213:1;fecha de anotación ausente, inválida o futura
203;RPM-2010-01-14:2848:1;frase no verbatim
203;RPM-2010-01-14:2848:1;fecha de anotación ausente, inválida o futura
204;RPM-2010-10-14:3455:1;fecha de anotación ausente, inválida o futura
205;RPM-2011-06-14:4096:6;fecha de anotación ausente, inválida o futura
206;RPM-2015-06-11:6829:2;fecha de anotación ausente, inválida o futura
207;RPM-2015-04-16:6742:1;frase no verbatim
207;RPM-2015-04-16:6742:1;fecha de anotación ausente, inválida o futura
208;RPM-2009-08-13:2674:4;fecha de anotación ausente, inválida o futura
209;RPM-2009-01-08:2293:1;frase no verbatim
209;RPM-2009-01-08:2293:1;fecha de anotación ausente, inválida o futura
210;RPM-2013-12-12:5962:1;fecha de anotación ausente, inválida o futura
211;RPM-2009-04-09:2490:2;frase no verbatim
211;RPM-2009-04-09:2490:2;fecha de anotación ausente, inválida o futura
212;RPM-2009-01-08:2295:1;fecha de anotación ausente, inválida o futura
213;RPM-2011-08-18:4233:2;fecha de anotación ausente, inválida o futura
214;RPM-2009-02-12:2333:1;fecha de anotación ausente, inválida o futura
215;RPM-2005-12-13:523:1;frase no verbatim
215;RPM-2005-12-13:523:1;fecha de anotación ausente, inválida o futura
216;RPM-2008-07-10:1930:1;frase no verbatim
216;RPM-2008-07-10:1930:1;fecha de anotación ausente, inválida o futura
217;RPM-2008-11-13:2166:2;fecha de anotación ausente, inválida o futura
218;RPM-2006-09-07:834:1;frase no verbatim
218;RPM-2006-09-07:834:1;fecha de anotación ausente, inválida o futura
219;RPM-2007-12-13:1591:3;frase no verbatim
219;RPM-2007-12-13:1591:3;fecha de anotación ausente, inválida o futura
220;RPM-2010-05-13:3102:1;fecha de anotación ausente, inválida o futura
221;RPM-2009-10-13:2717:1;fecha de anotación ausente, inválida o futura
222;RPM-2007-12-13:1587:4;fecha de anotación ausente, inválida o futura
223;RPM-2014-04-17:6135:5;fecha de anotación ausente, inválida o futura
224;RPM-2008-06-10:1891:1;frase no verbatim
224;RPM-2008-06-10:1891:1;fecha de anotación ausente, inválida o futura
225;RPM-2007-07-12:1351:1;fecha de anotación ausente, inválida o futura
226;RPM-2015-04-16:6714:1;fecha de anotación ausente, inválida o futura
227;RPM-2013-09-12:5812:2;fecha de anotación ausente, inválida o futura
228;RPM-2014-04-17:6129:1;fecha de anotación ausente, inválida o futura
229;RPM-2010-03-18:3018:1;frase no verbatim
229;RPM-2010-03-18:3018:1;fecha de anotación ausente, inválida o futura
230;RPM-2009-09-08:2705:3;fecha de anotación ausente, inválida o futura
231;RPM-2015-09-15:6982:1;fecha de anotación ausente, inválida o futura
232;RPM-2010-07-15:3263:1;frase no verbatim
232;RPM-2010-07-15:3263:1;fecha de anotación ausente, inválida o futura
233;RPM-2014-01-16:6000:1;frase no verbatim
233;RPM-2014-01-16:6000:1;fecha de anotación ausente, inválida o futura
234;RPM-2013-04-11:5500:1;fecha de anotación ausente, inválida o futura
235;RPM-2014-10-16:6476:1;fecha de anotación ausente, inválida o futura
236;RPM-2010-11-16:3577:1;fecha de anotación ausente, inválida o futura
237;RPM-2012-04-17:4736:2;fecha de anotación ausente, inválida o futura
238;RPM-2015-06-11:6849:1;fecha de anotación ausente, inválida o futura
239;RPM-2008-01-10:1633:4;fecha de anotación ausente, inválida o futura
240;RPM-2008-10-09:2112:2;frase no verbatim
240;RPM-2008-10-09:2112:2;fecha de anotación ausente, inválida o futura
241;RPM-2014-04-17:6137:1;fecha de anotación ausente, inválida o futura
242;RPM-2008-09-04:2061:1;fecha de anotación ausente, inválida o futura
243;RPM-2008-01-10:1642:1;fecha de anotación ausente, inválida o futura
244;RPM-2011-04-12:3968:2;frase no verbatim
244;RPM-2011-04-12:3968:2;fecha de anotación ausente, inválida o futura
245;RPM-2012-11-13:5214:1;frase no verbatim
245;RPM-2012-11-13:5214:1;fecha de anotación ausente, inválida o futura
246;RPM-2014-08-14:6351:1;fecha de anotación ausente, inválida o futura
247;RPM-2010-06-15:3206:1;fecha de anotación ausente, inválida o futura
248;RPM-2009-09-08:2708:1;fecha de anotación ausente, inválida o futura
249;RPM-2013-08-13:5707:1;fecha de anotación ausente, inválida o futura
250;RPM-2010-01-14:2858:1;fecha de anotación ausente, inválida o futura
251;RPM-2011-01-13:3705:1;frase no verbatim
251;RPM-2011-01-13:3705:1;fecha de anotación ausente, inválida o futura
252;RPM-2009-01-08:2296:1;frase no verbatim
252;RPM-2009-01-08:2296:1;fecha de anotación ausente, inválida o futura
253;RPM-2011-01-13:3685:1;frase no verbatim
253;RPM-2011-01-13:3685:1;fecha de anotación ausente, inválida o futura
254;RPM-2011-07-14:4214:1;fecha de anotación ausente, inválida o futura
255;RPM-2013-05-16:5566:1;fecha de anotación ausente, inválida o futura
256;RPM-2012-01-12:4518:1;fecha de anotación ausente, inválida o futura
257;RPM-2006-11-16:951:1;fecha de anotación ausente, inválida o futura
258;RPM-2014-01-16:5965:1;frase no verbatim
258;RPM-2014-01-16:5965:1;fecha de anotación ausente, inválida o futura
259;RPM-2011-04-12:3902:1;fecha de anotación ausente, inválida o futura
260;RPM-2006-05-11:661:2;fecha de anotación ausente, inválida o futura
261;RPM-2006-01-12:570:1;frase no verbatim
261;RPM-2006-01-12:570:1;fecha de anotación ausente, inválida o futura
262;RPM-2008-03-13:1738:1;fecha de anotación ausente, inválida o futura
263;RPM-2014-03-13:6067:1;fecha de anotación ausente, inválida o futura
264;RPM-2009-08-13:2682:1;frase no verbatim
264;RPM-2009-08-13:2682:1;fecha de anotación ausente, inválida o futura
265;RPM-2009-05-07:2544:1;fecha de anotación ausente, inválida o futura
266;RPM-2005-09-08:399:1;fecha de anotación ausente, inválida o futura
267;RPM-2012-08-16:5001:1;frase no verbatim
267;RPM-2012-08-16:5001:1;fecha de anotación ausente, inválida o futura
268;RPM-2010-08-12:3335:1;fecha de anotación ausente, inválida o futura
269;RPM-2008-04-10:1767:1;fecha de anotación ausente, inválida o futura
270;RPM-2010-04-15:3057:1;frase no verbatim
270;RPM-2010-04-15:3057:1;fecha de anotación ausente, inválida o futura
271;RPM-2012-10-18:5146:1;fecha de anotación ausente, inválida o futura
272;RPM-2008-03-13:1694:2;fecha de anotación ausente, inválida o futura
273;RPM-2007-01-11:1050:2;fecha de anotación ausente, inválida o futura
274;RPM-2015-01-15:6581:1;fecha de anotación ausente, inválida o futura
275;RPM-2011-01-13:3709:1;frase no verbatim
275;RPM-2011-01-13:3709:1;fecha de anotación ausente, inválida o futura
276;RPM-2015-01-15:6582:1;fecha de anotación ausente, inválida o futura
277;RPM-2009-01-08:2258:2;fecha de anotación ausente, inválida o futura
278;RPM-2009-06-16:2575:1;frase no verbatim
278;RPM-2009-06-16:2575:1;fecha de anotación ausente, inválida o futura
279;RPM-2007-10-11:1515:1;fecha de anotación ausente, inválida o futura
280;RPM-2015-01-15:6558:1;fecha de anotación ausente, inválida o futura
281;RPM-2015-12-17:7200:1;fecha de anotación ausente, inválida o futura
282;RPM-2006-08-10:814:1;fecha de anotación ausente, inválida o futura
283;RPM-2015-07-14:6906:1;frase no verbatim
283;RPM-2015-07-14:6906:1;fecha de anotación ausente, inválida o futura
284;RPM-2009-01-08:2281:1;fecha de anotación ausente, inválida o futura
285;RPM-2011-03-17:3889:1;fecha de anotación ausente, inválida o futura
286;RPM-2015-03-19:6678:1;fecha de anotación ausente, inválida o futura
287;RPM-2009-04-09:2455:2;fecha de anotación ausente, inválida o futura
288;RPM-2008-11-13:2151:1;fecha de anotación ausente, inválida o futura
289;RPM-2007-04-12:1200:1;fecha de anotación ausente, inválida o futura
290;RPM-2012-06-14:4898:1;fecha de anotación ausente, inválida o futura
291;RPM-2007-01-11:1033:1;fecha de anotación ausente, inválida o futura
292;RPM-2011-07-14:4205:1;frase no verbatim
292;RPM-2011-07-14:4205:1;fecha de anotación ausente, inválida o futura
293;RPM-2006-12-14:994:1;fecha de anotación ausente, inválida o futura
294;RPM-2014-04-17:6162:1;fecha de anotación ausente, inválida o futura
295;RPM-2006-04-13:653:2;fecha de anotación ausente, inválida o futura
296;RPM-2013-07-11:5694:1;frase no verbatim
296;RPM-2013-07-11:5694:1;fecha de anotación ausente, inválida o futura
297;RPM-2012-01-12:4547:1;fecha de anotación ausente, inválida o futura
298;RPM-2009-07-09:2650:1;fecha de anotación ausente, inválida o futura
299;RPM-2007-07-12:1321:1;fecha de anotación ausente, inválida o futura
300;RPM-2010-09-16:3388:1;fecha de anotación ausente, inválida o futura
301;RPM-2015-05-14:6780:2;fecha de anotación ausente, inválida o futura
302;RPM-2011-06-14:4072:1;fecha de anotación ausente, inválida o futura
303;RPM-2007-02-08:1096:1;fecha de anotación ausente, inválida o futura
304;RPM-2012-10-18:5122:1;fecha de anotación ausente, inválida o futura
305;RPM-2007-11-13:1556:3;fecha de anotación ausente, inválida o futura
306;RPM-2012-05-17:4814:1;fecha de anotación ausente, inválida o futura
