orden,intervencion_id,fecha_reunion,actor,cargo,texto,etiqueta_v3,es_relevante_v3,confianza,cita_literal,fundamento,estado
119,RPM-2014-09-11:6432:1,2014-09-11,Joaquín Vial Ruiz-Tagle,Consejero,"El Consejero señor Joaquín Vial inicia su intervención agradeciendo el apoyo del staff para esta Reunión, que ha aportado antecedentes valiosos para el análisis; e indica que atendido que solo una semana atrás se dio a conocer el IPoM del mes de septiembre y que los antecedentes recogidos con posterioridad no alteran en nada sustantivo el escenario base, hará solo unos alcances limitados a las principales novedades de los últimos días. En lo que concierne al panorama internacional, llama la atención sobre la debilidad de la demanda por materias primas industriales -hierro, petróleo-, que unida a aumentos de producción significativos se ha traducido en bajas de precios relevantes. En la medida que ello pudiera transferirse hacia el precio del cobre, sería un tema a seguir con atención, en especial, por su potencial impacto en el mercado cambiario. En el plano local, señala que lo más importante ha sido la sorpresa en materia de inflación y la aceleración de los salarios nominales, lo que obliga a ser extremadamente cautelosos para evitar que se traslade hacia mayores expectativas de inflación, especialmente en un entorno de gran sensibilidad del tipo de cambio a noticias negativas. En estas circunstancias y habida cuenta que hace solo unos días se dio una señal clara de que se necesitaba un impulso monetario adicional acotado, estima que la única opción relevante para esta Reunión es bajar la TPM a 3,25%, ya que un recorte de 50 puntos base provocaría gran confusión y podría ser contraproducente. Agrega que también es necesario ir ajustando el mensaje en el Comunicado, indicando claramente que en la medida que el escenario base del IPoM siga vigente, se estará muy cerca de alcanzar el nivel de estímulo monetario requerido, sin poner en peligro la meta de inflación.",,,,,,pendiente
120,RPM-2013-02-14:5389:1,2013-02-14,Joaquín Vial Ruiz-Tagle,Consejero,"El Consejero señor Joaquín Vial inicia su intervención agradeciendo el excelente análisis del equipo de la Gerencia de División Estudios y, especialmente, la recomendación sobre la tasa de política monetaria entregada para esta Reunión. Expresa que del análisis antedicho se desprende que en el plano internacional se aprecia la consolidación de una mayor tranquilidad en los mercados financieros y, con ello, un creciente apetito por riesgo, y que esto además está reflejando en indicadores de confianza algo mejores que en los meses anteriores. Señala que en Estados Unidos de América se han postergado los hitos que podrían haber desatado una crisis fiscal a corto plazo, lo que permite presumir que en caso de no lograrse acuerdos sobre temas de fondo, las autoridades políticas de ese país optarán por postergar ajustes, al menos mientras la recuperación económica siga siendo frágil. Por otra parte, también se confirma una reactivación en China. Sin embargo, indica que los datos de actividad económica más recientes de países desarrollados, especialmente de Europa y Japón, han sorprendido en forma negativa, al dejar en evidencia que la recesión por la que están atravesando esas economías es más profunda que lo que se pensaba. Además, alude al deterioro en el clima político en Europa, que introduce un elemento de incertidumbre respecto de los ajustes y reformas que quedan por hacer. En su opinión, constituye una razón más por la cual no se pueden descartar nuevos episodios de mayor aversión al riesgo en los próximos meses asociados a eventos en Europa. Hace presente que también se observa con preocupación la creciente tensión entre países desarrollados derivada de políticas de estímulo basadas en expansiones monetarias. En este sentido, señala que el debilitamiento deliberado de algunas monedas podría llevar a que las tensiones aumenten y se trasladen a otras esferas, incluida la comercial, poniendo en peligro la incipiente recuperación económica. Con todo, estima que el balance general de la situación internacional es más bien positivo, pero que la aparición de nuevos factores de riesgo debe ser monitoreada con atención. Con respecto al plano local, el Consejero señor Joaquín Vial consigna que se consolida un crecimiento de la demanda interna por encima del referido al PIB potencial, agregando ahora un mayor riesgo de aceleración impulsada por las mejoras en el mercado de trabajo, mayor confianza de los consumidores, condiciones de financiamiento favorables, todo ello en medio de un fuerte dinamismo de la inversión privada, especialmente en minería y energía. Destaca que las inflaciones efectiva y esperada se mantienen sólidamente situadas en el rango de nuestra meta en el horizonte de proyección relevante, si bien en el corto plazo se ubican transitoriamente bajo el piso de dicho rango. Estima que la mayor amenaza en este frente, además de la fortaleza de la demanda interna, es la evolución de los salarios, que crecen a tasas que están por sobre la tendencia a mediano plazo de la productividad media de la mano de obra. Un atenuante, sin embargo, es que la reasignación de recursos humanos hacia sectores de mayor productividad podría justificar una desviación transitoria de los salarios respecto de dicha tendencia. En consecuencia y atendido que no hay cambios sustantivos en la situación económica ni en el balance de riesgos sobre la inflación, el Consejero señor Joaquín Vial concuerda con la recomendación del staff, razón por la cual vota por mantener la TPM en 5% anual.",,,,,,pendiente
121,RPM-2006-12-14:992:1,2006-12-14,Sergio Lehmann Beresi,Gerente de Análisis Internacional,"El Gerente de Análisis Internacional señor Sergio Lehmann menciona que lo más interesante para entender el comportamiento que ha tenido recientemente el precio del petróleo, se refiere a la relación de inventarios de demanda. Agrega, que a lo largo del año, el heating oil que es el combustible más relevante para entender el precio del petróleo, en esta época del año, la relación inventario-demanda muestra una caída y se muestra por debajo de los niveles que se observaban el 2005, situación que explica, en alguna medida el salto que tiene el precio del petróleo. Señala el señor Lehmann, que esto no es una noticia demasiado importante y que está relativamente internalizada la trayectoria del precio petróleo que se tenía proyectada. Respecto a tasas de política, ha habido cambios en el margen, en algunos casos algo más significativos. En términos de trayectoria, particularmente en Estados Unidos de América, se observaba una tasa de política monetaria a diciembre de 2006, algo por debajo de lo que se percibía hace un mes atrás. Menciona que en la actualidad, gran parte de esto ya se ha revertido, por lo tanto, se está muy en línea con lo observado hace un mes atrás. Por otro lado, el señor Lehmann se refiere también a los premios por riesgo en economías emergentes, que después de mostrar un alza hasta principios de diciembre han vuelto a los niveles que mostraban a mediados de noviembre, cuando se realizó la reunión de política monetaria. Señala asimismo, que la excepción es Chile, que tiene un aumento de 10 puntos base, aproximadamente, pero que se asocia exclusivamente a la incorporación dentro del cálculo del MB de un bono de Codelco, emitido durante diciembre, que tuvo un spread de 120 puntos base y eso, justamente, explicó la variación que tiene el MB Chile. Comenta el señor Lehmann, que si se excluyen los bonos de Codelco, el spread chileno también se mantiene estable y, de hecho si se excluyen los dos bonos que han hecho estas importantes variaciones, el spread de Chile está en 70 puntos base, aproximadamente. Agrega que actualmente los bonos de Codelco representan casi el 60% del MB Chile, por tanto, la observación a realizar al respecto debe ser algo más fina. Indica que en términos de Bolsas, se destaca especialmente una clara trayectoria al alza que han tenido en las economías emergentes, mientras que en los mercados desarrollados éstas han estado relativamente estables. Manifiesta el señor Lehmann, que este rendimiento positivo de las bolsas emergentes está asociado a que los flujos de cartera de los inversionistas internacionales han sido positivos.",,,,,,pendiente
122,RPM-2007-02-08:1092:2,2007-02-08,Esteban Jadresic Marinovic,Gerente de División Operaciones Financieras,"Agrega el señor Jadresic que ello fundamentalmente se debe al aumento que se ha observado en la inflación subyacente en lo más reciente. El señor Gerente de División Operaciones Financieras sugiere tener cautela y esperar a ver que ocurre con ella en los próximos meses. Sin embargo hace presente que hay un aspecto en que la evidencia disponible hasta ahora no es tan clara como lo que se sugiere en la minuta de opciones y cree que también será de particular importancia observar atentamente los próximos meses. Agrega el señor Jadresic que esto corresponde al diagnóstico relativamente seguro que se hace, lo que demuestra que el mercado laboral está estrecho. Menciona el señor Jadresic que hay, sin duda, algunos elementos que apoyan esa visión de estrechez, en particular la tasa de desempleo desestacionalizada del INE de 7% que es históricamente baja, comparable a lo que se vio en buena parte de los años 90. Asimismo, agrega el señor Jadresic que aunque por razones distintas, tanto la tasa de desempleo medida por el INE como por la Universidad de Chile muestran reducciones significativas. Sin embargo, también es importante tener presente que el nivel de la tasa de desempleo de la Universidad de Chile para el Gran Santiago se mantiene a niveles de 9,1%, bastante más altos que los niveles de 6% a 7% que se vieron en la mayor parte de los años 90. Agrega el señor Jadresic, que esto es relevante por cuanto en el caso de la tasa de desempleo medida por el INE, por mucho que los cálculos del empalme estén bien hechos, hay dudas sobre la comparación de sus cifras pre y post cambio de muestra. Asimismo, el Gerente de División Operaciones Financieras comenta que más allá de las incertidumbres respecto del nivel de holguras del mercado laboral en términos de cantidades ofrecidas y demandas de trabajo, claramente la situación de ese mercado no se ha reflejado hasta ahora en presiones salariales. El costo de la mano de obra y las remuneraciones a diciembre seguían creciendo por debajo de su nivel esperable en el largo plazo en torno a 6%, tanto en doce meses como en términos de velocidades de expansión, la que no ha experimentado mayores cambios. Finalmente el Gerente de División Operaciones Financieras, señor Esteban Jadresic recomienda mantener la tasa de política monetaria en esta oportunidad y propone estar atentos en los próximos meses a la inflación subyacente y los indicadores del mercado del trabajo, para ver en qué dirección se van resolviendo las aparentes contradicciones que se han estado observando ahora en dicho mercado. Por último, menciona que ello junto con los antecedentes de actividad, serán claves para orientar las decisiones que se tomen respecto de si materializar o no las reducciones adicionales supuestas en el ejercicio de proyección efectuado para el último IPoM.",,,,,,pendiente
123,RPM-2005-10-11:448:1,2005-10-11,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente señor Vittorio Corbo expresa, que como se desprende del análisis proyectado por la Gerencia de División Estudios, la economía mundial se mantiene robusta, los precios de los commodities vuelven a subir, aunque aumenta el riesgo de inflación en las economías industriales y, paralelo al riesgo, el crecimiento ha aumentado. En cuanto a la economía interna, las cifras recientes muestran que después de la inesperada desaceleración de julio la actividad económica ha retomado su dinamismo aunque a un ritmo algo menor a lo proyectado en el último IPoM. En cuanto a la inflación del IPC, el alto y sorpresivo registro de septiembre se explica principalmente por un shock de oferta asociado a los temporales, que afectó los precios de los bienes perecibles y, en menor medida, por el aumento en los precios de combustibles y tarifas reguladas. De otra parte, la inflación del IPCX1 estuvo de acuerdo a lo proyectado. Señala también el señor Presidente, que los aumentos en los precios de los combustibles afectan no sólo los precios del transporte y combustibles para los hogares y por esta vía, la evolución del IPC y del gasto en consumo, sino que también aumentan los costos en producción y en el transporte de bienes de las empresas. El efecto acumulado de este shock sería algo más de inflación y un poco menos de crecimiento para los próximos trimestres que lo que resultaría sin este shock. Con expectativas de inflación bien ancladas en torno al centro del rango meta, este aumento en la inflación debiera ser sólo transitorio. Sin embargo, agrega que para una economía en que el producto aumenta por encima de su crecimiento de tendencia, existe el riesgo de que los incrementos recientes en los precios de los combustibles, tengan efectos de segunda vuelta al menos temporalmente en las medidas de inflación subyacente, y agreguen así un empuje adicional a estas medidas por encima de lo proyectado. La moderada apreciación reciente del peso, modera algo estos posibles efectos en segunda vuelta. No obstante, la aceleración reciente en la inflación puede terminar también elevando las expectativas de inflación a valores significativamente por encima de la meta y, por esta vía, darle un impulso adicional y más duradero a la inflación. Así, para evitar que como resultado de las presiones cíclicas de precios que surgen del estrechamiento de brechas y de los aumentos en los precios de los combustibles y de bienes perecibles, la inflación termine alejándose de su meta en forma más sostenida, es necesario continuar con la normalización de la Política Monetaria. Por lo anterior, su voto es por un nuevo aumento de 25 puntos base en la tasa de Política Monetaria.",,,,,,pendiente
124,RPM-2014-12-11:6534:3,2014-12-11,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara deja constancia que la Reunión de Política Monetaria de junio de 2015 se efectuará el día jueves 11 de ese mes y, a continuación, concede la palabra al Gerente de División Estudios señor Alberto Naudon a fin de que presente al Consejo las Opciones de Política Monetaria que se han considerado en esta oportunidad.",,,,,,pendiente
125,RPM-2007-08-09:1397:1,2007-08-09,Manuel Marfán Lewis,Consejero,"El Consejero señor Manuel Marfán señala que, como es habitual, agradece el análisis del staff. Menciona el citado Consejero que el principal cambio en el escenario externo está en lo financiero. La debilidad del mercado de hipotecas subprime en los Estados Unidos de América se ha contagiado a los otros mercados, implicando un aumento en las primas de riesgo para los emisores de mayor riesgo relativo, incluyendo las primas de riesgo soberano de las economías emergentes, en general, y de Chile en particular. También señala que se está viviendo el tercer episodio de volatilidad en las bolsas emergentes desde comienzos del año pasado, aunque aún no se sabe adonde convergerá la situación actual, la hipótesis más razonable parece ser que habrá una corrección al alza en los márgenes de riesgo, los que se encontraban en niveles anormalmente bajos. Indica que esta corrección ha estado presente en los escenarios de riesgo del Banco Central de Chile hasta el último IPoM. Esta mayor sensación de riesgo financiero coincide, curiosamente, con un fortalecimiento en el margen de las perspectivas de crecimiento mundial. En otro plano, indica el Consejero señor Marfán que los precios internacionales del petróleo y del cobre continúan corrigiéndose al alza, alejándose aún más de lo contemplado en nuestro escenario base. Agrega que el precio de la gasolina, cuyo margen de refinación estaba anormalmente desalineado, se corrigió a la baja de manera importante desde la Reunión de-Política Monetaria anterior. Señala que en relación a los precios internacionales de los alimentos, éstos no mostraron nuevas sorpresas en el último mes. En el plano interno, comenta el señor Consejero, lo más relevante es la nueva sorpresa inflacionaria de julio y el fortalecimiento casi generalizado del crecimiento económico por sobre lo contemplado en el escenario base. La sorpresa inflacionaria se volvió a concentrar en alimentos, con la excepción del mayor precio del pan, el que podría responder a presiones de costos vinculadas a mayores precios internacionales. Los demás alimentos que elevaron su precio interno parecen responder más bien a shocks de oferta idiosincrásicos de Chile. Indica que no está claro, en este último caso, cuán persistentes serán esos mayores precios. Como respuesta a estos shocks se han elevado las expectativas de la inflación de corto plazo y en menor magnitud las de mediano plazo. De manera concomitante han reaccionado las tasas de interés y las expectativas de ajuste en la política monetaria. Al igual que en la Reunión de Política Monetaria anterior, el Consejero señor Marfán cree importante abandonar el escenario base del IPoM de mayo, ya que las desviaciones de inflación y de actividad son demasiado significativas como para que continúe siendo una referencia en nuestra decisión de política monetaria. Manifiesta el señor Consejero que mientras no se cuente con un nuevo escenario base confiable, lo que ocurrirá en nuestra próxima reunión, son los elementos de juicio, puro y simple, los que deberían guiar nuestra acción. Al respecto, señala el Consejero señor Marfán que en esta oportunidad hay dos fundamentos que apuntan en la dirección de un aumento en la Tasa de Política Monetaria. En primer lugar, el mayor dinamismo y el menor desempleo observados plantean un cierre de brechas más rápido al previsto y donde la hipótesis más probable es que ese cierre de brechas pudiera ya haberse completado. Con todo, señala el Consejero señor Marfán que no hay elementos adicionales que respalden un cierre de brechas; no hay evidencias de que la mayor inflación observada corresponda a presiones de demanda; los costos laborales unitarios se mantienen contenidos; no hay desalineamiento cambiario ni una aceleración del volumen de importaciones, es decir, no se ha evidenciado hasta ahora ninguna de las consecuencias que habitualmente se asocian a un cierre de brechas. Indica el señor Consejero que lo prudente es que en este contexto, la política monetaria retome una instancia neutral más temprano que tarde. Señala que se trataría, por lo tanto, de un aumento de la Tasa de Política Monetaria de tipo preventivo más que correctivo. La segunda razón para elevar la Tasa de Política Monetaria hoy, tiene que ver con las perspectivas de la inflación futura. En efecto, indica que las proyecciones de corto plazo apuntan a una aceleración de la velocidad de la inflación en los próximos meses. Manifiesta el Consejero señor Marfán que no mencionó la inflación en doce meses, sino que la velocidad del IPC futuro. Indica que la inflación en doce meses mostrará, durante varios trimestres un nivel más alto, por el mayor IPC ya registrado, y esa por sí sola no constituye una razón para cambiar la instancia de la política monetaria. Señala que una función de reacción que considere la inflación de doce meses para el futuro cercano puede aconsejar cambios muy imprudentes. Le parece al Consejero señor Marfán que lo que interesa, para efectos prácticos, es la velocidad de cambio en los precios, la que se percibe mayor en el corto plazo. Adicionalmente, indica que la compensación inflacionaria uno en uno también se ha elevado en el margen. Las expectativas de inflación de largo plazo, finalmente, siguen bien ancladas en torno al 3% anual, lo que significa que las expectativas apuntan a que se convergerá a la inflación meta desde arriba y no desde abajo como contemplaba nuestro escenario base anterior. Por esa sola razón, señala que también se justifica una Tasa de Política Monetaria mayor, por el conocido argumento como el principio de Taylor. Reitera que se trata en este caso, de un aumento correctivo más que preventivo. Una calificación importante de consignar a este argumento, es que está construido sobre la base de las expectativas de mercado y no por nuestras propias proyecciones, lo que sería correcto, pero en la ausencia de un escenario base confiable, es lo mejor a lo que se puede apelar. Manifiesta el Consejero señor Marfán que con dos razones por las cuales aumentar la Tasa de Política Monetaria, cabe preguntarse de qué magnitud debe ser ese aumento. Desde esa perspectiva, coincide con la recomendación de la Gerencia de División Estudios en que las opciones a estudiar son 25 y 50 puntos base. Indica que el mercado espera, de manera casi unánime, un aumento de 25 puntos en la Tasa de Política Monetaria para esta reunión. A pesar de la mayor inflación esperada para el corto y mediano plazo, no hay evidencia de un desanclaje de expectativas más allá del horizonte de política. Al igual que hace un mes, cree que tomar una decisión distinta a la que espera el mercado, mientras no se tenga un escenario base confiable, podría ser interpretada como que el Banco Central de Chile cuenta con información adicional, lo que no es efectivo. Por lo mismo, señala que una decisión distinta solo agregarla una sorpresa extra, que no podría interpretarse correctamente sino hasta que se haga pública la Minuta. Por esas razones, el Consejero señor Manuel Marfán manifiesta que su voto es por elevar la tasa de política en 25 puntos base.",,,,,,pendiente
126,RPM-2013-02-14:5356:1,2013-02-14,Sebastián Claro Edwards,Consejero,"El Consejero señor Sebastián Claro manifiesta que los datos expuestos son coherentes con la disminución de la probabilidad de ocurrencia de una crisis mayor en el corto plazo. Sin perjuicio de ello, señala que si bien los mercados financieros avalan dicha afirmación, los datos reales apuntan a una Europa con su economía estancada, lo que puede conducir a un recrudecimiento de la deuda. Sostiene que dicho contexto genera algunas dudas relevantes. En primer término, plantea que aún se desconocen las razones que explican el dinamismo de la economía chilena en el contexto económico mundial. En su opinión, la combinación de precios de commodities elevados y alto riesgo financiero externo se ha traducido en que la economía chilena sea particularmente atractiva en términos de costos de financiamiento, surgiendo por tanto la interrogante sobre los efectos que podría tener la normalización de la economía mundial y de la política monetaria externa sobre la economía local. En segundo término, solicita al Gerente de División Estudios señor Luis Óscar Herrera su opinión acerca de la forma en que se puede compatibilizar la trayectoria de la economía chilena y el resto del mundo, como asimismo en lo relativo a la inflación. En su opinión, mientras la economía local se mantenga estable y la situación de Europa no se complejice aún más, queda abierta la pregunta acerca de la oportunidad en que se normalizaría la política monetaria, por lo que considera relevante dilucidar esta interrogante, ya que la situación podría complicarse si la economía comienza a normalizarse, la inflación no responde mayormente y las tasas de interés permanecen en niveles bajos durante algunos años.",,,,,,pendiente
127,RPM-2012-07-12:4973:1,2012-07-12,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara subraya que la inflación sigue sorprendiendo a la baja. Sobre este aspecto, precisa que al mes de junio, la variación en doce meses del IPC era de 2,7%, bastante inferior a lo esperado hace unos pocos meses producto de las bajas en los precios de combustibles y alimentos, y que las distintas medidas de inflación subyacente, en tanto, están en torno a 2,5%. Hace presente además que las expectativas de mercado medidas en las encuestas y los precios de mercado están para fines de este año más cerca del borde inferior del rango de tolerancia, y que a mediano plazo están alineadas con la meta del Banco Central de Chile. Por todo lo anterior, estima que la opción que presenta la Gerencia de División Estudios es la correcta. A su juicio, subir la tasa rectora es descartable en las actuales circunstancias, tanto por la baja inflación y sus proyecciones acotadas como por el escenario externo que sigue presentando riesgos importantes para la economía nacional; y bajarla no parece lo prudente, al menos por ahora, mientras no haya evidencia más concreta de una desaceleración algo mayor en la actividad y la demanda interna. Considera que lo natural sería que el escenario externo tuviera un efecto más significativo en la economía chilena en la segunda parte del año, tal como lo está teniendo en varios países de la región. Sin embargo, enfatiza en la importancia de reconocer que, por ahora, dichos efectos son acotados. En conclusión, el Presidente señor Rodrigo Vergara manifiesta que su voto es por mantener la Tasa de Política Monetaria en 5% anual. En cuanto al Comunicado, sugiere no innovar en materia de sesgo, es decir, mantener la neutralidad, y estima importante también hacer referencia a las bajas inflaciones y sus causas.",,,,,,pendiente
128,RPM-2011-07-14:4140:1,2011-07-14,Sergio Lehmann Beresi,Gerente de Análisis Internacional,"El señor Sergio Lehmann retoma su presentación, refiriéndose a las proyecciones de inflación. Señala que estas tienden a mantenerse durante el año en curso, con una ligera caída en América Latina y sin grandes cambios en el caso de Asia y Europa, pero que hacia el año 2012 se observan ligeras reversiones, particularmente en América Latina y Europa del Este, y estabilidad en Asia emergente y en las economías desarrolladas. Respecto de las tasas de política monetaria (TPM), indica que el Banco Central Europeo elevó su tasa rectora en 25 puntos base, de acuerdo con lo anticipado; que algunas economías han comenzado a introducir algunas pausas, como es el caso de Perú, México, Australia, Noruega; y que otras economías emergentes han continuado con sus procesos de normalización, como India, Tailandia y Colombia, y particularmente China, que está observando mayor presión inflacionaria. En cuanto a eventuales movimientos futuros, hace presente que se espera una moderación en las alzas en las economías desarrolladas durante lo que queda del año y ligeros aumentos hacia el año 2012, contrastando con lo registrado en la RPM anterior. Agrega que una situación similar se observa en el Reino Unido y en Estados Unidos, mientras que Japón aparece sin variación alguna.",,,,,,pendiente
129,RPM-2014-02-18:6045:1,2014-02-18,Claudio Raddatz Kiefer,Gerente de Investigación Económica,"El señor Claudio Raddatz señala que la Minuta de Opciones plantea claramente las dos alternativas posibles en esta coyuntura, acompañadas de sus antecedentes; y que sí bien en esta ocasión, a diferencia de las anteriores, en dicho documento no se efectúa una recomendación específica, en su opinión, los antecedentes presentados en ella favorecen claramente la opción de bajar la tasa en 25 puntos base. En efecto, atendidas especialmente la desaceleración de la inversión y de la actividad resto, la evolución acotada de la inflación, y la estimación presentada en la misma Minuta de un nivel de pass through acotado del tipo de cambio sin inflación, sugieren actuar preventivamente con un impulso monetario adicional, tal como además se sugirió en la Reunión de Política Monetaria anterior. Agrega que en esta ocasión, ello es consistente además con las expectativas del mercado, razón por la que esta alternativa le parece claramente preferible a la de mantener la tasa rectora.",,,,,,pendiente
