intervencion_id,coleccion,lote,archivo_origen,etiqueta_origen,es_relevante_origen,etiqueta_previa_v3,es_relevante_previa_v3,estado_revision_v3,etiqueta_v3,es_relevante_v3,confianza_revision_v3,sha256_texto,n_caracteres_texto
RPM-2008-05-08:1828:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,b354f14cfe3487564a532890065180563e1b606041502094c46552b114e13a4a,284
RPM-2008-06-10:1869:7,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,e46e50068d68400d68ce179b5011c6522b3d14e46e96911241448b1e7cb7e392,381
RPM-2008-06-10:1873:4,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,76bf6d606d9281c6af9b6de8c6f60728a5ef49fc551d82fddec9b11175786d45,517
RPM-2008-06-10:1889:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,a56868f7986d5ac9b92535c50017c9fd2db223ca75a9538fba9b5ba5368ccafa,158
RPM-2008-07-10:1916:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,3dfe70dceca00ec83ea8bbc0f4e11cff99e4ed29ad1dfe0a45c0f0873106d49f,6443
RPM-2008-07-10:1917:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,f972dd635239abe694a46de97d5239d40849ba03a8418e67fae91d0cb23533f9,369
RPM-2008-07-10:1948:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,2146eadf37af53ce6008a7717c57a3c1f96e154e78e34aafb93ecbd62e364958,1077
RPM-2008-08-14:1980:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,1f0f7d45732bfe22a682c3e730d7558ed560e12880ce7f3073060b0178f32d3d,158
RPM-2008-08-14:1994:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,d4fcfcc3595355866ef99f488af78ac7853250398b760e00b403aa08c50e971d,104
RPM-2008-08-14:2016:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,198bd4d4f0305629577c26f69c8f03d9e3addec41b217ad3d8b669c6f363d666,208
RPM-2008-09-04:2050:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,5e6118d6f5ae25ec7579d4526f8b360058eebebccf931648f93d8e1a2f4460ad,340
RPM-2008-09-04:2067:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,cb8380ebb89cdfe6d357f2d1cd95591bc7e845348e50141649e468afe3ae2e9f,294
RPM-2008-09-04:2086:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,hawkish,1,hawkish,1,revisado,hawkish,1,alta,2237f4982a84605d89230076f2c378f9eee9d050ad70c6f0ec018ed0b316de00,9550
RPM-2008-09-04:2095:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,hawkish,1,hawkish,1,revisado,hawkish,1,alta,b131b9cd1786c0bd98786ce28bd361be105a7feb035e58521da63608b2f489cd,4895
RPM-2008-11-13:2144:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,26ccf15152cd1a360aca02bd0550dfcd81c0416e32cc732ce491bb667679ae6b,235
RPM-2008-11-13:2146:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,f0cd8bd7b6339ccee856f67acb4306ccba34c9659e6c42767494fcefa76a00f4,178
RPM-2008-11-13:2155:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,5be3be13f4083d52340ac2a29050c23e9af068019abc6e712d98a039f2a39a41,412
RPM-2008-11-13:2171:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,dovish,1,dovish,1,revisado,neutral,1,alta,d9d36c559272e194a495785cd1608b88b643b926db3df054d421d91d8b2267aa,4843
RPM-2008-12-11:2177:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,2f805f62b9d39697e616cbe2ffc9f422edcb818534586a47be99690859db7976,213
RPM-2008-12-11:2221:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,6b724a1cd41d5a9587e19d6c4cbae7ed07d3071881661e24b84fa70104d410ad,133
RPM-2008-12-11:2229:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,749b6be342eab472cc8f9d0127418fcb69d6a0eaab372273fde0a16a924c7de3,457
RPM-2008-12-11:2232:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,f22eac5ccccd0e6661775c7a0504c0ce32f472a30587e00d21eaa944188197f6,264
RPM-2009-01-08:2271:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,6da95de89c62328b26cc739b8e597b66b47e7cd18674ee3346c48fb1e3ace5ea,698
RPM-2009-01-08:2280:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,9ee2d9de0cddf10d86f30ad2adecdc530363363c2f6d8a3be67da86767195545,690
RPM-2009-02-12:2339:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,8f01810e81a544edb05aadb10a2227f779009ca98fa1b6a18b41d32b167b312d,148
RPM-2009-02-12:2340:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,1b52fe5271be80d479982675ce9c02bcfa71607ae5df1843a255aff74bc14eee,381
RPM-2009-02-12:2380:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,dovish,1,dovish,1,revisado,dovish,1,alta,04f9e33988d6610af8df963ee222d187ed6e1f87ffba8044b31ef0a97d35389c,162
RPM-2009-03-12:2396:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,854ce9e20d0bb76479b64c45d8fcdb272674224bfcb8a82c8c1eda44af04d2fb,1933
RPM-2009-04-09:2443:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,894863bf06ba43ba8105b2408af85b17f9da0190f33802c06574b95d9b6b8781,107
RPM-2009-04-09:2478:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,d554f9479c249f57a6a6e83a2aac9725f54147d1b25eada5d5be0f53a90d24ef,301
RPM-2009-04-09:2485:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,media,530bc6322d5ac41df9cb6c436c15e45d5238265d9cbedf7f18c244bd2e83a0c5,1444
RPM-2009-04-09:2488:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,19a341f1e421e3ae26969a7c7b06592b63399594badacd98783e820afbdb40f7,1141
RPM-2009-04-09:2495:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,443872b5bbba42ddf78da53c8fa9511140a5d5dc798886ab69c2635957451665,157
RPM-2009-05-07:2529:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,ee57f07e70ee21016d33ff0c7a433ef4e94bc68f97593555870f99e6511a5fed,885
RPM-2009-05-07:2530:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,96896b8d1eb28663a89f4baf2890e9bf5229d25b72c45f7ef1d36b8bb7f816d6,148
RPM-2009-05-07:2532:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,bf61553b5a3b43db67c68c1636c208a2920a3f3107cba8c197ed39b4a45623f2,123
RPM-2009-05-07:2532:5,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,abdefefb8b2fa36b5f7abc0f284aad3ad870929735d5c170bc8bf0e2a2839159,737
RPM-2009-05-07:2534:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,4a7e85d28564ab440b816a0a2df6ecc12c5e9c467a45e08f47889fb54604b26a,122
RPM-2009-05-07:2538:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,d0bb77cc331f59564e7a200d45604cf5d6aea9161767417da9561ff89df37141,204
RPM-2009-05-07:2541:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,f8604fecaddb664faf1696444ea8c6c75e4337d53e806c96a41ccd329c70b928,115
RPM-2009-06-16:2555:4,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,bdac2c3a5b7e247da97685078652d7c5a8b9bede27b99cf9782b98c5047836cc,173
RPM-2009-06-16:2567:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,83f0964f707fbec6c69bc20ebe021551288f81e64e4f485ccef917a8a22a83f9,329
RPM-2009-06-16:2567:5,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,08235f3bbe0321fa37c6773c0fbbc3c8bc66a4cda0fe763ca67ece7bbb0a5f2e,232
RPM-2009-06-16:2591:5,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,d62d0f35aea8ed76febd91b50650498b89ebdc6f47d865cbc082a3101d3157b2,1020
RPM-2009-06-16:2596:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,4e4b6a7c22f16ed220d06f11d516393b0849a8b6eb082e3114205f7b06d568a3,136
RPM-2009-06-16:2603:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,b7549e27c534f2a02283fcc1ad2881803c8c84d7ae7d45ea7474c51753d88cde,83
RPM-2009-07-09:2637:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,4d90a3a7053506ad62f9afb524c4c0485872d0291ffb2fa0e4e534442c410bd1,596
RPM-2009-08-13:2656:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,fb4810b748e35a0080f690d5246029e3f240d4206b7a7e401fb977c2756fdac3,1566
RPM-2009-08-13:2660:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,5407c6f78b665aa8b044a51e97c44556ed0f04be302b7acd220a0ac8a679fde1,2750
RPM-2009-08-13:2665:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,9c21ceb5735d0e9056793155f6e053b891f6a02805a42b8959bc5f5de1a00352,279
RPM-2009-08-13:2668:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,e6c2a9c4bbed9a545338170bbf8a6c4ea44e9e0038f8233ccd1ab8ef3ed96798,390
RPM-2009-08-13:2674:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,019d2bfd16378bea5bf01a2e06c35fdd47ad7567f24d4cae9f9e057d85eebd9c,1507
RPM-2009-08-13:2679:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,164281f39f203800996bedc2171e3af71969e6738b0c74d96a42b7621db8d4e8,755
RPM-2009-08-13:2681:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,dovish,1,revisado,neutral,1,alta,9a328a3a0a0d6e026ceea57c5566651290eabbce11d0ce907a23c678c215c33e,11080
RPM-2009-09-08:2705:7,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,95e45b9126697b4a3c130b9470658ff9611bb8ba041d3be8a92e0c67313cb90a,199
RPM-2009-10-13:2715:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,cddc49a5deac614ded108f169e1f298b2989a52994dc063205eb82989a1643eb,158
RPM-2009-10-13:2718:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,c2a81102d43a5208fce39d6dc9044a1245d49fe93a142c14c876064442fe5853,261
RPM-2009-10-13:2726:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,23189444a6f396cef333efe1a2871db652906bf668a78c9ca319a53d69d64192,641
RPM-2009-10-13:2728:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,37c8e95b0372884374c0d3767562a7cfd2ff834cb0f15df99ae1acc23a59e913,126
RPM-2009-10-13:2729:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,3d49ac2056f15fb707b4bc08367ae9ab56b264d5555f97d52886d21c500d0c4f,391
RPM-2009-10-13:2734:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,823bd5fab171ca904e7cf27907d1e6ae256c6ca11f7558eadbdc2af072d406a5,271
RPM-2009-10-13:2758:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,dovish,1,dovish,1,revisado,dovish,1,alta,c0e423f046cd974d56a3ad27e8ae42d3cc11c29dfd7c579d0fbec41c665658a5,2179
RPM-2009-11-12:2778:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,ba392e170892300ac77a30ccae4bdca8c998611d7fba202d0b42671f9697b30d,1809
RPM-2009-11-12:2791:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,hawkish,1,alta,870ce7c5ae4e85ad8439e4ad44e1ecf375fdc3f63942821e06f71a1a7c30f97f,2819
RPM-2010-01-14:2857:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,7df184179bb71a9ae0765e81d1b71222d16b93aa7307c28f0c16c66d145dee53,1121
RPM-2010-01-14:2870:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,dovish,1,media,b70516c92971ed6d3a9914e3af71440553012ea7803346c28d5801833f457675,848
RPM-2010-01-14:2871:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,db3433ad76cad88eadf62a0f6a40ca406df4960a5473236612072455066963d7,700
RPM-2010-02-11:2915:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,378dacf769f5d75cd8060dbeab9ebf6ebeca0b1f585f191518a426e15e040426,475
RPM-2010-02-11:2931:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,28a35448286f364eeb13179aa661b015a8b09b407d1ae46a54ed3a8b031492e4,242
RPM-2010-02-11:2932:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,bfefc9678f3c7237af34ebc85d2dd6361f334e73c4e1744b13aa8b44c4c7fa9a,1555
RPM-2010-02-11:2943:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,74d5044bfcfb77b98ed3bc771fa5613385252dca080a43f15647c68c6d499716,231
RPM-2010-02-11:2958:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,f40f32ced5f6e2a9ddb80331e39dc841fdb39958ec9c4ec463f211a54cd5f523,224
RPM-2010-02-11:2962:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,243bfb80ef80b3df1c2efaaeee64f6991a0707be6a0f0086ae7c1ae4b674af20,120
RPM-2010-03-18:2982:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,f80b40ce5187b5e975987d2d02aadc6e8b176c7f01b9a9291115e5f2f5dadb0f,419
RPM-2010-03-18:2993:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,75f0a7ddce9e6cbd8de04d4c394d00c843811dd2f6708ed978ccc926d510766d,597
RPM-2010-04-15:3065:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,38d7190f50a870c3e8197806bd32034438063f3e1b99c063519cc905f9334272,315
RPM-2010-06-15:3134:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,2f59220aa977622e5182c327d5894ea36f922377f9b7f1fa1fd853e31a9ec4ae,1151
RPM-2010-06-15:3147:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,16d0d0e93a0a48885274c1088c6135c7f0a8ed1a6ea3171249996ed4aee86270,203
RPM-2010-06-15:3151:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,a50c9fb798a5a04ca8ca9d52758fa01690f84617bc274af4176f39f1ab7d4779,1288
RPM-2010-06-15:3188:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,81809e1d26a57779ea733802e94fc0b0cd16921f83529649a2555c448ecfac92,461
RPM-2010-06-15:3192:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,6dd6a22bd9b4c363da379cef4df6e100e81f3212120fa455dd50346cbdf88632,1317
RPM-2010-07-15:3214:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,52a1a28bb2434cefa9e479a0470059b39ef6dbb26ac648308f720e064858ade8,1040
RPM-2010-07-15:3230:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,9dc21d46eb9f557e6bdc2c3d596a1f3b4a71a57438c704f80c699b0adebcf526,123
RPM-2010-08-12:3286:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,d0f45a44d8d4b08f13874cea7d83c350ffb35ec23a9c2b6613148b463337b1b0,1547
RPM-2010-08-12:3302:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,2de5057fca3b019e69808290143ba69cc2a59549411177ff8dc24e4be6f477b1,95
RPM-2010-08-12:3303:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,2008d7835d059a1c021ad3b6aa647b18a8f96c53ed4d4b432c04caae8194742b,114
RPM-2010-08-12:3308:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,dab09c72752d76e5880275dbaadeb706885328f332a1d020a7eb3cfbc8c1e169,277
RPM-2010-08-12:3310:4,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,b1ddbc4af1443ce90a44de008f173b43abf5026140a63f121556c7938db6f422,759
RPM-2010-09-16:3346:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,9478ccac725588ac0bc3eface5817e5dddcd8ea8f49689673d49d32e333dd2f1,556
RPM-2010-09-16:3354:3,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,be3f9bb126e46a6702300dca55953ca2191cc2ae0921949063209497035c79f6,134
RPM-2010-09-16:3374:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,2f9a2c9e948e2010bafd6d80e9462876fc5b19cb937bd8127c3eef938e9e2de9,135
RPM-2010-09-16:3389:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,44103097c0539e2a0d246d103556f68582688efcb11493106106fdce0ab2cf94,228
