orden,intervencion_id,estrato_recuperacion_no_visible,meeting_id,anio,sha256_texto
59,RPM-2008-12-11:2176:2,candidato_dovish,RPM-2008-12-11,2008,e0f5bab33f5f9f0e50b68ed7b286a7238a856ed669a96e97a7a564134e1e3a46
60,RPM-2009-12-15:2806:1,candidato_dovish,RPM-2009-12-15,2009,5081f73214215a49709da083c7047a55bb15b66538ef536fa88a2c7186743ccd
61,RPM-2009-11-12:2796:1,candidato_dovish,RPM-2009-11-12,2009,a6baa7ac3b8892ae1a5842d3c9409221552b07e3862c56499a682fae0aecb1c3
62,RPM-2013-11-19:5889:1,candidato_dovish,RPM-2013-11-19,2013,f24b4688fea6e869484936790365cb976e7c8b5d53f0656e37ba80126406ad11
63,RPM-2010-10-14:3480:1,neutral_dificil,RPM-2010-10-14,2010,bca10085a5ea9620bb087c7ac34df5fc679704421706251eabab95d2735f3b01
64,RPM-2006-09-07:876:1,candidato_hawkish,RPM-2006-09-07,2006,7eebec945cda82598e1d7816473c00e6cc59388a5003ae4cd99863f9fd4796b8
65,RPM-2015-06-11:6830:1,neutral_dificil,RPM-2015-06-11,2015,54a6d2f372a61de1e81252f7fd04ce158059bfa222bfd608ac65e7f5e1c73ce7
66,RPM-2012-08-16:5025:1,neutral_dificil,RPM-2012-08-16,2012,567a7b2c79e567b853dd097aff911b283f3e7e7edb2a2a0171d884f5bac5374d
67,RPM-2012-04-17:4788:5,neutral_dificil,RPM-2012-04-17,2012,528596d944fecc02ac5851e56bdca98fea1627dd8e6aedd69a7d8ad6f59474bf
68,RPM-2009-03-12:2438:2,candidato_dovish,RPM-2009-03-12,2009,13dab0a6434cbf9f020bda7c6061ffd6e62c5ac766644e9bfefdf99a8bab28b7
69,RPM-2014-10-16:6484:3,candidato_dovish,RPM-2014-10-16,2014,2ec8a4c57d8617739e908f92c367412081ce3e8f79e8992d7f15b1c9c0af4a2f
70,RPM-2012-04-17:4756:1,neutral_dificil,RPM-2012-04-17,2012,66da89aae9b25432aa278813f7bccd6cf8f22b8b688963e4aeff4a9354f446b2
71,RPM-2008-05-08:1817:1,neutral_dificil,RPM-2008-05-08,2008,a52dec1cfc4f1a7d660ea8ff77ac7d31b4bf25f5fcaeb80870f2eb17dfd76105
72,RPM-2009-02-12:2364:1,candidato_dovish,RPM-2009-02-12,2009,e6a0725efa6192464ee05bde19f1f9e0392e5f0976e6e168dd28929dfc2f0f76
73,RPM-2013-11-19:5897:1,candidato_dovish,RPM-2013-11-19,2013,77b78bf11d63954f649edc80c743e414a51624a1caa3cd4b6baef1cdf5d2c7ac
74,RPM-2013-07-11:5699:1,candidato_dovish,RPM-2013-07-11,2013,eaf7872cbb3804d4c87917321fb1c134adc0a9afc087bf05836b1c73a7e33595
75,RPM-2014-05-15:6234:2,neutral_dificil,RPM-2014-05-15,2014,034434a00f419fdaab0cdeb8777627189f05ac3ef13963f3d4d486acbe246e92
76,RPM-2015-11-12:7148:2,candidato_hawkish,RPM-2015-11-12,2015,050dded28e081a4a62d2f0d11a36b6ed77a3be7e47dd3d07e12ab783889665a8
77,RPM-2006-09-07:875:1,neutral_dificil,RPM-2006-09-07,2006,ce81ecbb3d2960552eb26ce573b4577f35b89b2b9124c4796e0c410ad25a3d24
78,RPM-2011-06-14:4116:1,candidato_hawkish,RPM-2011-06-14,2011,247744185005cff0326f91925669832cf186a3420c9b3c871b62d7ed9b1e778e
79,RPM-2007-10-11:1509:1,neutral_dificil,RPM-2007-10-11,2007,f2d611043da14ae49590879483640cd59aeb63890cbbdea58a7f1f6e09830251
80,RPM-2014-06-12:6288:1,candidato_dovish,RPM-2014-06-12,2014,65fe6cb5fbd7a258ab54510f63ba6652269221da92380842247e03a4c389afd8
81,RPM-2007-03-15:1121:1,candidato_dovish,RPM-2007-03-15,2007,c319afdd194b590ce2dd63b9bcd9ceb356b22e2e2ca47baa53fab8b752c54b3a
82,RPM-2010-07-15:3271:2,candidato_hawkish,RPM-2010-07-15,2010,3c7721ecf37890e6082b9f220885ecf8a598b56a75de4069db987aaab3979f07
83,RPM-2012-10-18:5096:1,candidato_dovish,RPM-2012-10-18,2012,58b955102e8e012da044d4c0931bfbd87d725fe09f873820a829c85d1a517f53
84,RPM-2013-03-14:5407:1,candidato_dovish,RPM-2013-03-14,2013,8038e76668711f79b39f238c50020381ba31cb2827f17ee9484731d6821d67fb
85,RPM-2006-12-14:1020:1,neutral_dificil,RPM-2006-12-14,2006,a76024fdf1b2e63e2804564451ab524afbeea510fe2edbc593c3a7686769c77e
86,RPM-2007-10-11:1484:1,neutral_dificil,RPM-2007-10-11,2007,660c31af12aed33a4ea604d6412820ca254886934b6fe3a92d4ab25d216ff474
87,RPM-2013-11-19:5895:1,candidato_dovish,RPM-2013-11-19,2013,7c4e7450d5e20a0084bd1da402c06c8448e4f8af4efe626f35c7b641bdd519a3
88,RPM-2006-12-14:1018:1,neutral_dificil,RPM-2006-12-14,2006,8ce2c4087d04e77d2cd2574086a8bf68493cf10a3e6374d0aa42603402fa6d8e
89,RPM-2014-02-18:6053:1,candidato_dovish,RPM-2014-02-18,2014,ff599625b38dc886b73af9ca2b1063e9a77041e79207e6cee8b104336bc4eb0f
90,RPM-2006-09-07:877:1,neutral_dificil,RPM-2006-09-07,2006,80a5f2dc2a662a933d2e88da288084b3f956deade3b67a429862139027c37006
91,RPM-2011-12-13:4513:1,neutral_dificil,RPM-2011-12-13,2011,832b0cc23e73f8d87b407a5613800bbc945041076b37af0efee8836fe520510d
92,RPM-2007-09-13:1461:1,candidato_hawkish,RPM-2007-09-13,2007,8530a925506047a90ceea3f4683c094462ac7d0e8fb8430622dac226fdddabc2
93,RPM-2009-06-16:2600:1,candidato_dovish,RPM-2009-06-16,2009,04bd89286fce2a53617cdd6a3da045b6551e53431fa67c1aeb1a44711a29dd5f
94,RPM-2010-05-13:3086:1,candidato_dovish,RPM-2010-05-13,2010,173c62fcfa070cd5d0c5a81db63854dc601995b91b10dc0717fd1d90412ee5d9
95,RPM-2013-12-12:5962:3,neutral_dificil,RPM-2013-12-12,2013,ee2af6ad9efc70be8d7bd544ea33a67294e3311ec554cb5680493519cda56a92
96,RPM-2007-04-12:1219:1,candidato_dovish,RPM-2007-04-12,2007,7fab9f15be4c21dbc32d634d464c04ef07f4d1c3e53c2af5e3afd9685e129f83
97,RPM-2012-03-15:4676:1,candidato_hawkish,RPM-2012-03-15,2012,76c5bdd9f7b609f35f1fefd30c074f79dc5623fa6a3890841b8dc7d16cf7906b
98,RPM-2012-09-13:5085:1,neutral_dificil,RPM-2012-09-13,2012,ae1b902350401eb2bdaaee55d8a68c5e1c0cbae43a50e7061f3b4d31a2deddba
99,RPM-2009-03-12:2428:1,candidato_dovish,RPM-2009-03-12,2009,8d5364dd580c2ee22a78284aebd35c46f15b2b8b0b522b753b44ffd14deb719f
100,RPM-2012-06-14:4889:1,neutral_dificil,RPM-2012-06-14,2012,ad560ee1f72deff46a4167a2ffb83015d6d6c793abdc2eecef806fdb2c76d0e8
101,RPM-2012-02-14:4608:1,candidato_dovish,RPM-2012-02-14,2012,24936074d85c89a3a6e3a006be7a07ff0ef063626b35dba2bb1e7a42a1d6137b
102,RPM-2009-02-12:2380:2,candidato_dovish,RPM-2009-02-12,2009,9ebc3cd07f079de5fdc6ec713065ba564153aa46e66635cf0f6344eee6263484
103,RPM-2014-06-12:6286:1,candidato_dovish,RPM-2014-06-12,2014,7bfab73fae09a69bc885f5d51aac8234244994f32bac1f7d9ebf88a3de54953b
104,RPM-2012-01-12:4552:1,candidato_hawkish,RPM-2012-01-12,2012,1f460da7e21f42efe511cbfde509f436fd34c41dc444f2528ac64c44130e245c
105,RPM-2012-12-13:5255:1,neutral_dificil,RPM-2012-12-13,2012,3d6890c628b1e28f72ecd3d49725c5301be4495bf452081239e49f8affa2d727
106,RPM-2013-01-17:5330:3,neutral_dificil,RPM-2013-01-17,2013,5ee2223c31853f3bedf6f1027af69f55652a86517df088eb6fbed43eff7ff494
107,RPM-2009-05-07:2524:1,candidato_dovish,RPM-2009-05-07,2009,c920b116460176daf3e2a020052f964236f459ecdad85da38304b31130552183
108,RPM-2014-06-12:6293:2,candidato_dovish,RPM-2014-06-12,2014,d2cc4b047b515a80d21feedb4c8a44f74d1c360c888c9f28b371291685221025
109,RPM-2011-02-17:3720:1,candidato_dovish,RPM-2011-02-17,2011,45cc9858accc46952e4adc4bc6f513de45696a5210f7e4bae0ed57805cc7e5e1
110,RPM-2015-05-14:6799:1,neutral_dificil,RPM-2015-05-14,2015,aa8e5e812de7d91e546dacad816d7b83628478dce9ae5712dd3b8c70f1912665
111,RPM-2014-02-18:6047:1,candidato_dovish,RPM-2014-02-18,2014,0dd6a90ffa1873a622fcf98ab3c879cfa9430fa5030d167a48db0ee5fcca6692
112,RPM-2007-05-10:1259:1,neutral_dificil,RPM-2007-05-10,2007,e683577332ef72eecce2e7a3cbec8b58217fae6043e1db2f90020ba4d0dd1350
113,RPM-2011-10-13:4390:1,candidato_dovish,RPM-2011-10-13,2011,3edff715b2e7eb456811689043b83cb4443e844267c0ab764b455f874469e170
114,RPM-2015-01-15:6564:2,candidato_dovish,RPM-2015-01-15,2015,3c12aaf4ce63b84bb158cc61c59cf5ee2663556307f8e36694faaaacc68047cf
115,RPM-2009-12-15:2834:2,candidato_dovish,RPM-2009-12-15,2009,c4abeb5e272a3ab1e711965684ba8ad9fff947df4ed64a74fe5569792829546b
116,RPM-2013-05-16:5520:1,candidato_dovish,RPM-2013-05-16,2013,4aa30124f41170af1f084374fe5118a4a00977a6c084229d730f820792d9251e
117,RPM-2015-05-14:6757:1,candidato_dovish,RPM-2015-05-14,2015,71bc46a29641c832a12669391b0c23e0709f1a80bb8dda997ece6283397ea186
118,RPM-2015-03-19:6683:1,candidato_dovish,RPM-2015-03-19,2015,550600e1c3d59059219816840c5c9c86fd8184adcee5b125211cd1470c07df0a
119,RPM-2014-04-17:6177:1,candidato_dovish,RPM-2014-04-17,2014,eea5bc6f7411e93e7b8652d590ee7e6022766c0057131025c9ea674e38e1c9b4
120,RPM-2012-02-14:4646:1,candidato_dovish,RPM-2012-02-14,2012,6088a4a408e85b696aced241dd5ed2dc03979733c59f56acfee7effb860c1499
121,RPM-2015-02-12:6633:1,candidato_dovish,RPM-2015-02-12,2015,a848a039ccaf1abd453b5bf9bf2f5d96c453312cd21446257826c6883a51af70
122,RPM-2007-06-14:1306:1,neutral_dificil,RPM-2007-06-14,2007,089a957bf9b9440bc5e817b5109992655a67aba5a8c96d9388a95f870650f5fc
123,RPM-2012-10-18:5151:1,neutral_dificil,RPM-2012-10-18,2012,1e7ee8c7c7678fd22a7aa54cbf183a989dbacdca303a15dfa04c85a853f0138a
124,RPM-2014-04-17:6125:1,candidato_hawkish,RPM-2014-04-17,2014,08de5db0e183a5cbb15e6fc43d5a0b9ad8c13524b03c3fad63a275d58ed7ef01
125,RPM-2005-09-08:369:1,neutral_dificil,RPM-2005-09-08,2005,eec036aef8bd76276036aeff3a1e6eb88b68c73d2bdddf668d3e7d6524efa62a
126,RPM-2012-04-17:4789:1,neutral_dificil,RPM-2012-04-17,2012,e50a7371fc1f509df815e8fcbef08d9cfb0d9981c4d84135f2719b35151f1b36
127,RPM-2013-01-17:5318:1,neutral_dificil,RPM-2013-01-17,2013,81cd628945a91ef7926efe0c4e3a5c71a87886c33ba855cce3c524fb7ca62b89
128,RPM-2014-05-15:6223:1,candidato_dovish,RPM-2014-05-15,2014,6631649ef8e3ecc00d73aef0000016c0e735fae457cd59cc1ea77db46bb78586
129,RPM-2007-04-12:1186:1,candidato_hawkish,RPM-2007-04-12,2007,9ca5cc7d9d81a0c65daaeca3149982ab62f0d5b144dad38c02bf4a349495c261
130,RPM-2009-02-12:2381:1,candidato_dovish,RPM-2009-02-12,2009,ff1f9104ae7a44b0cb0b4f39c743a105b556eca7bc7c03f1537a81f35592e3dc
131,RPM-2010-02-11:2967:1,neutral_dificil,RPM-2010-02-11,2010,66323c72aec2596a71a0d75b697b9e9cc3eedcb24f86bab0a139f93ba5f59f4a
132,RPM-2012-07-12:4966:1,neutral_dificil,RPM-2012-07-12,2012,941d0f77473354d03ab2efca5286972abafa0c52311b0241e929d5c0229d4f2d
133,RPM-2010-09-16:3431:1,neutral_dificil,RPM-2010-09-16,2010,2ebf3ba98fcc85da3695808ff20211d825e0c2ba6d89542f340a6f6d31d5a0c9
134,RPM-2012-05-17:4845:1,neutral_dificil,RPM-2012-05-17,2012,405efb03c0310357a08ad3b18455f456d3a90a2e6f02077923da13a44ed0547a
135,RPM-2009-01-08:2294:1,candidato_dovish,RPM-2009-01-08,2009,815b7c48dfb9dc88ffb637c74d400bcf3a73cc7b8c16787dcd624abbe0f2a9dc
136,RPM-2013-10-17:5853:1,candidato_dovish,RPM-2013-10-17,2013,7d4304a0cd8452643952dd736777417208c996e920d654277322faf612af6bba
137,RPM-2015-06-11:6859:1,neutral_dificil,RPM-2015-06-11,2015,753d8698736cd6e3496ea6eb9127a2040a540a3e700caf31c2a697f9456a82b3
138,RPM-2013-06-13:5628:1,candidato_dovish,RPM-2013-06-13,2013,215157a9a28ed278c685c18901005e7d44f238255f223bf1dbbe89b674c021fe
139,RPM-2014-07-15:6339:1,candidato_dovish,RPM-2014-07-15,2014,48c83f50375df15e18ec7f643c8e7717a7051469cf1871f86e12bfab79b22030
140,RPM-2013-02-14:5349:3,neutral_dificil,RPM-2013-02-14,2013,737f75dbe41b171e49b0eecfa66fbbc7774acd56b54f20b6d39ddefae8a6b4a6
141,RPM-2014-01-16:5994:1,candidato_dovish,RPM-2014-01-16,2014,a5a935426a4995891d796778081d078a381be42647ba32a671a2174201cc4306
142,RPM-2010-06-15:3162:1,candidato_dovish,RPM-2010-06-15,2010,79c665d8b805c0e0aca16c4a3bea55d20d1006de974f068c48655d8db52462c9
143,RPM-2010-02-11:2965:1,neutral_dificil,RPM-2010-02-11,2010,b640fdb86768ca7765bbfa45585a9b69d84dd6cd5bfe7147056388d985d7901d
144,RPM-2014-02-18:6009:4,candidato_dovish,RPM-2014-02-18,2014,50746ac83012788b03f89b54c21cb720bfd0c679d837201f3dbceeb403986307
145,RPM-2010-06-15:3177:1,candidato_hawkish,RPM-2010-06-15,2010,085005db234348260728285543ea2ee6a050f215410777f9ee095fb17d9d556c
146,RPM-2009-11-12:2801:1,candidato_dovish,RPM-2009-11-12,2009,41512aa96b411949ff2eeece44daea154a38799470a0c669e3b2c5876c880c9e
147,RPM-2007-04-12:1184:2,candidato_dovish,RPM-2007-04-12,2007,0143a4c79e5229910d2ec8b162548cf993b0dc94bfdef4420383f1296c30479b
148,RPM-2014-03-13:6113:3,candidato_dovish,RPM-2014-03-13,2014,e86f53d8781edc5823f6b24a9fb3dd4787d30b5ea006cef475c82201981031af
149,RPM-2009-04-09:2496:1,candidato_dovish,RPM-2009-04-09,2009,82f36af70e79bbb0edf46cdeee2d5d50782fbe08f5136bf0367ae064e6a83c99
150,RPM-2015-11-12:7126:1,candidato_dovish,RPM-2015-11-12,2015,dd0b77816461a178c190bcca87e199a4ac175f2212e68cfe1ae9b8851487250a
151,RPM-2008-07-10:1973:1,candidato_hawkish,RPM-2008-07-10,2008,7fa983e7602962182a175eb280f735e444460bd030ad4e9dd0138773a49fac57
152,RPM-2007-03-15:1158:1,candidato_dovish,RPM-2007-03-15,2007,f01d770a140d745052026ff33fbc05e7bef0202284b02223d4ed06e381ac8167
153,RPM-2010-03-18:3021:1,neutral_dificil,RPM-2010-03-18,2010,f0ba45700295ad8936ddfdfc43a4d88602f0cf25bcb3c728ca8e6fc83b6041e4
154,RPM-2011-01-13:3707:1,candidato_dovish,RPM-2011-01-13,2011,a5f5850e0144ca190d61b46c5fbf7405ba5768911d2a7d057e7c3c1d57382f6b
155,RPM-2006-08-10:825:1,candidato_hawkish,RPM-2006-08-10,2006,a3c7d3f21a41b15d5eed32de144d3810ddf132f41432299aa45637db84cc33fe
156,RPM-2012-04-17:4740:1,candidato_dovish,RPM-2012-04-17,2012,376c8af73873b17f3b47da8db60fd38b09c620db07e0799b42b7834d3d4bc623
157,RPM-2007-02-08:1076:1,neutral_dificil,RPM-2007-02-08,2007,b01e2d05cb3f5f07ba8685f4ac556ca9fb7a9586a535d7cbe530ee02776cc648
158,RPM-2006-03-16:605:1,candidato_hawkish,RPM-2006-03-16,2006,71875a292ca3fa661d33b48ce7b62c5697e71ffd6bf5753437d80baf6688db28
159,RPM-2009-06-16:2599:1,candidato_dovish,RPM-2009-06-16,2009,b0490aa37320f806faaa29dae6308bd14ad426886138f51c0641b619416a9c72
160,RPM-2009-11-12:2794:2,candidato_dovish,RPM-2009-11-12,2009,d53982570afac9cb03139d83da3bbd3e614227f5e09121927981c9db6777080b
161,RPM-2015-06-11:6863:3,candidato_hawkish,RPM-2015-06-11,2015,898a2121b40fcd3e21c9ec926488f1880f41d96c0178591efc93cd6d2b34f0a5
162,RPM-2010-04-15:3034:1,candidato_hawkish,RPM-2010-04-15,2010,f0af6c0969c90d3f272803f018f0e2c440ee2bf575bce8086791e277ee487a63
163,RPM-2008-03-13:1727:2,neutral_dificil,RPM-2008-03-13,2008,e74efa351a3bf8f6abecc7383cc6e23a8f11b19483b67fa5ad796848a9de0da1
164,RPM-2008-04-10:1781:1,neutral_dificil,RPM-2008-04-10,2008,608fd4acd1c3c1c23923201a434137caf070812e03cf3017fff1298080562f64
165,RPM-2015-04-16:6716:1,neutral_dificil,RPM-2015-04-16,2015,c6d3b1d2eeea44f983748b465bc544a7a72e8cba75ee81a87284457708245a4f
166,RPM-2014-02-18:6055:3,candidato_dovish,RPM-2014-02-18,2014,be0decc205a8787ccaff923e53393c28c91cb88a1f562bed77896e13bd68999c
167,RPM-2007-07-12:1323:1,candidato_hawkish,RPM-2007-07-12,2007,7d4daaaf8b3e32db5b2cb5556531b5e7ab5d5ebe386c2e1b512f1cb9a397d57a
168,RPM-2014-03-13:6105:1,candidato_dovish,RPM-2014-03-13,2014,e6f73d920b33a4f2e57eb78e904092f75313aa36272e22948cb521651de3533b
