fold,intervencion_id,meeting_id,era_descubrimiento,sha256_texto_normalizado
4,RPM-2013-02-14:5398:2,RPM-2013-02-14,True,6db847c79af7bfa40a56a4ff4587f2e5e9efc7f8b2939344abe81f8f1d93000f
4,RPM-2013-05-16:5566:2,RPM-2013-05-16,True,6db847c79af7bfa40a56a4ff4587f2e5e9efc7f8b2939344abe81f8f1d93000f
4,RPM-2006-09-07:866:1,RPM-2006-09-07,False,19bc9aeda3c1edf3f409f09510a928c4a256a5a66f0dcce644edff0def258321
4,RPM-2007-01-11:1047:3,RPM-2007-01-11,False,19bc9aeda3c1edf3f409f09510a928c4a256a5a66f0dcce644edff0def258321
4,RPM-2011-01-13:3717:1,RPM-2011-01-13,False,e915845fe847a2d8f6e7e52a713566c901f065db9924d03d203c095256881821
4,RPM-2013-08-13:5752:2,RPM-2013-08-13,False,6db847c79af7bfa40a56a4ff4587f2e5e9efc7f8b2939344abe81f8f1d93000f
4,RPM-2015-05-14:6762:1,RPM-2015-05-14,False,074d7e16285b07b1238c377b0837398d99920051624675cfc3ff048a0973886e
4,RPM-2015-08-13:6921:1,RPM-2015-08-13,False,074d7e16285b07b1238c377b0837398d99920051624675cfc3ff048a0973886e
5,RPM-2006-04-13:644:3,RPM-2006-04-13,True,0de947a408ed847cf3ccbbf34720ea35d00cef5e8aca58610451d473c4810ec3
5,RPM-2007-08-09:1388:1,RPM-2007-08-09,True,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
5,RPM-2009-02-12:2382:1,RPM-2009-02-12,True,e518dbec6e6afd54636ce65592b25c5a34d9327ec0d5da65fdbfda1e06cdf9d0
5,RPM-2014-11-18:6512:1,RPM-2014-11-18,True,82151645c9cb735357eda7b04ed00b7c174b6066574e772b01ca48d410616d77
5,RPM-2005-02-10:117:1,RPM-2005-02-10,True,151338c634ca4b4b73ae664f9b0c2610ba865b73e4471025c634a759ee53079a
5,RPM-2007-01-11:1047:5,RPM-2007-01-11,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
5,RPM-2014-03-13:6075:1,RPM-2014-03-13,False,e043943d557af32ac7e69ee2cc6fb794db29b2f2a9de958d5849a0602585cd18
5,RPM-2006-08-10:818:1,RPM-2006-08-10,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
5,RPM-2006-10-12:897:1,RPM-2006-10-12,False,c2894e1f39f8ea3b69bde157dad9a899a89a10f0606adca10e8996c2e5c9e96a
5,RPM-2015-05-14:6762:1,RPM-2015-05-14,False,074d7e16285b07b1238c377b0837398d99920051624675cfc3ff048a0973886e
5,RPM-2015-06-11:6824:1,RPM-2015-06-11,False,074d7e16285b07b1238c377b0837398d99920051624675cfc3ff048a0973886e
